,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Jarrett Allen,2020-03-10,BRK,@,LAL,W,1st,589,0,"Jarrett Allen misses 2-pt hook shot from 6 ft (BRK 20, LAL 31)",2,6
1,2,Jarrett Allen,2020-03-10,BRK,@,LAL,W,1st,617,1,"Jarrett Allen makes 2-pt dunk from 1 ft (assist by Chris Chiozza) (BRK 22, LAL 31)",2,1
2,3,Jarrett Allen,2020-03-08,BRK,,CHI,W,1st,566,1,"Jarrett Allen makes 2-pt dunk from 2 ft (assist by Timothé Luwawu-Cabarrot) (BRK 22, CHI 19)",2,2
3,4,Jarrett Allen,2020-03-08,BRK,,CHI,W,1st,649,0,"Jarrett Allen misses 2-pt dunk from 1 ft (BRK 22, CHI 21)",2,1
4,5,Jarrett Allen,2020-03-08,BRK,,CHI,W,2nd,81,1,"Jarrett Allen makes 2-pt dunk at rim (assist by Caris LeVert) (BRK 24, CHI 27)",2,0
5,6,Jarrett Allen,2020-03-08,BRK,,CHI,W,2nd,117,1,"Jarrett Allen makes 2-pt dunk from 2 ft (assist by Caris LeVert) (BRK 26, CHI 29)",2,2
6,7,Jarrett Allen,2020-03-08,BRK,,CHI,W,2nd,261,1,"Jarrett Allen makes 2-pt dunk from 1 ft (assist by Caris LeVert) (BRK 36, CHI 36)",2,1
7,8,Jarrett Allen,2020-03-06,BRK,,SAS,W,1st,79,0,"Jarrett Allen misses 2-pt layup from 2 ft (block by Derrick White) (BRK 5, SAS 4)",2,2
8,9,Jarrett Allen,2020-03-06,BRK,,SAS,W,1st,372,1,"Jarrett Allen makes 2-pt dunk at rim (assist by Spencer Dinwiddie) (BRK 22, SAS 6)",2,0
9,10,Jarrett Allen,2020-03-06,BRK,,SAS,W,2nd,593,1,"Jarrett Allen makes 2-pt dunk from 1 ft (assist by Spencer Dinwiddie) (BRK 75, SAS 48)",2,1
10,11,Jarrett Allen,2020-03-06,BRK,,SAS,W,2nd,682,0,"Jarrett Allen misses 2-pt layup from 1 ft (block by Derrick White) (BRK 75, SAS 52)",2,1
11,12,Jarrett Allen,2020-03-06,BRK,,SAS,W,3rd,218,1,"Jarrett Allen makes 2-pt dunk from 2 ft (assist by Caris LeVert) (BRK 90, SAS 72)",2,2
12,13,Jarrett Allen,2020-03-06,BRK,,SAS,W,3rd,368,1,"Jarrett Allen makes 2-pt dunk from 1 ft (assist by Spencer Dinwiddie) (BRK 99, SAS 76)",2,1
13,14,Jarrett Allen,2020-03-06,BRK,,SAS,W,4th,419,1,"Jarrett Allen makes 2-pt layup from 2 ft (assist by Caris LeVert) (BRK 130, SAS 110)",2,2
14,15,Jarrett Allen,2020-03-04,BRK,,MEM,L,2nd,375,0,"Jarrett Allen misses 2-pt hook shot from 3 ft (BRK 35, MEM 35)",2,3
15,16,Jarrett Allen,2020-03-04,BRK,,MEM,L,2nd,415,0,"Jarrett Allen misses 2-pt dunk from 2 ft (BRK 35, MEM 35)",2,2
16,17,Jarrett Allen,2020-03-04,BRK,,MEM,L,2nd,630,1,"Jarrett Allen makes 2-pt dunk from 1 ft (assist by Spencer Dinwiddie) (BRK 43, MEM 46)",2,1
17,18,Jarrett Allen,2020-03-04,BRK,,MEM,L,3rd,390,1,"Jarrett Allen makes 2-pt layup from 1 ft (BRK 55, MEM 67)",2,1
18,19,Jarrett Allen,2020-03-04,BRK,,MEM,L,4th,661,1,"Jarrett Allen makes 2-pt layup from 1 ft (BRK 79, MEM 118)",2,1
19,20,Jarrett Allen,2020-03-03,BRK,@,BOS,W,1st,108,1,"Jarrett Allen makes 2-pt dunk from 2 ft (assist by Caris LeVert) (BRK 5, BOS 7)",2,2
20,21,Jarrett Allen,2020-03-03,BRK,@,BOS,W,1st,142,1,"Jarrett Allen makes 2-pt hook shot from 3 ft (assist by Caris LeVert) (BRK 7, BOS 9)",2,3
21,22,Jarrett Allen,2020-03-03,BRK,@,BOS,W,1st,305,0,"Jarrett Allen misses 2-pt dunk from 3 ft (block by Marcus Smart) (BRK 14, BOS 19)",2,3
22,23,Jarrett Allen,2020-03-03,BRK,@,BOS,W,2nd,473,0,"Jarrett Allen misses 2-pt layup from 2 ft (block by Javonte Green) (BRK 38, BOS 47)",2,2
23,24,Jarrett Allen,2020-03-03,BRK,@,BOS,W,2nd,476,0,"Jarrett Allen misses 2-pt layup from 2 ft (block by Marcus Smart) (BRK 38, BOS 47)",2,2
24,25,Jarrett Allen,2020-03-03,BRK,@,BOS,W,2nd,588,0,"Jarrett Allen misses 2-pt layup from 1 ft (block by Javonte Green) (BRK 41, BOS 52)",2,1
25,26,Jarrett Allen,2020-03-03,BRK,@,BOS,W,3rd,143,1,"Jarrett Allen makes 2-pt dunk from 2 ft (BRK 47, BOS 60)",2,2
26,27,Jarrett Allen,2020-03-03,BRK,@,BOS,W,3rd,321,0,"Jarrett Allen misses 2-pt layup from 2 ft (BRK 50, BOS 68)",2,2
27,28,Jarrett Allen,2020-02-29,BRK,@,MIA,L,1st,102,1,"Jarrett Allen makes 2-pt layup from 1 ft (assist by Spencer Dinwiddie) (BRK 5, MIA 2)",2,1
28,29,Jarrett Allen,2020-02-29,BRK,@,MIA,L,1st,170,1,"Jarrett Allen makes 2-pt hook shot from 4 ft (assist by Spencer Dinwiddie) (BRK 7, MIA 5)",2,4
29,30,Jarrett Allen,2020-02-29,BRK,@,MIA,L,1st,275,1,"Jarrett Allen makes 2-pt layup from 1 ft (assist by Joe Harris) (BRK 9, MIA 8)",2,1
30,31,Jarrett Allen,2020-02-29,BRK,@,MIA,L,2nd,450,0,"Jarrett Allen misses 2-pt layup from 3 ft (block by Bam Adebayo) (BRK 41, MIA 45)",2,3
31,32,Jarrett Allen,2020-02-29,BRK,@,MIA,L,3rd,161,1,"Jarrett Allen makes 2-pt dunk from 1 ft (BRK 55, MIA 65)",2,1
32,33,Jarrett Allen,2020-02-29,BRK,@,MIA,L,3rd,330,1,"Jarrett Allen makes 2-pt dunk from 1 ft (assist by Rodions Kurucs) (BRK 66, MIA 71)",2,1
33,34,Jarrett Allen,2020-02-29,BRK,@,MIA,L,3rd,421,1,"Jarrett Allen makes 2-pt dunk from 2 ft (assist by Spencer Dinwiddie) (BRK 69, MIA 77)",2,2
34,35,Jarrett Allen,2020-02-29,BRK,@,MIA,L,4th,502,1,"Jarrett Allen makes 2-pt dunk from 1 ft (assist by Spencer Dinwiddie) (BRK 103, MIA 109)",2,1
35,36,Jarrett Allen,2020-02-28,BRK,@,ATL,L,3rd,41,1,"Jarrett Allen makes 2-pt layup from 4 ft (assist by Caris LeVert) (BRK 64, ATL 68)",2,4
36,37,Jarrett Allen,2020-02-28,BRK,@,ATL,L,3rd,445,1,"Jarrett Allen makes 2-pt layup at rim (BRK 82, ATL 91)",2,0
37,38,Jarrett Allen,2020-02-26,BRK,@,WAS,L,1st,379,1,"Jarrett Allen makes 2-pt dunk at rim (BRK 13, WAS 19)",2,0
38,39,Jarrett Allen,2020-02-26,BRK,@,WAS,L,2nd,498,0,"Jarrett Allen misses 2-pt dunk at rim (BRK 33, WAS 47)",2,0
39,40,Jarrett Allen,2020-02-24,BRK,,ORL,L,1st,96,1,"Jarrett Allen makes 2-pt layup at rim (BRK 4, ORL 5)",2,0
40,41,Jarrett Allen,2020-02-24,BRK,,ORL,L,1st,250,1,"Jarrett Allen makes 2-pt layup from 1 ft (assist by Joe Harris) (BRK 11, ORL 9)",2,1
41,42,Jarrett Allen,2020-02-24,BRK,,ORL,L,2nd,367,1,"Jarrett Allen makes 2-pt layup at rim (BRK 38, ORL 26)",2,0
42,43,Jarrett Allen,2020-02-24,BRK,,ORL,L,2nd,590,1,"Jarrett Allen makes 2-pt layup at rim (BRK 50, ORL 34)",2,0
43,44,Jarrett Allen,2020-02-24,BRK,,ORL,L,3rd,176,1,"Jarrett Allen makes 2-pt layup from 2 ft (assist by Spencer Dinwiddie) (BRK 64, ORL 48)",2,2
44,45,Jarrett Allen,2020-02-24,BRK,,ORL,L,4th,491,1,"Jarrett Allen makes 2-pt dunk from 2 ft (assist by Caris LeVert) (BRK 109, ORL 108)",2,2
45,46,Jarrett Allen,2020-02-24,BRK,,ORL,L,4th,629,1,"Jarrett Allen makes 2-pt dunk at rim (assist by Spencer Dinwiddie) (BRK 111, ORL 112)",2,0
46,47,Jarrett Allen,2020-02-24,BRK,,ORL,L,4th,665,1,"Jarrett Allen makes 2-pt dunk from 2 ft (assist by Spencer Dinwiddie) (BRK 113, ORL 115)",2,2
47,48,Jarrett Allen,2020-02-22,BRK,@,CHO,W,1st,271,1,"Jarrett Allen makes 2-pt dunk from 2 ft (assist by Joe Harris) (BRK 14, CHO 8)",2,2
48,49,Jarrett Allen,2020-02-22,BRK,@,CHO,W,2nd,593,0,"Jarrett Allen misses 2-pt dunk from 3 ft (BRK 50, CHO 41)",2,3
49,50,Jarrett Allen,2020-02-22,BRK,@,CHO,W,3rd,158,1,"Jarrett Allen makes 2-pt dunk from 1 ft (assist by Joe Harris) (BRK 64, CHO 48)",2,1
50,51,Jarrett Allen,2020-02-22,BRK,@,CHO,W,3rd,428,1,"Jarrett Allen makes 2-pt dunk from 2 ft (assist by Spencer Dinwiddie) (BRK 69, CHO 54)",2,2
51,52,Jarrett Allen,2020-02-22,BRK,@,CHO,W,3rd,472,1,"Jarrett Allen makes 2-pt layup from 1 ft (assist by Joe Harris) (BRK 74, CHO 57)",2,1
52,53,Jarrett Allen,2020-02-20,BRK,@,PHI,L,1st,67,0,"Jarrett Allen misses 2-pt layup from 4 ft (BRK 3, PHI 2)",2,4
53,54,Jarrett Allen,2020-02-20,BRK,@,PHI,L,1st,266,0,"Jarrett Allen misses 2-pt hook shot from 6 ft (BRK 4, PHI 18)",2,6
54,55,Jarrett Allen,2020-02-20,BRK,@,PHI,L,1st,311,0,"Jarrett Allen misses 2-pt layup from 2 ft (BRK 4, PHI 20)",2,2
55,56,Jarrett Allen,2020-02-20,BRK,@,PHI,L,3rd,491,0,"Jarrett Allen misses 2-pt layup from 2 ft (BRK 66, PHI 62)",2,2
56,57,Jarrett Allen,2020-02-12,BRK,,TOR,W,1st,157,0,"Jarrett Allen misses 2-pt layup from 3 ft (BRK 4, TOR 3)",2,3
57,58,Jarrett Allen,2020-02-12,BRK,,TOR,W,2nd,383,0,"Jarrett Allen misses 2-pt layup from 2 ft (block by Serge Ibaka) (BRK 34, TOR 30)",2,2
58,59,Jarrett Allen,2020-02-12,BRK,,TOR,W,2nd,472,1,"Jarrett Allen makes 2-pt layup from 2 ft (assist by Spencer Dinwiddie) (BRK 38, TOR 32)",2,2
