,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Ryan Arcidiacono,2020-03-04,CHI,@,MIN,L,1st,552,1,"Defensive rebound by Wendell Carter (CHI 22, MIN 13)",2,2
1,2,Ryan Arcidiacono,2020-03-04,CHI,@,MIN,L,1st,677,0,"Naz Reid makes 2-pt layup from 1 ft (MIN 22, CHI 27)",2,1
2,3,Ryan Arcidiacono,2020-03-04,CHI,@,MIN,L,4th,120,1,"Naz Reid makes 3-pt jump shot from 25 ft (assist by Jordan McLaughlin) (MIN 91, CHI 82)",3,25
3,4,Ryan Arcidiacono,2020-03-04,CHI,@,MIN,L,4th,143,0,"Jake Layman makes 2-pt dunk from 1 ft (assist by D'Angelo Russell) (MIN 93, CHI 85)",2,1
4,5,Ryan Arcidiacono,2020-03-04,CHI,@,MIN,L,4th,588,0,"Personal take foul by Juan Hernangómez (drawn by Ryan Arcidiacono) (CHI 99, MIN 113)",9,9
5,6,Ryan Arcidiacono,2020-03-04,CHI,@,MIN,L,4th,647,1,"Defensive rebound by Tomáš Satoranský (CHI 103, MIN 113)",1,3
6,7,Ryan Arcidiacono,2020-03-02,CHI,,DAL,W,1st,584,1,"Ryan Arcidiacono makes 2-pt jump shot from 1 ft (CHI 15, DAL 23)",2,1
7,8,Ryan Arcidiacono,2020-03-02,CHI,,DAL,W,2nd,106,0,"Ryan Arcidiacono misses 2-pt jump shot from 13 ft (CHI 24, DAL 31)",2,13
8,9,Ryan Arcidiacono,2020-03-02,CHI,,DAL,W,2nd,277,0,"Ryan Arcidiacono misses 3-pt jump shot from 27 ft (CHI 36, DAL 36)",3,27
9,10,Ryan Arcidiacono,2020-03-02,CHI,,DAL,W,3rd,564,1,"Ryan Arcidiacono makes 2-pt layup from 2 ft (CHI 77, DAL 72)",2,2
10,11,Ryan Arcidiacono,2020-03-02,CHI,,DAL,W,3rd,657,1,"Ryan Arcidiacono makes 2-pt jump shot from 8 ft (CHI 81, DAL 73)",2,8
11,12,Ryan Arcidiacono,2020-03-02,CHI,,DAL,W,4th,218,1,"Ryan Arcidiacono makes 2-pt jump shot from 6 ft (assist by Otto Porter) (CHI 93, DAL 87)",2,6
12,13,Ryan Arcidiacono,2020-03-02,CHI,,DAL,W,4th,312,0,"Ryan Arcidiacono misses 3-pt jump shot from 26 ft (CHI 93, DAL 90)",3,26
13,14,Ryan Arcidiacono,2020-02-29,CHI,@,NYK,L,2nd,58,1,"Ryan Arcidiacono makes 3-pt jump shot from 25 ft (assist by Adam Mokoka) (CHI 28, NYK 34)",3,25
14,15,Ryan Arcidiacono,2020-02-29,CHI,@,NYK,L,2nd,204,1,"Ryan Arcidiacono makes 2-pt jump shot from 11 ft (CHI 38, NYK 39)",2,11
15,16,Ryan Arcidiacono,2020-02-25,CHI,,OKC,L,1st,672,1,"Ryan Arcidiacono makes 2-pt layup from 1 ft (assist by Cristiano Felício) (CHI 26, OKC 32)",2,1
16,17,Ryan Arcidiacono,2020-02-25,CHI,,OKC,L,3rd,17,0,"Ryan Arcidiacono misses 3-pt jump shot from 25 ft (CHI 55, OKC 72)",3,25
17,18,Ryan Arcidiacono,2020-02-25,CHI,,OKC,L,4th,42,0,"Ryan Arcidiacono misses 2-pt jump shot from 14 ft (CHI 93, OKC 93)",2,14
18,19,Ryan Arcidiacono,2020-02-23,CHI,,WAS,W,1st,133,0,"Ryan Arcidiacono misses 3-pt jump shot from 26 ft (CHI 2, WAS 7)",3,26
19,20,Ryan Arcidiacono,2020-02-23,CHI,,WAS,W,1st,150,0,"Ryan Arcidiacono misses 3-pt jump shot from 22 ft (CHI 2, WAS 9)",3,22
20,21,Ryan Arcidiacono,2020-02-23,CHI,,WAS,W,1st,456,0,"Ryan Arcidiacono misses 3-pt jump shot from 26 ft (CHI 19, WAS 20)",3,26
21,22,Ryan Arcidiacono,2020-02-23,CHI,,WAS,W,2nd,635,1,"Ryan Arcidiacono makes 3-pt jump shot from 25 ft (assist by Coby White) (CHI 68, WAS 54)",3,25
22,23,Ryan Arcidiacono,2020-02-23,CHI,,WAS,W,2nd,671,0,"Ryan Arcidiacono misses 2-pt layup from 6 ft (block by Ish Smith) (CHI 68, WAS 56)",2,6
23,24,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,1st,89,1,"Ryan Arcidiacono makes 2-pt layup from 2 ft (CHI 5, PHO 2)",2,2
24,25,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,2nd,43,1,"Ryan Arcidiacono makes 3-pt jump shot from 25 ft (CHI 27, PHO 22)",3,25
25,26,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,2nd,90,0,"Ryan Arcidiacono misses 3-pt jump shot from 26 ft (CHI 29, PHO 24)",3,26
26,27,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,2nd,315,0,"Ryan Arcidiacono misses 3-pt jump shot from 23 ft (CHI 35, PHO 33)",3,23
27,28,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,2nd,351,0,"Ryan Arcidiacono misses 3-pt jump shot from 27 ft (CHI 38, PHO 33)",3,27
28,29,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,2nd,392,1,"Ryan Arcidiacono makes 3-pt jump shot from 22 ft (assist by Cristiano Felício) (CHI 42, PHO 33)",3,22
29,30,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,3rd,40,0,"Ryan Arcidiacono misses 2-pt layup from 2 ft (block by Mikal Bridges) (CHI 57, PHO 47)",2,2
30,31,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,3rd,222,0,"Ryan Arcidiacono misses 3-pt jump shot from 22 ft (CHI 57, PHO 58)",3,22
31,32,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,3rd,675,1,"Ryan Arcidiacono makes 2-pt jump shot from 8 ft (CHI 79, PHO 77)",2,8
32,33,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,4th,308,0,"Ryan Arcidiacono misses 3-pt jump shot from 26 ft (CHI 94, PHO 95)",3,26
33,34,Ryan Arcidiacono,2020-02-22,CHI,,PHO,L,4th,358,0,"Ryan Arcidiacono misses 3-pt jump shot from 26 ft (CHI 96, PHO 98)",3,26
