,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,DeAndre' Bembry,2020-01-20,ATL,,TOR,L,1st,545,0,"DeAndre' Bembry misses 2-pt layup from 1 ft (block by Pascal Siakam) (ATL 20, TOR 25)",2,1
1,2,DeAndre' Bembry,2020-01-20,ATL,,TOR,L,2nd,647,1,"DeAndre' Bembry makes 2-pt jump shot from 11 ft (assist by Trae Young) (ATL 58, TOR 54)",2,11
2,3,DeAndre' Bembry,2020-01-20,ATL,,TOR,L,3rd,398,0,"DeAndre' Bembry misses 3-pt jump shot from 24 ft (ATL 76, TOR 71)",3,24
3,4,DeAndre' Bembry,2020-01-20,ATL,,TOR,L,3rd,484,0,"DeAndre' Bembry misses 2-pt layup from 12 ft (block by Kyle Lowry) (ATL 79, TOR 71)",2,12
4,5,DeAndre' Bembry,2020-01-18,ATL,,DET,L,2nd,513,1,"DeAndre' Bembry makes 2-pt dunk from 1 ft (assist by Jeff Teague) (ATL 47, DET 65)",2,1
5,6,DeAndre' Bembry,2020-01-18,ATL,,DET,L,2nd,687,0,"DeAndre' Bembry misses 3-pt jump shot from 25 ft (ATL 55, DET 71)",3,25
6,7,DeAndre' Bembry,2020-01-17,ATL,@,SAS,W,1st,676,0,"DeAndre' Bembry misses 3-pt jump shot from 26 ft (ATL 29, SAS 25)",3,26
7,8,DeAndre' Bembry,2020-01-17,ATL,@,SAS,W,4th,482,0,"DeAndre' Bembry misses 3-pt jump shot from 24 ft (ATL 106, SAS 112)",3,24
8,9,DeAndre' Bembry,2020-01-14,ATL,,PHO,W,1st,691,0,"DeAndre' Bembry misses 2-pt layup from 2 ft (ATL 25, PHO 23)",2,2
9,10,DeAndre' Bembry,2020-01-14,ATL,,PHO,W,3rd,453,1,"DeAndre' Bembry makes 3-pt jump shot from 23 ft (assist by Kevin Huerter) (ATL 78, PHO 72)",3,23
10,11,DeAndre' Bembry,2020-01-14,ATL,,PHO,W,4th,545,0,"DeAndre' Bembry misses 2-pt jump shot from 11 ft (ATL 115, PHO 106)",2,11
11,12,DeAndre' Bembry,2020-01-14,ATL,,PHO,W,4th,654,1,"DeAndre' Bembry makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 119, PHO 110)",2,1
12,13,DeAndre' Bembry,2020-01-12,ATL,@,BRK,L,1st,634,0,"DeAndre' Bembry misses 3-pt jump shot from 26 ft (ATL 12, BRK 30)",3,26
13,14,DeAndre' Bembry,2020-01-12,ATL,@,BRK,L,1st,657,0,"DeAndre' Bembry misses 3-pt jump shot from 25 ft (ATL 12, BRK 32)",3,25
14,15,DeAndre' Bembry,2020-01-12,ATL,@,BRK,L,2nd,609,0,"DeAndre' Bembry misses 2-pt jump shot from 8 ft (ATL 44, BRK 63)",2,8
15,16,DeAndre' Bembry,2020-01-12,ATL,@,BRK,L,3rd,318,1,"DeAndre' Bembry makes 2-pt jump shot from 9 ft (assist by John Collins) (ATL 50, BRK 85)",2,9
16,17,DeAndre' Bembry,2020-01-12,ATL,@,BRK,L,3rd,478,0,"DeAndre' Bembry misses 2-pt layup from 2 ft (block by DeAndre Jordan) (ATL 52, BRK 89)",2,2
17,18,DeAndre' Bembry,2020-01-12,ATL,@,BRK,L,3rd,485,1,"DeAndre' Bembry makes 3-pt jump shot from 26 ft (assist by Charlie Brown) (ATL 55, BRK 89)",3,26
18,19,DeAndre' Bembry,2020-01-12,ATL,@,BRK,L,3rd,600,1,"DeAndre' Bembry makes 2-pt layup from 8 ft (ATL 60, BRK 91)",2,8
19,20,DeAndre' Bembry,2020-01-12,ATL,@,BRK,L,3rd,642,1,"DeAndre' Bembry makes 3-pt jump shot from 25 ft (assist by Paul Watson) (ATL 63, BRK 92)",3,25
20,21,DeAndre' Bembry,2020-01-12,ATL,@,BRK,L,3rd,699,0,"DeAndre' Bembry misses 2-pt layup from 5 ft (ATL 66, BRK 92)",2,5
21,22,DeAndre' Bembry,2020-01-12,ATL,@,BRK,L,4th,390,1,"DeAndre' Bembry makes 2-pt layup from 1 ft (ATL 79, BRK 101)",2,1
22,23,DeAndre' Bembry,2020-01-10,ATL,@,WAS,L,1st,460,1,"DeAndre' Bembry makes 2-pt layup at rim (assist by Trae Young) (ATL 13, WAS 20)",2,0
