,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Jaylen Brown,2020-03-03,BOS,,BRK,L,1st,58,1,"Jaylen Brown makes 3-pt jump shot from 26 ft (BOS 5, BRK 3)",3,26
1,2,Jaylen Brown,2020-03-03,BOS,,BRK,L,1st,266,1,"Jaylen Brown makes 2-pt dunk from 1 ft (BOS 19, BRK 14)",2,1
2,3,Jaylen Brown,2020-03-03,BOS,,BRK,L,1st,311,0,"Jaylen Brown misses 2-pt jump shot from 15 ft (BOS 19, BRK 14)",2,15
3,4,Jaylen Brown,2020-03-03,BOS,,BRK,L,1st,649,0,"Jaylen Brown misses 3-pt jump shot from 27 ft (BOS 30, BRK 25)",3,27
4,5,Jaylen Brown,2020-03-03,BOS,,BRK,L,2nd,53,0,"Jaylen Brown misses 3-pt jump shot from 27 ft (BOS 36, BRK 30)",3,27
5,6,Jaylen Brown,2020-03-03,BOS,,BRK,L,3rd,40,0,"Jaylen Brown misses 2-pt layup from 5 ft (BOS 56, BRK 43)",2,5
6,7,Jaylen Brown,2020-03-03,BOS,,BRK,L,3rd,113,1,"Jaylen Brown makes 2-pt jump shot from 10 ft (BOS 58, BRK 45)",2,10
7,8,Jaylen Brown,2020-03-03,BOS,,BRK,L,3rd,214,0,"Jaylen Brown misses 2-pt layup from 4 ft (BOS 63, BRK 50)",2,4
8,9,Jaylen Brown,2020-03-03,BOS,,BRK,L,3rd,265,0,"Jaylen Brown misses 3-pt jump shot from 26 ft (BOS 67, BRK 50)",3,26
9,10,Jaylen Brown,2020-03-03,BOS,,BRK,L,3rd,332,1,"Jaylen Brown makes 3-pt jump shot from 25 ft (assist by Marcus Smart) (BOS 71, BRK 50)",3,25
10,11,Jaylen Brown,2020-03-03,BOS,,BRK,L,3rd,495,1,"Jaylen Brown makes 2-pt jump shot from 3 ft (BOS 78, BRK 59)",2,3
11,12,Jaylen Brown,2020-03-03,BOS,,BRK,L,4th,259,0,"Jaylen Brown misses 3-pt jump shot from 25 ft (BOS 93, BRK 81)",3,25
12,13,Jaylen Brown,2020-03-03,BOS,,BRK,L,4th,466,1,"Jaylen Brown makes 2-pt layup from 5 ft (BOS 104, BRK 91)",2,5
13,14,Jaylen Brown,2020-03-03,BOS,,BRK,L,4th,540,0,"Jaylen Brown misses 3-pt jump shot from 26 ft (BOS 104, BRK 97)",3,26
14,15,Jaylen Brown,2020-03-03,BOS,,BRK,L,4th,664,1,"Jaylen Brown makes 3-pt jump shot from 23 ft (assist by Kemba Walker) (BOS 116, BRK 110)",3,23
15,16,Jaylen Brown,2020-03-03,BOS,,BRK,L,4th,693,0,"Jaylen Brown misses 3-pt jump shot from 25 ft (BOS 116, BRK 112)",3,25
16,17,Jaylen Brown,2020-02-29,BOS,,HOU,L,1st,14,1,"Jaylen Brown makes 2-pt layup from 4 ft (assist by Jayson Tatum) (BOS 2, HOU 0)",2,4
17,18,Jaylen Brown,2020-02-29,BOS,,HOU,L,1st,30,0,"Jaylen Brown misses 3-pt jump shot from 25 ft (BOS 2, HOU 0)",3,25
18,19,Jaylen Brown,2020-02-29,BOS,,HOU,L,1st,361,1,"Jaylen Brown makes 2-pt jump shot from 15 ft (assist by Gordon Hayward) (BOS 13, HOU 11)",2,15
19,20,Jaylen Brown,2020-02-29,BOS,,HOU,L,1st,385,1,"Jaylen Brown makes 2-pt layup from 2 ft (assist by Marcus Smart) (BOS 15, HOU 11)",2,2
20,21,Jaylen Brown,2020-02-29,BOS,,HOU,L,1st,417,0,"Jaylen Brown misses 2-pt jump shot from 8 ft (BOS 15, HOU 14)",2,8
21,22,Jaylen Brown,2020-02-29,BOS,,HOU,L,2nd,53,1,"Jaylen Brown makes 2-pt jump shot from 21 ft (BOS 30, HOU 21)",2,21
22,23,Jaylen Brown,2020-02-29,BOS,,HOU,L,2nd,129,1,"Jaylen Brown makes 2-pt jump shot from 6 ft (BOS 35, HOU 23)",2,6
23,24,Jaylen Brown,2020-02-29,BOS,,HOU,L,2nd,211,0,"Jaylen Brown misses 2-pt jump shot from 12 ft (BOS 39, HOU 23)",2,12
24,25,Jaylen Brown,2020-02-29,BOS,,HOU,L,2nd,242,0,"Jaylen Brown misses 2-pt jump shot from 17 ft (BOS 39, HOU 25)",2,17
25,26,Jaylen Brown,2020-02-29,BOS,,HOU,L,2nd,464,0,"Jaylen Brown misses 3-pt jump shot from 26 ft (BOS 44, HOU 34)",3,26
26,27,Jaylen Brown,2020-02-29,BOS,,HOU,L,2nd,608,0,"Jaylen Brown misses 3-pt jump shot from 26 ft (BOS 53, HOU 40)",3,26
27,28,Jaylen Brown,2020-02-29,BOS,,HOU,L,2nd,678,0,"Jaylen Brown misses 2-pt jump shot from 22 ft (BOS 56, HOU 43)",2,22
28,29,Jaylen Brown,2020-02-29,BOS,,HOU,L,3rd,142,1,"Jaylen Brown makes 2-pt layup from 2 ft (assist by Jayson Tatum) (BOS 61, HOU 52)",2,2
29,30,Jaylen Brown,2020-02-29,BOS,,HOU,L,3rd,304,0,"Jaylen Brown misses 2-pt jump shot from 13 ft (BOS 64, HOU 61)",2,13
30,31,Jaylen Brown,2020-02-29,BOS,,HOU,L,3rd,414,1,"Jaylen Brown makes 3-pt jump shot from 24 ft (assist by Jayson Tatum) (BOS 69, HOU 66)",3,24
31,32,Jaylen Brown,2020-02-29,BOS,,HOU,L,3rd,465,1,"Jaylen Brown makes 2-pt layup from 2 ft (assist by Daniel Theis) (BOS 71, HOU 69)",2,2
32,33,Jaylen Brown,2020-02-29,BOS,,HOU,L,4th,141,0,"Jaylen Brown misses 2-pt layup from 7 ft (block by Jeff Green) (BOS 82, HOU 85)",2,7
33,34,Jaylen Brown,2020-02-29,BOS,,HOU,L,4th,174,0,"Jaylen Brown misses 2-pt jump shot from 11 ft (BOS 82, HOU 85)",2,11
34,35,Jaylen Brown,2020-02-29,BOS,,HOU,L,4th,494,0,"Jaylen Brown misses 3-pt jump shot from 27 ft (BOS 93, HOU 96)",3,27
35,36,Jaylen Brown,2020-02-29,BOS,,HOU,L,4th,590,0,"Jaylen Brown misses 2-pt layup from 3 ft (block by Robert Covington) (BOS 95, HOU 99)",2,3
36,37,Jaylen Brown,2020-02-29,BOS,,HOU,L,4th,719,1,"Jaylen Brown makes 3-pt jump shot from 26 ft (BOS 104, HOU 104)",3,26
37,38,Jaylen Brown,2020-02-29,BOS,,HOU,L,OT,494,0,"Jaylen Brown misses 2-pt jump shot from 22 ft (BOS 106, HOU 107)",2,22
38,39,Jaylen Brown,2020-02-29,BOS,,HOU,L,OT,717,0,"Jaylen Brown misses 2-pt jump shot from 15 ft (BOS 110, HOU 111)",2,15
39,40,Jaylen Brown,2020-02-26,BOS,@,UTA,W,1st,47,0,"Jaylen Brown misses 2-pt layup from 3 ft (BOS 0, UTA 2)",2,3
40,41,Jaylen Brown,2020-02-26,BOS,@,UTA,W,1st,228,0,"Jaylen Brown misses 2-pt jump shot from 5 ft (BOS 9, UTA 4)",2,5
41,42,Jaylen Brown,2020-02-26,BOS,@,UTA,W,1st,232,1,"Jaylen Brown makes 3-pt jump shot from 23 ft (BOS 12, UTA 4)",3,23
42,43,Jaylen Brown,2020-02-26,BOS,@,UTA,W,1st,359,0,"Jaylen Brown misses 2-pt jump shot from 7 ft (BOS 12, UTA 6)",2,7
43,44,Jaylen Brown,2020-02-26,BOS,@,UTA,W,1st,386,0,"Jaylen Brown misses 2-pt jump shot from 17 ft (BOS 12, UTA 6)",2,17
