,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Vince Carter,2020-03-11,ATL,,NYK,L,1st,502,0,"Vince Carter misses 3-pt jump shot from 26 ft (ATL 11, NYK 24)",3,26
1,2,Vince Carter,2020-03-11,ATL,,NYK,L,2nd,125,0,"Vince Carter misses 2-pt jump shot from 11 ft (ATL 26, NYK 38)",2,11
2,3,Vince Carter,2020-03-11,ATL,,NYK,L,3rd,503,1,"Vince Carter makes 2-pt layup from 2 ft (ATL 71, NYK 89)",2,2
3,4,Vince Carter,2020-03-11,ATL,,NYK,L,3rd,560,0,"Vince Carter misses 2-pt jump shot from 16 ft (ATL 71, NYK 92)",2,16
4,5,Vince Carter,2020-03-11,ATL,,NYK,L,OT,707,1,"Vince Carter makes 3-pt jump shot from 26 ft (assist by Trae Young) (ATL 131, NYK 136)",3,26
5,6,Vince Carter,2020-03-09,ATL,,CHO,W,1st,701,0,"Vince Carter misses 2-pt jump shot from 20 ft (ATL 30, CHO 32)",2,20
6,7,Vince Carter,2020-03-09,ATL,,CHO,W,2nd,187,1,"Vince Carter makes 3-pt jump shot from 25 ft (assist by Jeff Teague) (ATL 43, CHO 38)",3,25
7,8,Vince Carter,2020-03-09,ATL,,CHO,W,2nd,282,1,"Vince Carter makes 3-pt jump shot from 25 ft (ATL 48, CHO 45)",3,25
8,9,Vince Carter,2020-03-09,ATL,,CHO,W,2nd,402,0,"Vince Carter misses 3-pt jump shot from 23 ft (ATL 53, CHO 52)",3,23
9,10,Vince Carter,2020-03-09,ATL,,CHO,W,3rd,467,1,"Vince Carter makes 3-pt jump shot from 24 ft (assist by Cam Reddish) (ATL 86, CHO 81)",3,24
10,11,Vince Carter,2020-03-09,ATL,,CHO,W,3rd,623,0,"Vince Carter misses 3-pt jump shot from 23 ft (ATL 91, CHO 87)",3,23
11,12,Vince Carter,2020-03-07,ATL,@,MEM,L,1st,688,0,"Vince Carter misses 3-pt jump shot from 26 ft (ATL 18, MEM 36)",3,26
12,13,Vince Carter,2020-03-07,ATL,@,MEM,L,2nd,603,0,"Vince Carter misses 3-pt jump shot from 26 ft (ATL 37, MEM 60)",3,26
13,14,Vince Carter,2020-03-07,ATL,@,MEM,L,2nd,664,1,"Vince Carter makes 2-pt layup from 1 ft (assist by Jeff Teague) (ATL 42, MEM 64)",2,1
14,15,Vince Carter,2020-03-07,ATL,@,MEM,L,3rd,482,0,"Vince Carter misses 3-pt jump shot from 26 ft (ATL 67, MEM 89)",3,26
15,16,Vince Carter,2020-03-07,ATL,@,MEM,L,4th,27,0,"Vince Carter misses 3-pt jump shot from 26 ft (ATL 78, MEM 95)",3,26
16,17,Vince Carter,2020-03-07,ATL,@,MEM,L,4th,496,1,"Vince Carter makes 3-pt jump shot from 23 ft (assist by Kevin Huerter) (ATL 98, MEM 112)",3,23
17,18,Vince Carter,2020-03-07,ATL,@,MEM,L,4th,524,0,"Vince Carter misses 3-pt jump shot from 25 ft (ATL 98, MEM 113)",3,25
18,19,Vince Carter,2020-03-06,ATL,@,WAS,L,1st,661,1,"Vince Carter makes 3-pt jump shot from 26 ft (assist by Treveon Graham) (ATL 34, WAS 29)",3,26
19,20,Vince Carter,2020-03-06,ATL,@,WAS,L,3rd,551,0,"Vince Carter misses 3-pt jump shot from 25 ft (ATL 65, WAS 81)",3,25
20,21,Vince Carter,2020-03-06,ATL,@,WAS,L,3rd,682,1,"Vince Carter makes 3-pt jump shot from 25 ft (assist by Kevin Huerter) (ATL 75, WAS 91)",3,25
21,22,Vince Carter,2020-03-06,ATL,@,WAS,L,4th,106,1,"Vince Carter makes 2-pt jump shot from 18 ft (ATL 82, WAS 96)",2,18
22,23,Vince Carter,2020-03-02,ATL,,MEM,L,1st,404,0,"Vince Carter misses 3-pt jump shot from 25 ft (ATL 11, MEM 8)",3,25
23,24,Vince Carter,2020-03-02,ATL,,MEM,L,1st,413,1,"Vince Carter makes 3-pt jump shot from 26 ft (assist by John Collins) (ATL 14, MEM 8)",3,26
24,25,Vince Carter,2020-03-02,ATL,,MEM,L,1st,447,0,"Vince Carter misses 3-pt jump shot from 26 ft (ATL 14, MEM 11)",3,26
25,26,Vince Carter,2020-03-02,ATL,,MEM,L,1st,533,0,"Vince Carter misses 3-pt jump shot from 26 ft (ATL 19, MEM 14)",3,26
26,27,Vince Carter,2020-03-02,ATL,,MEM,L,3rd,475,0,"Vince Carter misses 3-pt jump shot from 25 ft (ATL 58, MEM 77)",3,25
27,28,Vince Carter,2020-03-02,ATL,,MEM,L,3rd,498,1,"Vince Carter makes 3-pt jump shot from 26 ft (assist by Jeff Teague) (ATL 61, MEM 77)",3,26
28,29,Vince Carter,2020-03-02,ATL,,MEM,L,3rd,533,0,"Vince Carter misses 3-pt jump shot from 25 ft (ATL 61, MEM 79)",3,25
29,30,Vince Carter,2020-03-02,ATL,,MEM,L,4th,158,0,"Vince Carter misses 2-pt layup at rim (ATL 70, MEM 94)",2,0
30,31,Vince Carter,2020-03-02,ATL,,MEM,L,4th,162,0,"Vince Carter misses 2-pt layup from 1 ft (ATL 70, MEM 94)",2,1
