,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Wendell Carter,2020-03-10,CHI,,CLE,W,1st,134,0,"Wendell Carter misses 2-pt layup from 1 ft (CHI 4, CLE 5)",2,1
1,2,Wendell Carter,2020-03-10,CHI,,CLE,W,1st,247,1,"Wendell Carter makes 2-pt layup from 2 ft (assist by Coby White) (CHI 11, CLE 10)",2,2
2,3,Wendell Carter,2020-03-10,CHI,,CLE,W,2nd,16,1,"Wendell Carter makes 2-pt jump shot from 12 ft (assist by Thaddeus Young) (CHI 29, CLE 29)",2,12
3,4,Wendell Carter,2020-03-10,CHI,,CLE,W,2nd,83,1,"Wendell Carter makes 2-pt layup from 2 ft (assist by Thaddeus Young) (CHI 31, CLE 31)",2,2
4,5,Wendell Carter,2020-03-10,CHI,,CLE,W,2nd,156,1,"Wendell Carter makes 2-pt dunk from 1 ft (assist by Shaquille Harrison) (CHI 33, CLE 35)",2,1
5,6,Wendell Carter,2020-03-10,CHI,,CLE,W,3rd,64,1,"Wendell Carter makes 2-pt layup from 1 ft (assist by Coby White) (CHI 56, CLE 54)",2,1
6,7,Wendell Carter,2020-03-10,CHI,,CLE,W,3rd,96,0,"Wendell Carter misses 2-pt layup from 2 ft (CHI 56, CLE 56)",2,2
7,8,Wendell Carter,2020-03-10,CHI,,CLE,W,3rd,673,1,"Wendell Carter makes 2-pt layup at rim (assist by Tomáš Satoranský) (CHI 78, CLE 75)",2,0
8,9,Wendell Carter,2020-03-10,CHI,,CLE,W,4th,272,1,"Wendell Carter makes 2-pt layup from 1 ft (assist by Denzel Valentine) (CHI 91, CLE 85)",2,1
9,10,Wendell Carter,2020-03-08,CHI,@,BRK,L,2nd,52,1,"Wendell Carter makes 2-pt jump shot from 14 ft (assist by Otto Porter) (CHI 27, BRK 22)",2,14
10,11,Wendell Carter,2020-03-08,CHI,@,BRK,L,2nd,100,1,"Wendell Carter makes 2-pt hook shot from 6 ft (assist by Coby White) (CHI 29, BRK 24)",2,6
11,12,Wendell Carter,2020-03-08,CHI,@,BRK,L,3rd,50,0,"Wendell Carter misses 2-pt jump shot from 19 ft (CHI 52, BRK 58)",2,19
12,13,Wendell Carter,2020-03-08,CHI,@,BRK,L,3rd,583,0,"Wendell Carter misses 2-pt hook shot from 6 ft (CHI 66, BRK 75)",2,6
13,14,Wendell Carter,2020-03-08,CHI,@,BRK,L,4th,70,0,"Wendell Carter misses 2-pt jump shot from 11 ft (CHI 70, BRK 77)",2,11
