,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,John Collins,2020-03-11,ATL,,NYK,L,1st,75,0,"John Collins misses 3-pt jump shot from 26 ft (ATL 0, NYK 0)",3,26
1,2,John Collins,2020-03-11,ATL,,NYK,L,1st,321,0,"John Collins misses 2-pt jump shot from 10 ft (ATL 6, NYK 16)",2,10
2,3,John Collins,2020-03-11,ATL,,NYK,L,1st,480,0,"John Collins misses 2-pt jump shot from 18 ft (ATL 11, NYK 22)",2,18
3,4,John Collins,2020-03-11,ATL,,NYK,L,2nd,242,0,"John Collins misses 3-pt jump shot from 26 ft (ATL 28, NYK 43)",3,26
4,5,John Collins,2020-03-11,ATL,,NYK,L,2nd,296,1,"John Collins makes 2-pt dunk from 1 ft (assist by Kevin Huerter) (ATL 30, NYK 43)",2,1
5,6,John Collins,2020-03-11,ATL,,NYK,L,2nd,356,0,"John Collins misses 2-pt jump shot from 11 ft (ATL 30, NYK 45)",2,11
6,7,John Collins,2020-03-11,ATL,,NYK,L,2nd,488,1,"John Collins makes 3-pt jump shot from 26 ft (assist by Dewayne Dedmon) (ATL 39, NYK 53)",3,26
7,8,John Collins,2020-03-11,ATL,,NYK,L,2nd,653,0,"John Collins misses 3-pt jump shot from 26 ft (ATL 45, NYK 63)",3,26
8,9,John Collins,2020-03-11,ATL,,NYK,L,2nd,693,1,"John Collins makes 2-pt layup from 1 ft (assist by Jeff Teague) (ATL 47, NYK 67)",2,1
9,10,John Collins,2020-03-11,ATL,,NYK,L,3rd,27,0,"John Collins misses 2-pt layup from 4 ft (block by Taj Gibson) (ATL 50, NYK 67)",2,4
10,11,John Collins,2020-03-11,ATL,,NYK,L,3rd,33,1,"John Collins makes 2-pt layup from 1 ft (assist by Kevin Huerter) (ATL 52, NYK 67)",2,1
11,12,John Collins,2020-03-11,ATL,,NYK,L,3rd,58,0,"John Collins misses 3-pt jump shot from 25 ft (ATL 52, NYK 67)",3,25
12,13,John Collins,2020-03-11,ATL,,NYK,L,3rd,96,1,"John Collins makes 2-pt dunk at rim (assist by Trae Young) (ATL 54, NYK 70)",2,0
13,14,John Collins,2020-03-11,ATL,,NYK,L,3rd,175,0,"John Collins misses 2-pt dunk from 1 ft (block by Elfrid Payton) (ATL 58, NYK 72)",2,1
14,15,John Collins,2020-03-11,ATL,,NYK,L,3rd,284,0,"John Collins misses 2-pt layup from 2 ft (ATL 60, NYK 80)",2,2
15,16,John Collins,2020-03-11,ATL,,NYK,L,3rd,664,0,"John Collins misses 3-pt jump shot from 27 ft (ATL 73, NYK 93)",3,27
16,17,John Collins,2020-03-11,ATL,,NYK,L,4th,168,1,"John Collins makes 2-pt layup from 12 ft (assist by Trae Young) (ATL 85, NYK 99)",2,12
17,18,John Collins,2020-03-11,ATL,,NYK,L,4th,467,1,"John Collins makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 103, NYK 109)",2,1
18,19,John Collins,2020-03-11,ATL,,NYK,L,4th,648,1,"John Collins makes 2-pt layup from 2 ft (ATL 113, NYK 116)",2,2
19,20,John Collins,2020-03-11,ATL,,NYK,L,OT,656,1,"John Collins makes 2-pt layup from 5 ft (assist by Trae Young) (ATL 126, NYK 131)",2,5
20,21,John Collins,2020-03-09,ATL,,CHO,W,1st,62,1,"John Collins makes 2-pt layup at rim (assist by Trae Young) (ATL 5, CHO 0)",2,0
21,22,John Collins,2020-03-09,ATL,,CHO,W,1st,86,1,"John Collins makes 2-pt dunk from 1 ft (assist by Kevin Huerter) (ATL 7, CHO 3)",2,1
22,23,John Collins,2020-03-09,ATL,,CHO,W,1st,295,1,"John Collins makes 2-pt layup from 2 ft (assist by Trae Young) (ATL 15, CHO 12)",2,2
23,24,John Collins,2020-03-09,ATL,,CHO,W,1st,375,1,"John Collins makes 2-pt layup from 4 ft (assist by De'Andre Hunter) (ATL 20, CHO 14)",2,4
24,25,John Collins,2020-03-09,ATL,,CHO,W,2nd,319,1,"John Collins makes 2-pt dunk from 1 ft (assist by Vince Carter) (ATL 50, CHO 48)",2,1
25,26,John Collins,2020-03-09,ATL,,CHO,W,3rd,65,1,"John Collins makes 2-pt layup from 2 ft (ATL 71, CHO 65)",2,2
26,27,John Collins,2020-03-09,ATL,,CHO,W,3rd,196,1,"John Collins makes 2-pt hook shot from 7 ft (assist by Kevin Huerter) (ATL 77, CHO 69)",2,7
27,28,John Collins,2020-03-09,ATL,,CHO,W,3rd,267,1,"John Collins makes 2-pt layup from 4 ft (assist by Trae Young) (ATL 79, CHO 73)",2,4
28,29,John Collins,2020-03-09,ATL,,CHO,W,3rd,355,1,"John Collins makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 81, CHO 75)",2,1
29,30,John Collins,2020-03-09,ATL,,CHO,W,3rd,400,1,"John Collins makes 2-pt layup from 3 ft (ATL 83, CHO 77)",2,3
30,31,John Collins,2020-03-09,ATL,,CHO,W,4th,700,1,"John Collins makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 121, CHO 120)",2,1
31,32,John Collins,2020-03-09,ATL,,CHO,W,OT,668,0,"John Collins misses 2-pt layup from 2 ft (block by Bismack Biyombo) (ATL 129, CHO 131)",2,2
32,33,John Collins,2020-03-09,ATL,,CHO,W,OT,668,1,"John Collins makes 2-pt layup from 2 ft (ATL 131, CHO 131)",2,2
33,34,John Collins,2020-03-07,ATL,@,MEM,L,1st,60,1,"John Collins makes 2-pt layup from 2 ft (assist by Trae Young) (ATL 5, MEM 2)",2,2
