,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Allen Crabbe,2020-02-21,MIN,,BOS,L,1st,571,0,"Allen Crabbe misses 3-pt jump shot from 25 ft (MIN 17, BOS 20)",3,25
1,2,Allen Crabbe,2020-02-21,MIN,,BOS,L,4th,96,0,"Allen Crabbe misses 3-pt jump shot from 23 ft (MIN 88, BOS 98)",3,23
2,3,Allen Crabbe,2020-02-12,MIN,,CHO,L,2nd,15,0,"Allen Crabbe misses 3-pt jump shot from 25 ft (MIN 36, CHO 28)",3,25
3,4,Allen Crabbe,2020-02-12,MIN,,CHO,L,2nd,84,0,"Allen Crabbe misses 3-pt jump shot from 24 ft (MIN 39, CHO 30)",3,24
4,5,Allen Crabbe,2020-02-10,MIN,@,TOR,L,1st,362,0,"Allen Crabbe misses 3-pt jump shot from 27 ft (MIN 21, TOR 24)",3,27
5,6,Allen Crabbe,2020-02-10,MIN,@,TOR,L,1st,418,1,"Allen Crabbe makes 3-pt jump shot from 24 ft (assist by James Johnson) (MIN 24, TOR 30)",3,24
6,7,Allen Crabbe,2020-02-10,MIN,@,TOR,L,1st,479,0,"Allen Crabbe misses 2-pt jump shot from 20 ft (MIN 27, TOR 30)",2,20
7,8,Allen Crabbe,2020-02-10,MIN,@,TOR,L,1st,515,1,"Allen Crabbe makes 2-pt layup from 3 ft (assist by Jordan McLaughlin) (MIN 31, TOR 33)",2,3
8,9,Allen Crabbe,2020-02-10,MIN,@,TOR,L,1st,594,0,"Allen Crabbe misses 3-pt jump shot from 23 ft (MIN 31, TOR 36)",3,23
9,10,Allen Crabbe,2020-02-10,MIN,@,TOR,L,1st,720,0,"Allen Crabbe misses 3-pt jump shot from 29 ft (MIN 36, TOR 40)",3,29
10,11,Allen Crabbe,2020-02-10,MIN,@,TOR,L,4th,21,1,"Allen Crabbe makes 3-pt jump shot from 24 ft (assist by Jordan McLaughlin) (MIN 97, TOR 106)",3,24
11,12,Allen Crabbe,2020-02-10,MIN,@,TOR,L,4th,56,0,"Allen Crabbe misses 3-pt jump shot from 27 ft (MIN 97, TOR 106)",3,27
12,13,Allen Crabbe,2020-02-08,MIN,,LAC,W,2nd,55,0,"Allen Crabbe misses 3-pt jump shot from 25 ft (MIN 40, LAC 31)",3,25
13,14,Allen Crabbe,2020-02-08,MIN,,LAC,W,3rd,720,1,"End of 3rd quarter (MIN 112, LAC 88)",3,11
14,15,Allen Crabbe,2020-02-05,MIN,,ATL,L,3rd,395,1,"Allen Crabbe makes 2-pt jump shot from 15 ft (assist by Karl-Anthony Towns) (MIN 67, ATL 85)",2,15
15,16,Allen Crabbe,2020-02-05,MIN,,ATL,L,3rd,528,0,"Allen Crabbe misses 3-pt jump shot from 25 ft (MIN 71, ATL 88)",3,25
16,17,Allen Crabbe,2020-01-25,MIN,,OKC,L,1st,426,0,"Allen Crabbe misses 3-pt jump shot from 24 ft (MIN 17, OKC 14)",3,24
17,18,Allen Crabbe,2020-01-24,MIN,,HOU,L,2nd,604,1,"Allen Crabbe makes 2-pt layup from 1 ft (assist by Robert Covington) (MIN 52, HOU 59)",2,1
18,19,Allen Crabbe,2020-01-24,MIN,,HOU,L,2nd,626,0,"Allen Crabbe misses 3-pt jump shot from 23 ft (MIN 52, HOU 59)",3,23
19,20,Allen Crabbe,2020-01-24,MIN,,HOU,L,4th,108,1,"James Harden makes 2-pt layup from 2 ft (HOU 99, MIN 92)",2,2
