,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Dewayne Dedmon,2020-03-11,ATL,,NYK,L,1st,21,0,"Dewayne Dedmon misses 3-pt jump shot from 25 ft (ATL 0, NYK 0)",3,25
1,2,Dewayne Dedmon,2020-03-11,ATL,,NYK,L,1st,140,0,"Dewayne Dedmon misses 3-pt jump shot from 25 ft (ATL 2, NYK 4)",3,25
2,3,Dewayne Dedmon,2020-03-11,ATL,,NYK,L,1st,236,0,"Dewayne Dedmon misses 2-pt layup from 1 ft (ATL 4, NYK 11)",2,1
3,4,Dewayne Dedmon,2020-03-11,ATL,,NYK,L,1st,415,1,"Dewayne Dedmon makes 2-pt layup from 1 ft (assist by Trae Young) (ATL 11, NYK 18)",2,1
4,5,Dewayne Dedmon,2020-03-11,ATL,,NYK,L,2nd,535,0,"Dewayne Dedmon misses 2-pt layup from 1 ft (ATL 39, NYK 55)",2,1
5,6,Dewayne Dedmon,2020-03-11,ATL,,NYK,L,3rd,195,0,"Dewayne Dedmon misses 3-pt jump shot from 23 ft (block by Taj Gibson) (ATL 58, NYK 74)",3,23
6,7,Dewayne Dedmon,2020-03-11,ATL,,NYK,L,3rd,719,1,"Dewayne Dedmon makes 2-pt layup at rim (ATL 78, NYK 96)",2,0
7,8,Dewayne Dedmon,2020-03-11,ATL,,NYK,L,OT,472,1,"Dewayne Dedmon makes 2-pt layup from 2 ft (assist by Trae Young) (ATL 120, NYK 121)",2,2
8,9,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,1st,113,1,"Dewayne Dedmon makes 3-pt jump shot from 25 ft (assist by Trae Young) (ATL 10, CHO 3)",3,25
9,10,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,1st,154,1,"Dewayne Dedmon makes 2-pt layup from 2 ft (assist by Trae Young) (ATL 12, CHO 3)",2,2
10,11,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,1st,705,1,"Dewayne Dedmon makes 2-pt jump shot from 16 ft (assist by Treveon Graham) (ATL 32, CHO 32)",2,16
11,12,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,2nd,475,1,"Dewayne Dedmon makes 3-pt jump shot from 26 ft (assist by Trae Young) (ATL 56, CHO 55)",3,26
12,13,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,2nd,589,1,"Dewayne Dedmon makes 2-pt jump shot from 13 ft (assist by Trae Young) (ATL 60, CHO 55)",2,13
13,14,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,3rd,128,0,"Dewayne Dedmon misses 2-pt layup from 5 ft (ATL 73, CHO 67)",2,5
14,15,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,3rd,189,0,"Dewayne Dedmon misses 2-pt layup from 2 ft (block by Miles Bridges) (ATL 75, CHO 69)",2,2
15,16,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,3rd,242,0,"Dewayne Dedmon misses 3-pt jump shot from 23 ft (ATL 77, CHO 71)",3,23
16,17,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,3rd,619,0,"Dewayne Dedmon misses 2-pt layup at rim (ATL 91, CHO 87)",2,0
17,18,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,4th,87,0,"Dewayne Dedmon misses 2-pt jump shot from 5 ft (ATL 98, CHO 94)",2,5
18,19,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,4th,142,0,"Dewayne Dedmon misses 2-pt dunk from 2 ft (block by P.J. Washington) (ATL 98, CHO 96)",2,2
19,20,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,4th,148,1,"Dewayne Dedmon makes 2-pt layup from 2 ft (ATL 100, CHO 96)",2,2
20,21,Dewayne Dedmon,2020-03-09,ATL,,CHO,W,4th,494,0,"Dewayne Dedmon misses 3-pt jump shot from 23 ft (ATL 115, CHO 109)",3,23
21,22,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,1st,103,0,"Dewayne Dedmon misses 3-pt jump shot from 26 ft (ATL 5, MEM 6)",3,26
22,23,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,1st,138,0,"Dewayne Dedmon misses 2-pt layup from 2 ft (ATL 5, MEM 8)",2,2
23,24,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,1st,314,0,"Dewayne Dedmon misses 3-pt jump shot from 26 ft (ATL 8, MEM 16)",3,26
24,25,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,2nd,264,0,"Dewayne Dedmon misses 3-pt jump shot from 23 ft (ATL 24, MEM 47)",3,23
25,26,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,2nd,439,0,"Dewayne Dedmon misses 3-pt jump shot from 25 ft (ATL 34, MEM 51)",3,25
26,27,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,3rd,127,0,"Dewayne Dedmon misses 3-pt jump shot from 27 ft (ATL 52, MEM 68)",3,27
27,28,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,4th,96,1,"Dewayne Dedmon makes 2-pt layup at rim (ATL 80, MEM 97)",2,0
28,29,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,4th,156,0,"Dewayne Dedmon misses 2-pt layup from 1 ft (ATL 82, MEM 98)",2,1
29,30,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,4th,177,0,"Dewayne Dedmon misses 3-pt jump shot from 25 ft (ATL 83, MEM 98)",3,25
30,31,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,4th,273,0,"Dewayne Dedmon misses 3-pt jump shot from 24 ft (ATL 85, MEM 104)",3,24
31,32,Dewayne Dedmon,2020-03-07,ATL,@,MEM,L,4th,283,0,"Dewayne Dedmon misses 2-pt jump shot from 5 ft (ATL 85, MEM 104)",2,5
32,33,Dewayne Dedmon,2020-03-06,ATL,@,WAS,L,1st,68,0,"Dewayne Dedmon misses 2-pt hook shot from 7 ft (ATL 3, WAS 3)",2,7
33,34,Dewayne Dedmon,2020-03-06,ATL,@,WAS,L,1st,147,0,"Dewayne Dedmon misses 2-pt layup from 5 ft (ATL 5, WAS 7)",2,5
34,35,Dewayne Dedmon,2020-03-06,ATL,@,WAS,L,1st,292,1,"Dewayne Dedmon makes 3-pt jump shot from 28 ft (ATL 13, WAS 13)",3,28
35,36,Dewayne Dedmon,2020-03-06,ATL,@,WAS,L,2nd,118,1,"Dewayne Dedmon makes 2-pt layup from 3 ft (assist by Kevin Huerter) (ATL 36, WAS 38)",2,3
