,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,1st,73,0,"Spencer Dinwiddie misses 2-pt jump shot from 19 ft (BRK 2, LAL 2)",2,19
1,2,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,1st,278,0,"Spencer Dinwiddie misses 3-pt jump shot from 26 ft (BRK 9, LAL 12)",3,26
2,3,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,1st,314,0,"Spencer Dinwiddie misses 3-pt jump shot from 29 ft (BRK 11, LAL 14)",3,29
3,4,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,1st,340,1,"Spencer Dinwiddie makes 2-pt jump shot from 8 ft (BRK 13, LAL 17)",2,8
4,5,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,1st,470,0,"Spencer Dinwiddie misses 2-pt layup from 3 ft (BRK 20, LAL 27)",2,3
5,6,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,2nd,384,1,"Spencer Dinwiddie makes 2-pt dunk from 1 ft (BRK 40, LAL 44)",2,1
6,7,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,2nd,428,1,"Spencer Dinwiddie makes 2-pt jump shot from 7 ft (BRK 46, LAL 44)",2,7
7,8,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,2nd,497,0,"Spencer Dinwiddie misses 2-pt jump shot from 13 ft (BRK 48, LAL 49)",2,13
8,9,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,2nd,555,1,"Spencer Dinwiddie makes 2-pt jump shot from 2 ft (BRK 52, LAL 52)",2,2
9,10,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,2nd,671,0,"Spencer Dinwiddie misses 3-pt jump shot from 26 ft (BRK 56, LAL 54)",3,26
10,11,Spencer Dinwiddie,2020-03-10,BRK,@,LAL,W,3rd,231,1,"Spencer Dinwiddie makes 3-pt jump shot from 31 ft (assist by Wilson Chandler) (BRK 67, LAL 68)",3,31
