,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Carsen Edwards,2020-03-03,BOS,,BRK,L,1st,675,1,"Carsen Edwards makes 3-pt jump shot from 27 ft (assist by Jaylen Brown) (BOS 33, BRK 27)",3,27
1,2,Carsen Edwards,2020-03-03,BOS,,BRK,L,1st,719,0,"Carsen Edwards misses 3-pt jump shot from 37 ft (BOS 33, BRK 28)",3,37
2,3,Carsen Edwards,2020-03-03,BOS,,BRK,L,2nd,21,1,"Carsen Edwards makes 3-pt jump shot from 27 ft (assist by Grant Williams) (BOS 36, BRK 28)",3,27
3,4,Carsen Edwards,2020-03-03,BOS,,BRK,L,2nd,122,0,"Carsen Edwards misses 3-pt jump shot from 27 ft (BOS 37, BRK 32)",3,27
4,5,Carsen Edwards,2020-03-03,BOS,,BRK,L,2nd,292,0,"Carsen Edwards misses 2-pt dunk from 4 ft (block by Spencer Dinwiddie) (BOS 40, BRK 34)",2,4
5,6,Carsen Edwards,2020-03-03,BOS,,BRK,L,4th,36,0,"Carsen Edwards misses 3-pt jump shot from 27 ft (BOS 87, BRK 69)",3,27
6,7,Carsen Edwards,2020-03-03,BOS,,BRK,L,OT,573,1,"Carsen Edwards makes 2-pt jump shot from 18 ft (BOS 120, BRK 126)",2,18
7,8,Carsen Edwards,2020-03-03,BOS,,BRK,L,OT,636,0,"Carsen Edwards misses 2-pt jump shot from 20 ft (BOS 120, BRK 126)",2,20
8,9,Carsen Edwards,2020-02-25,BOS,@,POR,W,4th,657,1,"Carsen Edwards makes 2-pt jump shot from 16 ft (assist by Brad Wanamaker) (BOS 118, POR 101)",2,16
9,10,Carsen Edwards,2020-02-25,BOS,@,POR,W,4th,675,0,"Carsen Edwards misses 3-pt jump shot from 26 ft (BOS 118, POR 104)",3,26
10,11,Carsen Edwards,2020-02-03,BOS,@,ATL,W,2nd,58,1,"Carsen Edwards makes 2-pt layup from 1 ft (BOS 32, ATL 34)",2,1
11,12,Carsen Edwards,2020-01-26,BOS,@,NOP,L,3rd,659,0,"Carsen Edwards misses 2-pt layup from 2 ft (BOS 79, NOP 88)",2,2
12,13,Carsen Edwards,2020-01-26,BOS,@,NOP,L,4th,671,0,"Carsen Edwards misses 3-pt jump shot from 25 ft (BOS 108, NOP 121)",3,25
13,14,Carsen Edwards,2020-01-22,BOS,,MEM,W,4th,56,1,"Carsen Edwards makes 2-pt jump shot from 15 ft (assist by Javonte Green) (BOS 101, MEM 63)",2,15
14,15,Carsen Edwards,2020-01-22,BOS,,MEM,W,4th,90,1,"Carsen Edwards makes 2-pt jump shot from 15 ft (assist by Grant Williams) (BOS 103, MEM 65)",2,15
15,16,Carsen Edwards,2020-01-22,BOS,,MEM,W,4th,262,0,"Carsen Edwards misses 3-pt jump shot from 25 ft (BOS 105, MEM 74)",3,25
16,17,Carsen Edwards,2020-01-22,BOS,,MEM,W,4th,507,1,"Carsen Edwards makes 3-pt jump shot from 25 ft (assist by Brad Wanamaker) (BOS 113, MEM 83)",3,25
17,18,Carsen Edwards,2020-01-22,BOS,,MEM,W,4th,582,0,"Carsen Edwards misses 2-pt layup from 6 ft (block by Marko Guduric) (BOS 115, MEM 87)",2,6
18,19,Carsen Edwards,2020-01-11,BOS,,NOP,W,4th,405,1,"Carsen Edwards makes 2-pt jump shot from 18 ft (BOS 131, NOP 99)",2,18
19,20,Carsen Edwards,2020-01-11,BOS,,NOP,W,4th,459,0,"Carsen Edwards misses 3-pt jump shot from 27 ft (BOS 134, NOP 101)",3,27
20,21,Carsen Edwards,2020-01-11,BOS,,NOP,W,4th,475,0,"Carsen Edwards misses 3-pt jump shot from 26 ft (BOS 134, NOP 101)",3,26
21,22,Carsen Edwards,2020-01-11,BOS,,NOP,W,4th,563,0,"Carsen Edwards misses 3-pt jump shot from 23 ft (BOS 134, NOP 103)",3,23
22,23,Carsen Edwards,2020-01-11,BOS,,NOP,W,4th,647,0,"Carsen Edwards misses 2-pt layup from 3 ft (BOS 138, NOP 105)",2,3
23,24,Carsen Edwards,2020-01-08,BOS,,SAS,L,4th,438,1,"Carsen Edwards makes 3-pt jump shot from 25 ft (assist by Grant Williams) (BOS 102, SAS 122)",3,25
24,25,Carsen Edwards,2020-01-08,BOS,,SAS,L,4th,576,0,"Carsen Edwards misses 3-pt jump shot from 26 ft (BOS 107, SAS 124)",3,26
25,26,Carsen Edwards,2020-01-06,BOS,@,WAS,L,1st,716,0,"Carsen Edwards misses 2-pt layup from 5 ft (BOS 17, WAS 26)",2,5
26,27,Carsen Edwards,2020-01-06,BOS,@,WAS,L,2nd,84,0,"Carsen Edwards misses 3-pt jump shot from 24 ft (BOS 19, WAS 26)",3,24
