,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Bruno Fernando,2020-03-11,ATL,,NYK,L,1st,696,1,"Bruno Fernando makes 2-pt dunk from 1 ft (assist by Jeff Teague) (ATL 24, NYK 33)",2,1
1,2,Bruno Fernando,2020-03-11,ATL,,NYK,L,2nd,270,0,"Bruno Fernando misses 2-pt jump shot from 13 ft (ATL 28, NYK 43)",2,13
2,3,Bruno Fernando,2020-03-11,ATL,,NYK,L,3rd,491,0,"Bruno Fernando misses 2-pt dunk from 1 ft (block by Julius Randle) (ATL 69, NYK 89)",2,1
3,4,Bruno Fernando,2020-03-09,ATL,,CHO,W,2nd,116,1,"Bruno Fernando makes 2-pt layup from 1 ft (assist by Jeff Teague) (ATL 37, CHO 34)",2,1
4,5,Bruno Fernando,2020-03-07,ATL,@,MEM,L,3rd,345,0,"Bruno Fernando misses 2-pt jump shot from 9 ft (ATL 62, MEM 83)",2,9
5,6,Bruno Fernando,2020-03-06,ATL,@,WAS,L,1st,448,1,"Bruno Fernando makes 2-pt layup from 3 ft (ATL 19, WAS 17)",2,3
6,7,Bruno Fernando,2020-03-02,ATL,,MEM,L,1st,70,0,"Bruno Fernando misses 2-pt dunk from 2 ft (ATL 0, MEM 0)",2,2
7,8,Bruno Fernando,2020-03-02,ATL,,MEM,L,1st,123,0,"Bruno Fernando misses 3-pt jump shot from 23 ft (ATL 2, MEM 0)",3,23
8,9,Bruno Fernando,2020-03-02,ATL,,MEM,L,1st,210,0,"Bruno Fernando misses 2-pt layup from 4 ft (ATL 4, MEM 0)",2,4
9,10,Bruno Fernando,2020-03-02,ATL,,MEM,L,2nd,198,0,"Bruno Fernando misses 2-pt layup from 2 ft (block by Josh Jackson) (ATL 27, MEM 27)",2,2
10,11,Bruno Fernando,2020-03-02,ATL,,MEM,L,2nd,240,0,"Bruno Fernando misses 2-pt hook shot from 7 ft (ATL 27, MEM 32)",2,7
11,12,Bruno Fernando,2020-03-02,ATL,,MEM,L,3rd,206,0,"Bruno Fernando misses 2-pt hook shot from 6 ft (ATL 53, MEM 60)",2,6
12,13,Bruno Fernando,2020-03-02,ATL,,MEM,L,3rd,261,0,"Bruno Fernando misses 3-pt jump shot from 25 ft (ATL 56, MEM 62)",3,25
13,14,Bruno Fernando,2020-03-02,ATL,,MEM,L,4th,700,1,"Bruno Fernando makes 2-pt dunk from 1 ft (assist by Treveon Graham) (ATL 88, MEM 127)",2,1
14,15,Bruno Fernando,2020-02-29,ATL,,POR,W,1st,600,1,"Bruno Fernando makes 2-pt jump shot from 12 ft (assist by Trae Young) (ATL 18, POR 24)",2,12
15,16,Bruno Fernando,2020-02-29,ATL,,POR,W,1st,626,1,"Bruno Fernando makes 2-pt layup from 2 ft (assist by Trae Young) (ATL 20, POR 24)",2,2
16,17,Bruno Fernando,2020-02-29,ATL,,POR,W,3rd,293,1,"Bruno Fernando makes 2-pt layup from 1 ft (assist by Trae Young) (ATL 84, POR 69)",2,1
17,18,Bruno Fernando,2020-02-29,ATL,,POR,W,3rd,651,1,"Bruno Fernando makes 2-pt layup from 3 ft (assist by Kevin Huerter) (ATL 102, POR 88)",2,3
18,19,Bruno Fernando,2020-02-29,ATL,,POR,W,4th,233,1,"Bruno Fernando makes 2-pt layup from 1 ft (assist by Trae Young) (ATL 116, POR 97)",2,1
19,20,Bruno Fernando,2020-02-28,ATL,,BRK,W,1st,430,0,"Bruno Fernando misses 2-pt jump shot from 11 ft (ATL 16, BRK 24)",2,11
20,21,Bruno Fernando,2020-02-28,ATL,,BRK,W,1st,516,1,"Bruno Fernando makes 2-pt jump shot from 12 ft (assist by Trae Young) (ATL 20, BRK 31)",2,12
21,22,Bruno Fernando,2020-02-28,ATL,,BRK,W,2nd,221,1,"Bruno Fernando makes 2-pt layup at rim (ATL 38, BRK 43)",2,0
22,23,Bruno Fernando,2020-02-28,ATL,,BRK,W,2nd,254,0,"Bruno Fernando misses 2-pt hook shot from 7 ft (ATL 38, BRK 43)",2,7
23,24,Bruno Fernando,2020-02-28,ATL,,BRK,W,2nd,311,0,"Bruno Fernando misses 2-pt layup at rim (ATL 40, BRK 45)",2,0
24,25,Bruno Fernando,2020-02-28,ATL,,BRK,W,2nd,312,1,"Bruno Fernando makes 2-pt layup at rim (ATL 42, BRK 45)",2,0
25,26,Bruno Fernando,2020-02-28,ATL,,BRK,W,4th,269,1,"Bruno Fernando makes 2-pt layup from 2 ft (assist by Trae Young) (ATL 118, BRK 104)",2,2
26,27,Bruno Fernando,2020-02-28,ATL,,BRK,W,4th,302,0,"Bruno Fernando misses 2-pt layup from 2 ft (block by Joe Harris) (ATL 118, BRK 104)",2,2
27,28,Bruno Fernando,2020-02-26,ATL,,ORL,L,1st,33,1,"Bruno Fernando makes 2-pt layup from 2 ft (assist by John Collins) (ATL 2, ORL 0)",2,2
28,29,Bruno Fernando,2020-02-26,ATL,,ORL,L,1st,141,0,"Bruno Fernando misses 3-pt jump shot from 23 ft (ATL 2, ORL 2)",3,23
29,30,Bruno Fernando,2020-02-26,ATL,,ORL,L,1st,563,0,"Bruno Fernando misses 2-pt dunk from 1 ft (block by Mohamed Bamba) (ATL 22, ORL 17)",2,1
30,31,Bruno Fernando,2020-02-26,ATL,,ORL,L,1st,636,1,"Bruno Fernando makes 2-pt layup from 1 ft (assist by Brandon Goodwin) (ATL 26, ORL 20)",2,1
31,32,Bruno Fernando,2020-02-26,ATL,,ORL,L,3rd,159,1,"Bruno Fernando makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 75, ORL 68)",2,1
32,33,Bruno Fernando,2020-02-26,ATL,,ORL,L,4th,620,1,"Bruno Fernando makes 2-pt hook shot from 8 ft (assist by John Collins) (ATL 114, ORL 125)",2,8
