,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Daniel Gafford,2020-03-10,CHI,,CLE,W,1st,533,1,"Daniel Gafford makes 2-pt dunk from 1 ft (CHI 25, CLE 25)",2,1
1,2,Daniel Gafford,2020-03-10,CHI,,CLE,W,2nd,612,1,"Daniel Gafford makes 2-pt layup from 2 ft (assist by Denzel Valentine) (CHI 50, CLE 46)",2,2
2,3,Daniel Gafford,2020-03-08,CHI,@,BRK,L,3rd,359,1,"Daniel Gafford makes 2-pt dunk from 1 ft (assist by Coby White) (CHI 59, BRK 70)",2,1
3,4,Daniel Gafford,2020-03-06,CHI,,IND,L,1st,347,1,"Daniel Gafford makes 2-pt layup from 2 ft (assist by Tomáš Satoranský) (CHI 13, IND 11)",2,2
4,5,Daniel Gafford,2020-03-06,CHI,,IND,L,3rd,343,1,"Daniel Gafford makes 2-pt dunk from 1 ft (assist by Shaquille Harrison) (CHI 54, IND 75)",2,1
5,6,Daniel Gafford,2020-03-06,CHI,,IND,L,3rd,533,0,"Daniel Gafford misses 2-pt layup from 1 ft (block by Myles Turner) (CHI 65, IND 79)",2,1
6,7,Daniel Gafford,2020-03-06,CHI,,IND,L,4th,211,1,"Daniel Gafford makes 2-pt dunk from 1 ft (assist by Denzel Valentine) (CHI 80, IND 95)",2,1
7,8,Daniel Gafford,2020-03-04,CHI,@,MIN,L,2nd,236,0,"Defensive rebound by Daniel Gafford (CHI 35, MIN 35)",3,5
8,9,Daniel Gafford,2020-03-02,CHI,,DAL,W,1st,305,1,"Daniel Gafford makes 2-pt layup at rim (assist by Tomáš Satoranský) (CHI 11, DAL 15)",2,0
9,10,Daniel Gafford,2020-03-02,CHI,,DAL,W,2nd,358,0,"Daniel Gafford misses 2-pt layup from 5 ft (block by Boban Marjanović) (CHI 38, DAL 39)",2,5
10,11,Daniel Gafford,2020-03-02,CHI,,DAL,W,2nd,606,1,"Daniel Gafford makes 2-pt hook shot from 3 ft (assist by Denzel Valentine) (CHI 45, DAL 52)",2,3
11,12,Daniel Gafford,2020-03-02,CHI,,DAL,W,4th,94,1,"Daniel Gafford makes 2-pt dunk from 1 ft (assist by Coby White) (CHI 88, DAL 80)",2,1
12,13,Daniel Gafford,2020-03-02,CHI,,DAL,W,4th,473,1,"Daniel Gafford makes 2-pt dunk from 1 ft (assist by Tomáš Satoranský) (CHI 102, DAL 94)",2,1
13,14,Daniel Gafford,2020-02-29,CHI,@,NYK,L,1st,298,1,"Daniel Gafford makes 2-pt jump shot from 6 ft (assist by Zach LaVine) (CHI 9, NYK 11)",2,6
14,15,Daniel Gafford,2020-02-29,CHI,@,NYK,L,3rd,265,1,"Daniel Gafford makes 2-pt dunk at rim (assist by Tomáš Satoranský) (CHI 66, NYK 73)",2,0
15,16,Daniel Gafford,2020-02-29,CHI,@,NYK,L,3rd,313,0,"Daniel Gafford misses 2-pt dunk from 1 ft (CHI 66, NYK 73)",2,1
16,17,Daniel Gafford,2020-02-29,CHI,@,NYK,L,3rd,453,1,"Daniel Gafford makes 2-pt dunk from 2 ft (assist by Zach LaVine) (CHI 72, NYK 77)",2,2
17,18,Daniel Gafford,2020-02-29,CHI,@,NYK,L,4th,378,1,"Daniel Gafford makes 2-pt dunk from 1 ft (assist by Tomáš Satoranský) (CHI 101, NYK 106)",2,1
18,19,Daniel Gafford,2020-02-29,CHI,@,NYK,L,4th,484,1,"Daniel Gafford makes 2-pt dunk from 1 ft (CHI 105, NYK 110)",2,1
19,20,Daniel Gafford,2020-02-25,CHI,,OKC,L,3rd,511,1,"Daniel Gafford makes 2-pt hook shot from 1 ft (assist by Zach LaVine) (CHI 78, OKC 84)",2,1
20,21,Daniel Gafford,2020-02-25,CHI,,OKC,L,4th,330,1,"Daniel Gafford makes 2-pt dunk at rim (assist by Zach LaVine) (CHI 104, OKC 101)",2,0
21,22,Daniel Gafford,2020-02-25,CHI,,OKC,L,4th,673,0,"Daniel Gafford misses 2-pt layup from 1 ft (block by Steven Adams) (CHI 114, OKC 117)",2,1
22,23,Daniel Gafford,2020-02-25,CHI,,OKC,L,4th,712,1,"Daniel Gafford makes 2-pt layup from 1 ft (CHI 122, OKC 123)",2,1
23,24,Daniel Gafford,2020-02-23,CHI,,WAS,W,1st,32,0,"Daniel Gafford misses 2-pt dunk from 1 ft (CHI 0, WAS 0)",2,1
24,25,Daniel Gafford,2020-02-23,CHI,,WAS,W,1st,54,1,"Daniel Gafford makes 2-pt layup from 1 ft (CHI 2, WAS 2)",2,1
25,26,Daniel Gafford,2020-02-23,CHI,,WAS,W,2nd,57,1,"Daniel Gafford makes 2-pt layup from 1 ft (assist by Adam Mokoka) (CHI 37, WAS 33)",2,1
26,27,Daniel Gafford,2020-02-23,CHI,,WAS,W,2nd,167,1,"Daniel Gafford makes 2-pt layup from 4 ft (CHI 41, WAS 35)",2,4
27,28,Daniel Gafford,2020-02-23,CHI,,WAS,W,4th,337,1,"Daniel Gafford makes 2-pt dunk at rim (assist by Tomáš Satoranský) (CHI 112, WAS 103)",2,0
28,29,Daniel Gafford,2020-02-23,CHI,,WAS,W,4th,583,1,"Daniel Gafford makes 2-pt dunk from 1 ft (assist by Tomáš Satoranský) (CHI 126, WAS 111)",2,1
29,30,Daniel Gafford,2020-02-22,CHI,,PHO,L,2nd,111,1,"Daniel Gafford makes 2-pt dunk from 1 ft (CHI 31, PHO 24)",2,1
