,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Brandon Goodwin,2020-03-07,ATL,@,MEM,L,3rd,543,0,"Brandon Goodwin misses 3-pt jump shot from 25 ft (ATL 68, MEM 89)",3,25
1,2,Brandon Goodwin,2020-03-07,ATL,@,MEM,L,3rd,591,1,"Brandon Goodwin makes 2-pt layup from 1 ft (ATL 72, MEM 89)",2,1
2,3,Brandon Goodwin,2020-03-07,ATL,@,MEM,L,4th,554,1,"Brandon Goodwin makes 3-pt jump shot from 26 ft (assist by John Collins) (ATL 101, MEM 116)",3,26
3,4,Brandon Goodwin,2020-03-07,ATL,@,MEM,L,4th,690,0,"Brandon Goodwin misses 3-pt jump shot from 27 ft (ATL 101, MEM 118)",3,27
4,5,Brandon Goodwin,2020-03-06,ATL,@,WAS,L,1st,688,0,"Brandon Goodwin misses 2-pt layup from 4 ft (block by Isaac Bonga) (ATL 34, WAS 31)",2,4
5,6,Brandon Goodwin,2020-03-06,ATL,@,WAS,L,1st,720,0,"Brandon Goodwin misses 3-pt jump shot from 29 ft (ATL 34, WAS 33)",3,29
6,7,Brandon Goodwin,2020-03-06,ATL,@,WAS,L,2nd,632,1,"Brandon Goodwin makes 2-pt jump shot from 8 ft (assist by Bruno Fernando) (ATL 57, WAS 58)",2,8
7,8,Brandon Goodwin,2020-03-02,ATL,,MEM,L,2nd,24,1,"Brandon Goodwin makes 2-pt layup from 1 ft (ATL 25, MEM 24)",2,1
8,9,Brandon Goodwin,2020-03-02,ATL,,MEM,L,3rd,405,0,"Brandon Goodwin misses 2-pt jump shot from 16 ft (ATL 56, MEM 72)",2,16
9,10,Brandon Goodwin,2020-03-02,ATL,,MEM,L,3rd,454,1,"Brandon Goodwin makes 2-pt jump shot from 8 ft (assist by Vince Carter) (ATL 58, MEM 75)",2,8
10,11,Brandon Goodwin,2020-03-02,ATL,,MEM,L,3rd,636,0,"Brandon Goodwin misses 2-pt layup from 1 ft (ATL 64, MEM 82)",2,1
11,12,Brandon Goodwin,2020-03-02,ATL,,MEM,L,4th,211,0,"Brandon Goodwin misses 3-pt jump shot from 26 ft (ATL 72, MEM 97)",3,26
12,13,Brandon Goodwin,2020-02-29,ATL,,POR,W,2nd,153,1,"Brandon Goodwin makes 2-pt layup from 1 ft (assist by John Collins) (ATL 33, POR 38)",2,1
13,14,Brandon Goodwin,2020-02-29,ATL,,POR,W,2nd,217,0,"Brandon Goodwin misses 3-pt jump shot from 27 ft (ATL 36, POR 38)",3,27
14,15,Brandon Goodwin,2020-02-28,ATL,,BRK,W,1st,620,1,"Brandon Goodwin makes 3-pt jump shot from 25 ft (assist by Vince Carter) (ATL 27, BRK 31)",3,25
15,16,Brandon Goodwin,2020-02-28,ATL,,BRK,W,1st,647,0,"Brandon Goodwin misses 2-pt layup from 3 ft (block by Timothé Luwawu-Cabarrot) (ATL 27, BRK 31)",2,3
16,17,Brandon Goodwin,2020-02-28,ATL,,BRK,W,1st,682,1,"Brandon Goodwin makes 2-pt jump shot from 19 ft (ATL 29, BRK 31)",2,19
17,18,Brandon Goodwin,2020-02-28,ATL,,BRK,W,4th,183,0,"Brandon Goodwin misses 3-pt jump shot from 24 ft (ATL 112, BRK 102)",3,24
18,19,Brandon Goodwin,2020-02-28,ATL,,BRK,W,4th,616,1,"Brandon Goodwin makes 2-pt jump shot from 8 ft (ATL 134, BRK 114)",2,8
19,20,Brandon Goodwin,2020-02-28,ATL,,BRK,W,4th,636,1,"Brandon Goodwin makes 3-pt jump shot from 26 ft (ATL 137, BRK 114)",3,26
