,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Treveon Graham,2020-03-11,ATL,,NYK,L,1st,510,0,"Treveon Graham misses 3-pt jump shot from 23 ft (ATL 11, NYK 24)",3,23
1,2,Treveon Graham,2020-03-11,ATL,,NYK,L,1st,592,1,"Treveon Graham makes 3-pt jump shot from 23 ft (assist by Bruno Fernando) (ATL 19, NYK 28)",3,23
2,3,Treveon Graham,2020-03-11,ATL,,NYK,L,3rd,327,0,"Treveon Graham misses 3-pt jump shot from 26 ft (ATL 62, NYK 82)",3,26
3,4,Treveon Graham,2020-03-11,ATL,,NYK,L,3rd,567,1,"Treveon Graham makes 2-pt dunk at rim (ATL 73, NYK 92)",2,0
4,5,Treveon Graham,2020-03-09,ATL,,CHO,W,3rd,548,1,"Treveon Graham makes 3-pt jump shot from 23 ft (assist by Cam Reddish) (ATL 89, CHO 85)",3,23
5,6,Treveon Graham,2020-03-09,ATL,,CHO,W,3rd,615,0,"Treveon Graham misses 2-pt layup from 6 ft (ATL 91, CHO 87)",2,6
6,7,Treveon Graham,2020-03-09,ATL,,CHO,W,4th,334,1,"Treveon Graham makes 2-pt jump shot from 7 ft (assist by Kevin Huerter) (ATL 105, CHO 99)",2,7
7,8,Treveon Graham,2020-03-07,ATL,@,MEM,L,1st,543,0,"Treveon Graham misses 2-pt jump shot from 8 ft (ATL 11, MEM 26)",2,8
8,9,Treveon Graham,2020-03-07,ATL,@,MEM,L,1st,639,0,"Treveon Graham misses 3-pt jump shot from 23 ft (ATL 15, MEM 32)",3,23
9,10,Treveon Graham,2020-03-07,ATL,@,MEM,L,2nd,243,0,"Treveon Graham misses 3-pt jump shot from 23 ft (ATL 24, MEM 45)",3,23
10,11,Treveon Graham,2020-03-07,ATL,@,MEM,L,3rd,373,1,"Treveon Graham makes 3-pt jump shot from 27 ft (assist by Jeff Teague) (ATL 65, MEM 85)",3,27
11,12,Treveon Graham,2020-03-07,ATL,@,MEM,L,4th,341,1,"Treveon Graham makes 3-pt jump shot from 25 ft (assist by Kevin Huerter) (ATL 92, MEM 106)",3,25
12,13,Treveon Graham,2020-03-06,ATL,@,WAS,L,1st,384,0,"Treveon Graham misses 3-pt jump shot from 45 ft (ATL 15, WAS 15)",3,45
13,14,Treveon Graham,2020-03-06,ATL,@,WAS,L,1st,479,0,"Treveon Graham misses 3-pt jump shot from 24 ft (ATL 19, WAS 19)",3,24
14,15,Treveon Graham,2020-03-06,ATL,@,WAS,L,1st,640,1,"Treveon Graham makes 2-pt layup from 3 ft (assist by Brandon Goodwin) (ATL 31, WAS 29)",2,3
15,16,Treveon Graham,2020-03-02,ATL,,MEM,L,1st,587,0,"Treveon Graham misses 2-pt layup from 6 ft (block by Josh Jackson) (ATL 19, MEM 19)",2,6
16,17,Treveon Graham,2020-03-02,ATL,,MEM,L,2nd,354,1,"Treveon Graham makes 3-pt jump shot from 25 ft (assist by Trae Young) (ATL 30, MEM 39)",3,25
17,18,Treveon Graham,2020-03-02,ATL,,MEM,L,2nd,449,1,"Treveon Graham makes 2-pt layup from 2 ft (assist by De'Andre Hunter) (ATL 35, MEM 44)",2,2
