,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Joe Harris,2020-03-10,BRK,@,LAL,W,1st,113,1,"Joe Harris makes 2-pt layup from 2 ft (assist by DeAndre Jordan) (BRK 4, LAL 4)",2,2
1,2,Joe Harris,2020-03-10,BRK,@,LAL,W,1st,429,0,"Joe Harris misses 2-pt layup from 2 ft (BRK 16, LAL 22)",2,2
2,3,Joe Harris,2020-03-10,BRK,@,LAL,W,2nd,401,1,"Joe Harris makes 3-pt jump shot from 25 ft (assist by Spencer Dinwiddie) (BRK 44, LAL 44)",3,25
3,4,Joe Harris,2020-03-10,BRK,@,LAL,W,2nd,582,0,"Joe Harris misses 3-pt jump shot from 24 ft (BRK 52, LAL 52)",3,24
4,5,Joe Harris,2020-03-10,BRK,@,LAL,W,2nd,639,1,"Joe Harris makes 2-pt jump shot from 17 ft (assist by Spencer Dinwiddie) (BRK 56, LAL 54)",2,17
5,6,Joe Harris,2020-03-10,BRK,@,LAL,W,3rd,14,1,"Joe Harris makes 3-pt jump shot from 27 ft (assist by Caris LeVert) (BRK 59, LAL 58)",3,27
6,7,Joe Harris,2020-03-10,BRK,@,LAL,W,3rd,444,1,"Joe Harris makes 2-pt layup from 2 ft (assist by Timothé Luwawu-Cabarrot) (BRK 78, LAL 76)",2,2
7,8,Joe Harris,2020-03-10,BRK,@,LAL,W,3rd,532,0,"Joe Harris misses 3-pt jump shot from 26 ft (BRK 80, LAL 78)",3,26
8,9,Joe Harris,2020-03-08,BRK,,CHI,W,1st,55,1,"Joe Harris makes 2-pt layup from 2 ft (BRK 2, CHI 3)",2,2
9,10,Joe Harris,2020-03-08,BRK,,CHI,W,1st,238,1,"Joe Harris makes 3-pt jump shot from 28 ft (assist by DeAndre Jordan) (BRK 8, CHI 8)",3,28
10,11,Joe Harris,2020-03-08,BRK,,CHI,W,1st,337,1,"Joe Harris makes 2-pt layup from 2 ft (assist by Spencer Dinwiddie) (BRK 15, CHI 10)",2,2
11,12,Joe Harris,2020-03-08,BRK,,CHI,W,1st,441,1,"Joe Harris makes 3-pt jump shot from 26 ft (assist by DeAndre Jordan) (BRK 18, CHI 16)",3,26
12,13,Joe Harris,2020-03-08,BRK,,CHI,W,2nd,377,0,"Joe Harris misses 3-pt jump shot from 26 ft (BRK 40, CHI 41)",3,26
13,14,Joe Harris,2020-03-08,BRK,,CHI,W,2nd,435,1,"Joe Harris makes 2-pt layup at rim (assist by DeAndre Jordan) (BRK 42, CHI 41)",2,0
14,15,Joe Harris,2020-03-08,BRK,,CHI,W,2nd,558,1,"Joe Harris makes 3-pt jump shot from 26 ft (assist by DeAndre Jordan) (BRK 49, CHI 45)",3,26
15,16,Joe Harris,2020-03-08,BRK,,CHI,W,3rd,36,0,"Joe Harris misses 3-pt jump shot from 26 ft (BRK 58, CHI 52)",3,26
16,17,Joe Harris,2020-03-08,BRK,,CHI,W,3rd,290,0,"Joe Harris misses 3-pt jump shot from 26 ft (BRK 68, CHI 56)",3,26
17,18,Joe Harris,2020-03-08,BRK,,CHI,W,3rd,350,1,"Joe Harris makes 2-pt layup from 1 ft (assist by Spencer Dinwiddie) (BRK 70, CHI 57)",2,1
18,19,Joe Harris,2020-03-08,BRK,,CHI,W,3rd,370,1,"Joe Harris makes 2-pt layup from 2 ft (assist by Timothé Luwawu-Cabarrot) (BRK 72, CHI 59)",2,2
19,20,Joe Harris,2020-03-08,BRK,,CHI,W,3rd,427,0,"Joe Harris misses 3-pt jump shot from 26 ft (BRK 72, CHI 59)",3,26
20,21,Joe Harris,2020-03-06,BRK,,SAS,W,1st,100,1,"Joe Harris makes 2-pt layup at rim (assist by Spencer Dinwiddie) (BRK 7, SAS 4)",2,0
21,22,Joe Harris,2020-03-06,BRK,,SAS,W,1st,161,1,"Joe Harris makes 2-pt jump shot from 14 ft (assist by Caris LeVert) (BRK 11, SAS 6)",2,14
22,23,Joe Harris,2020-03-06,BRK,,SAS,W,1st,269,0,"Joe Harris misses 3-pt jump shot from 25 ft (BRK 16, SAS 6)",3,25
23,24,Joe Harris,2020-03-06,BRK,,SAS,W,1st,456,1,"Joe Harris makes 3-pt jump shot from 25 ft (assist by Spencer Dinwiddie) (BRK 29, SAS 8)",3,25
24,25,Joe Harris,2020-03-06,BRK,,SAS,W,2nd,395,1,"Joe Harris makes 2-pt jump shot from 8 ft (assist by Taurean Waller-Prince) (BRK 69, SAS 36)",2,8
25,26,Joe Harris,2020-03-06,BRK,,SAS,W,2nd,439,1,"Joe Harris makes 2-pt layup from 1 ft (assist by Spencer Dinwiddie) (BRK 71, SAS 38)",2,1
26,27,Joe Harris,2020-03-06,BRK,,SAS,W,2nd,517,0,"Joe Harris misses 2-pt layup from 2 ft (BRK 71, SAS 43)",2,2
27,28,Joe Harris,2020-03-06,BRK,,SAS,W,3rd,117,0,"Joe Harris misses 2-pt layup from 1 ft (BRK 80, SAS 63)",2,1
28,29,Joe Harris,2020-03-06,BRK,,SAS,W,3rd,167,1,"Joe Harris makes 3-pt jump shot from 25 ft (assist by Caris LeVert) (BRK 86, SAS 68)",3,25
29,30,Joe Harris,2020-03-06,BRK,,SAS,W,3rd,278,0,"Joe Harris misses 3-pt jump shot from 24 ft (BRK 92, SAS 72)",3,24
30,31,Joe Harris,2020-03-06,BRK,,SAS,W,3rd,329,1,"Joe Harris makes 2-pt layup from 1 ft (assist by Caris LeVert) (BRK 97, SAS 74)",2,1
31,32,Joe Harris,2020-03-06,BRK,,SAS,W,3rd,479,0,"Joe Harris misses 2-pt layup from 2 ft (block by Trey Lyles) (BRK 105, SAS 84)",2,2
32,33,Joe Harris,2020-03-06,BRK,,SAS,W,4th,324,1,"Joe Harris makes 2-pt layup at rim (assist by Taurean Waller-Prince) (BRK 126, SAS 108)",2,0
33,34,Joe Harris,2020-03-06,BRK,,SAS,W,4th,396,1,"Joe Harris makes 2-pt layup from 1 ft (assist by Jarrett Allen) (BRK 128, SAS 110)",2,1
34,35,Joe Harris,2020-03-04,BRK,,MEM,L,1st,232,1,"Joe Harris makes 3-pt jump shot from 23 ft (assist by Caris LeVert) (BRK 9, MEM 5)",3,23
35,36,Joe Harris,2020-03-04,BRK,,MEM,L,1st,426,0,"Joe Harris misses 2-pt layup from 7 ft (BRK 13, MEM 11)",2,7
36,37,Joe Harris,2020-03-04,BRK,,MEM,L,1st,496,0,"Joe Harris misses 3-pt jump shot from 25 ft (BRK 13, MEM 14)",3,25
37,38,Joe Harris,2020-03-04,BRK,,MEM,L,1st,514,1,"Joe Harris makes 3-pt jump shot from 24 ft (assist by Spencer Dinwiddie) (BRK 16, MEM 16)",3,24
38,39,Joe Harris,2020-03-04,BRK,,MEM,L,1st,546,0,"Joe Harris misses 3-pt jump shot from 25 ft (BRK 16, MEM 19)",3,25
39,40,Joe Harris,2020-03-04,BRK,,MEM,L,2nd,609,0,"Joe Harris misses 3-pt jump shot from 25 ft (BRK 41, MEM 44)",3,25
40,41,Joe Harris,2020-03-04,BRK,,MEM,L,3rd,246,0,"Joe Harris misses 3-pt jump shot from 24 ft (BRK 47, MEM 60)",3,24
41,42,Joe Harris,2020-03-04,BRK,,MEM,L,3rd,338,1,"Joe Harris makes 3-pt jump shot from 26 ft (assist by Caris LeVert) (BRK 53, MEM 67)",3,26
42,43,Joe Harris,2020-03-04,BRK,,MEM,L,3rd,468,0,"Joe Harris misses 2-pt layup from 2 ft (BRK 57, MEM 69)",2,2
43,44,Joe Harris,2020-03-04,BRK,,MEM,L,3rd,491,0,"Joe Harris misses 2-pt layup from 1 ft (BRK 57, MEM 72)",2,1
44,45,Joe Harris,2020-03-04,BRK,,MEM,L,3rd,495,0,"Joe Harris misses 2-pt layup from 1 ft (BRK 57, MEM 72)",2,1
45,46,Joe Harris,2020-03-04,BRK,,MEM,L,3rd,499,1,"Joe Harris makes 2-pt layup from 1 ft (BRK 59, MEM 72)",2,1
46,47,Joe Harris,2020-03-04,BRK,,MEM,L,3rd,658,1,"Joe Harris makes 2-pt layup from 3 ft (assist by Timothé Luwawu-Cabarrot) (BRK 65, MEM 80)",2,3
47,48,Joe Harris,2020-03-03,BRK,@,BOS,W,1st,201,0,"Joe Harris misses 3-pt jump shot from 26 ft (BRK 10, BOS 11)",3,26
48,49,Joe Harris,2020-03-03,BRK,@,BOS,W,1st,210,1,"Joe Harris makes 2-pt layup from 1 ft (BRK 12, BOS 11)",2,1
49,50,Joe Harris,2020-03-03,BRK,@,BOS,W,2nd,390,1,"Joe Harris makes 2-pt layup from 1 ft (assist by Garrett Temple) (BRK 36, BOS 42)",2,1
50,51,Joe Harris,2020-03-03,BRK,@,BOS,W,2nd,432,0,"Joe Harris misses 2-pt jump shot from 9 ft (BRK 36, BOS 44)",2,9
51,52,Joe Harris,2020-03-03,BRK,@,BOS,W,2nd,562,0,"Joe Harris misses 3-pt jump shot from 27 ft (BRK 41, BOS 52)",3,27
