,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Gordon Hayward,2020-03-10,BOS,@,IND,W,1st,209,1,"Gordon Hayward makes 2-pt jump shot from 6 ft (assist by Daniel Theis) (BOS 9, IND 6)",2,6
1,2,Gordon Hayward,2020-03-10,BOS,@,IND,W,1st,234,1,"Gordon Hayward makes 2-pt jump shot from 16 ft (BOS 11, IND 6)",2,16
2,3,Gordon Hayward,2020-03-10,BOS,@,IND,W,1st,501,1,"Gordon Hayward makes 3-pt jump shot from 27 ft (assist by Daniel Theis) (BOS 23, IND 15)",3,27
3,4,Gordon Hayward,2020-03-10,BOS,@,IND,W,1st,520,1,"Gordon Hayward makes 2-pt jump shot from 12 ft (BOS 25, IND 15)",2,12
4,5,Gordon Hayward,2020-03-10,BOS,@,IND,W,2nd,441,0,"Gordon Hayward misses 3-pt jump shot from 27 ft (BOS 48, IND 37)",3,27
5,6,Gordon Hayward,2020-03-10,BOS,@,IND,W,2nd,475,0,"Gordon Hayward misses 2-pt layup from 1 ft (block by Victor Oladipo) (BOS 48, IND 37)",2,1
6,7,Gordon Hayward,2020-03-10,BOS,@,IND,W,2nd,567,0,"Gordon Hayward misses 2-pt jump shot from 16 ft (BOS 50, IND 42)",2,16
7,8,Gordon Hayward,2020-03-10,BOS,@,IND,W,3rd,34,1,"Gordon Hayward makes 3-pt jump shot from 28 ft (assist by Marcus Smart) (BOS 62, IND 52)",3,28
8,9,Gordon Hayward,2020-03-10,BOS,@,IND,W,3rd,71,0,"Gordon Hayward misses 3-pt jump shot from 24 ft (BOS 62, IND 54)",3,24
9,10,Gordon Hayward,2020-03-10,BOS,@,IND,W,3rd,123,0,"Gordon Hayward misses 2-pt layup from 2 ft (BOS 64, IND 54)",2,2
10,11,Gordon Hayward,2020-03-10,BOS,@,IND,W,3rd,125,1,"Gordon Hayward makes 2-pt layup at rim (BOS 66, IND 54)",2,0
11,12,Gordon Hayward,2020-03-10,BOS,@,IND,W,3rd,221,1,"Gordon Hayward makes 3-pt jump shot from 23 ft (assist by Marcus Smart) (BOS 71, IND 56)",3,23
12,13,Gordon Hayward,2020-03-10,BOS,@,IND,W,3rd,258,1,"Gordon Hayward makes 2-pt jump shot from 19 ft (assist by Daniel Theis) (BOS 73, IND 56)",2,19
13,14,Gordon Hayward,2020-03-10,BOS,@,IND,W,3rd,400,0,"Gordon Hayward misses 2-pt jump shot from 13 ft (BOS 79, IND 64)",2,13
14,15,Gordon Hayward,2020-03-10,BOS,@,IND,W,3rd,412,0,"Gordon Hayward misses 2-pt layup from 1 ft (BOS 79, IND 64)",2,1
15,16,Gordon Hayward,2020-03-10,BOS,@,IND,W,3rd,520,0,"Gordon Hayward misses 3-pt jump shot from 27 ft (BOS 85, IND 68)",3,27
16,17,Gordon Hayward,2020-03-10,BOS,@,IND,W,3rd,539,1,"Gordon Hayward makes 2-pt layup from 2 ft (assist by Jayson Tatum) (BOS 87, IND 68)",2,2
17,18,Gordon Hayward,2020-03-10,BOS,@,IND,W,4th,260,1,"Gordon Hayward makes 2-pt layup at rim (BOS 102, IND 86)",2,0
18,19,Gordon Hayward,2020-03-10,BOS,@,IND,W,4th,525,0,"Gordon Hayward misses 3-pt jump shot from 30 ft (BOS 104, IND 101)",3,30
19,20,Gordon Hayward,2020-03-08,BOS,,OKC,L,1st,74,0,"Gordon Hayward misses 3-pt jump shot from 24 ft (BOS 0, OKC 0)",3,24
20,21,Gordon Hayward,2020-03-08,BOS,,OKC,L,1st,199,0,"Gordon Hayward misses 2-pt layup from 4 ft (block by Steven Adams) (BOS 6, OKC 9)",2,4
21,22,Gordon Hayward,2020-03-08,BOS,,OKC,L,1st,250,0,"Gordon Hayward misses 2-pt jump shot from 18 ft (BOS 8, OKC 9)",2,18
22,23,Gordon Hayward,2020-03-08,BOS,,OKC,L,1st,661,1,"Gordon Hayward makes 2-pt jump shot from 13 ft (assist by Enes Kanter) (BOS 22, OKC 28)",2,13
23,24,Gordon Hayward,2020-03-08,BOS,,OKC,L,2nd,16,1,"Gordon Hayward makes 2-pt jump shot from 13 ft (assist by Enes Kanter) (BOS 28, OKC 29)",2,13
24,25,Gordon Hayward,2020-03-08,BOS,,OKC,L,2nd,43,1,"Gordon Hayward makes 2-pt jump shot from 18 ft (assist by Kemba Walker) (BOS 30, OKC 29)",2,18
25,26,Gordon Hayward,2020-03-08,BOS,,OKC,L,2nd,95,0,"Gordon Hayward misses 2-pt jump shot from 16 ft (BOS 30, OKC 32)",2,16
