,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,De'Andre Hunter,2020-03-11,ATL,,NYK,L,1st,44,0,"De'Andre Hunter misses 3-pt jump shot from 25 ft (ATL 0, NYK 0)",3,25
1,2,De'Andre Hunter,2020-03-11,ATL,,NYK,L,1st,257,1,"De'Andre Hunter makes 2-pt jump shot from 14 ft (ATL 6, NYK 13)",2,14
2,3,De'Andre Hunter,2020-03-11,ATL,,NYK,L,1st,345,1,"De'Andre Hunter makes 3-pt jump shot from 26 ft (assist by Kevin Huerter) (ATL 9, NYK 16)",3,26
3,4,De'Andre Hunter,2020-03-11,ATL,,NYK,L,1st,386,0,"De'Andre Hunter misses 2-pt jump shot from 16 ft (ATL 9, NYK 16)",2,16
4,5,De'Andre Hunter,2020-03-11,ATL,,NYK,L,1st,453,0,"De'Andre Hunter misses 2-pt layup from 7 ft (block by Mitchell Robinson) (ATL 11, NYK 20)",2,7
5,6,De'Andre Hunter,2020-03-11,ATL,,NYK,L,2nd,558,0,"De'Andre Hunter misses 2-pt jump shot from 19 ft (ATL 39, NYK 57)",2,19
6,7,De'Andre Hunter,2020-03-11,ATL,,NYK,L,2nd,620,1,"De'Andre Hunter makes 3-pt jump shot from 23 ft (assist by Trae Young) (ATL 45, NYK 61)",3,23
7,8,De'Andre Hunter,2020-03-11,ATL,,NYK,L,4th,122,0,"De'Andre Hunter misses 2-pt jump shot from 12 ft (ATL 83, NYK 99)",2,12
8,9,De'Andre Hunter,2020-03-11,ATL,,NYK,L,4th,316,1,"De'Andre Hunter makes 3-pt jump shot from 27 ft (assist by Trae Young) (ATL 94, NYK 103)",3,27
9,10,De'Andre Hunter,2020-03-11,ATL,,NYK,L,4th,351,0,"De'Andre Hunter misses 3-pt jump shot from 24 ft (ATL 94, NYK 104)",3,24
10,11,De'Andre Hunter,2020-03-11,ATL,,NYK,L,4th,532,0,"De'Andre Hunter misses 2-pt layup from 2 ft (ATL 103, NYK 111)",2,2
11,12,De'Andre Hunter,2020-03-11,ATL,,NYK,L,OT,517,1,"De'Andre Hunter makes 2-pt jump shot from 10 ft (ATL 122, NYK 123)",2,10
12,13,De'Andre Hunter,2020-03-09,ATL,,CHO,W,1st,351,1,"De'Andre Hunter makes 3-pt jump shot from 23 ft (assist by Trae Young) (ATL 18, CHO 14)",3,23
13,14,De'Andre Hunter,2020-03-09,ATL,,CHO,W,1st,559,0,"De'Andre Hunter misses 2-pt dunk from 2 ft (ATL 27, CHO 24)",2,2
14,15,De'Andre Hunter,2020-03-09,ATL,,CHO,W,4th,251,1,"De'Andre Hunter makes 3-pt jump shot from 27 ft (assist by Trae Young) (ATL 103, CHO 96)",3,27
15,16,De'Andre Hunter,2020-03-09,ATL,,CHO,W,4th,597,1,"De'Andre Hunter makes 3-pt jump shot from 26 ft (assist by Trae Young) (ATL 119, CHO 114)",3,26
16,17,De'Andre Hunter,2020-03-09,ATL,,CHO,W,2OT,601,0,"De'Andre Hunter misses 3-pt jump shot from 25 ft (block by Bismack Biyombo) (ATL 136, CHO 135)",3,25
17,18,De'Andre Hunter,2020-03-07,ATL,@,MEM,L,1st,133,0,"De'Andre Hunter misses 3-pt jump shot from 24 ft (ATL 5, MEM 8)",3,24
18,19,De'Andre Hunter,2020-03-07,ATL,@,MEM,L,2nd,162,0,"De'Andre Hunter misses 2-pt jump shot from 17 ft (ATL 20, MEM 41)",2,17
19,20,De'Andre Hunter,2020-03-07,ATL,@,MEM,L,2nd,189,0,"De'Andre Hunter misses 2-pt jump shot from 22 ft (ATL 20, MEM 43)",2,22
20,21,De'Andre Hunter,2020-03-07,ATL,@,MEM,L,2nd,471,0,"De'Andre Hunter misses 3-pt jump shot from 23 ft (ATL 34, MEM 54)",3,23
21,22,De'Andre Hunter,2020-03-07,ATL,@,MEM,L,2nd,522,0,"De'Andre Hunter misses 3-pt jump shot from 23 ft (ATL 34, MEM 56)",3,23
