,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,1st,100,0,"Chandler Hutchison misses 3-pt jump shot from 27 ft (CHI 2, WAS 4)",3,27
1,2,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,1st,280,0,"Chandler Hutchison misses 3-pt jump shot from 25 ft (CHI 6, WAS 13)",3,25
2,3,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,1st,304,1,"Chandler Hutchison makes 2-pt dunk from 2 ft (assist by Tomáš Satoranský) (CHI 8, WAS 15)",2,2
3,4,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,1st,665,1,"Chandler Hutchison makes 2-pt jump shot from 11 ft (assist by Ryan Arcidiacono) (CHI 22, WAS 33)",2,11
4,5,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,2nd,82,0,"Chandler Hutchison misses 2-pt hook shot from 5 ft (CHI 29, WAS 38)",2,5
5,6,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,2nd,482,0,"Chandler Hutchison misses 2-pt layup from 3 ft (block by Rui Hachimura) (CHI 51, WAS 56)",2,3
6,7,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,2nd,605,1,"Chandler Hutchison makes 3-pt jump shot from 26 ft (assist by Coby White) (CHI 57, WAS 64)",3,26
7,8,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,3rd,116,0,"Chandler Hutchison misses 2-pt layup from 3 ft (CHI 64, WAS 75)",2,3
8,9,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,3rd,248,0,"Chandler Hutchison misses 2-pt jump shot from 6 ft (CHI 68, WAS 82)",2,6
9,10,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,3rd,304,1,"Chandler Hutchison makes 2-pt dunk from 1 ft (assist by Tomáš Satoranský) (CHI 73, WAS 84)",2,1
10,11,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,4th,100,0,"Chandler Hutchison misses 2-pt jump shot from 9 ft (CHI 86, WAS 100)",2,9
11,12,Chandler Hutchison,2020-02-11,CHI,@,WAS,L,4th,213,0,"Chandler Hutchison misses 2-pt jump shot from 20 ft (CHI 88, WAS 103)",2,20
12,13,Chandler Hutchison,2020-02-09,CHI,@,PHI,L,1st,188,0,"Chandler Hutchison misses 2-pt layup from 8 ft (CHI 5, PHI 10)",2,8
