,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Kyrie Irving,2020-02-01,BRK,@,WAS,L,1st,172,0,"Kyrie Irving misses 2-pt jump shot from 15 ft (BRK 6, WAS 6)",2,15
1,2,Kyrie Irving,2020-02-01,BRK,@,WAS,L,1st,388,0,"Kyrie Irving misses 2-pt jump shot from 10 ft (BRK 18, WAS 18)",2,10
2,3,Kyrie Irving,2020-02-01,BRK,@,WAS,L,2nd,287,0,"Kyrie Irving misses 3-pt jump shot from 26 ft (BRK 44, WAS 41)",3,26
3,4,Kyrie Irving,2020-02-01,BRK,@,WAS,L,2nd,391,1,"Kyrie Irving makes 2-pt layup from 1 ft (BRK 51, WAS 45)",2,1
4,5,Kyrie Irving,2020-02-01,BRK,@,WAS,L,2nd,440,1,"Kyrie Irving makes 3-pt jump shot from 28 ft (assist by Jarrett Allen) (BRK 54, WAS 45)",3,28
5,6,Kyrie Irving,2020-02-01,BRK,@,WAS,L,2nd,470,1,"Kyrie Irving makes 2-pt jump shot from 10 ft (BRK 56, WAS 47)",2,10
6,7,Kyrie Irving,2020-02-01,BRK,@,WAS,L,2nd,574,1,"Kyrie Irving makes 2-pt jump shot from 11 ft (BRK 61, WAS 51)",2,11
7,8,Kyrie Irving,2020-02-01,BRK,@,WAS,L,2nd,621,0,"Kyrie Irving misses 3-pt jump shot from 27 ft (BRK 61, WAS 52)",3,27
8,9,Kyrie Irving,2020-02-01,BRK,@,WAS,L,2nd,641,0,"Kyrie Irving misses 2-pt layup from 7 ft (block by Ian Mahinmi) (BRK 61, WAS 52)",2,7
9,10,Kyrie Irving,2020-02-01,BRK,@,WAS,L,3rd,171,0,"Kyrie Irving misses 3-pt jump shot from 26 ft (BRK 62, WAS 66)",3,26
10,11,Kyrie Irving,2020-02-01,BRK,@,WAS,L,4th,222,1,"Kyrie Irving makes 2-pt layup from 4 ft (assist by DeAndre Jordan) (BRK 98, WAS 90)",2,4
11,12,Kyrie Irving,2020-02-01,BRK,@,WAS,L,4th,289,0,"Kyrie Irving misses 3-pt jump shot from 27 ft (BRK 99, WAS 92)",3,27
12,13,Kyrie Irving,2020-01-31,BRK,,CHI,W,1st,40,1,"Kyrie Irving makes 3-pt jump shot from 25 ft (BRK 3, CHI 0)",3,25
13,14,Kyrie Irving,2020-01-31,BRK,,CHI,W,1st,92,1,"Kyrie Irving makes 2-pt layup from 1 ft (assist by Jarrett Allen) (BRK 7, CHI 2)",2,1
