,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Damian Jones,2020-03-02,ATL,,MEM,L,1st,513,1,"Damian Jones makes 2-pt dunk at rim (ATL 19, MEM 14)",2,0
1,2,Damian Jones,2020-03-02,ATL,,MEM,L,1st,668,1,"Damian Jones makes 2-pt layup from 1 ft (assist by Brandon Goodwin) (ATL 23, MEM 21)",2,1
2,3,Damian Jones,2020-03-02,ATL,,MEM,L,2nd,76,0,"Damian Jones misses 2-pt layup from 3 ft (ATL 25, MEM 24)",2,3
3,4,Damian Jones,2020-03-02,ATL,,MEM,L,4th,155,0,"Damian Jones misses 3-pt jump shot from 23 ft (ATL 70, MEM 94)",3,23
4,5,Damian Jones,2020-03-02,ATL,,MEM,L,4th,163,1,"Damian Jones makes 2-pt layup from 1 ft (ATL 72, MEM 94)",2,1
5,6,Damian Jones,2020-02-26,ATL,,ORL,L,4th,291,0,"Damian Jones misses 2-pt layup from 3 ft (block by Aaron Gordon) (ATL 107, ORL 111)",2,3
6,7,Damian Jones,2020-02-12,ATL,@,CLE,L,1st,193,1,"Damian Jones makes 2-pt dunk at rim (assist by Trae Young) (ATL 3, CLE 6)",2,0
7,8,Damian Jones,2020-02-12,ATL,@,CLE,L,1st,209,0,"Damian Jones misses 2-pt layup from 1 ft (ATL 3, CLE 6)",2,1
8,9,Damian Jones,2020-02-12,ATL,@,CLE,L,2nd,598,1,"Damian Jones makes 2-pt dunk at rim (ATL 42, CLE 57)",2,0
9,10,Damian Jones,2020-02-10,ATL,@,ORL,L,1st,95,1,"Damian Jones makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 4, ORL 4)",2,1
10,11,Damian Jones,2020-02-10,ATL,@,ORL,L,1st,163,0,"Damian Jones misses 2-pt layup from 3 ft (block by Aaron Gordon) (ATL 6, ORL 8)",2,3
11,12,Damian Jones,2020-02-10,ATL,@,ORL,L,3rd,226,1,"Damian Jones makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 70, ORL 67)",2,1
12,13,Damian Jones,2020-02-07,ATL,@,BOS,L,2nd,101,1,"Damian Jones makes 2-pt dunk from 2 ft (assist by Jeff Teague) (ATL 30, BOS 30)",2,2
13,14,Damian Jones,2020-02-07,ATL,@,BOS,L,3rd,149,0,"Damian Jones misses 3-pt jump shot from 23 ft (ATL 57, BOS 60)",3,23
14,15,Damian Jones,2020-02-07,ATL,@,BOS,L,3rd,586,0,"Damian Jones misses 2-pt layup from 9 ft (block by Marcus Smart) (ATL 68, BOS 79)",2,9
15,16,Damian Jones,2020-02-05,ATL,@,MIN,W,1st,18,1,"Damian Jones makes 2-pt dunk from 2 ft (assist by Trae Young) (ATL 2, MIN 0)",2,2
16,17,Damian Jones,2020-02-05,ATL,@,MIN,W,1st,175,1,"Damian Jones makes 2-pt layup from 2 ft (ATL 11, MIN 7)",2,2
17,18,Damian Jones,2020-02-05,ATL,@,MIN,W,2nd,283,1,"Damian Jones makes 2-pt dunk from 2 ft (assist by Trae Young) (ATL 47, MIN 36)",2,2
18,19,Damian Jones,2020-02-05,ATL,@,MIN,W,2nd,393,0,"Damian Jones misses 2-pt jump shot from 20 ft (ATL 51, MIN 40)",2,20
19,20,Damian Jones,2020-02-05,ATL,@,MIN,W,2nd,419,1,"Damian Jones makes 2-pt layup from 1 ft (ATL 53, MIN 40)",2,1
20,21,Damian Jones,2020-02-05,ATL,@,MIN,W,3rd,321,1,"Damian Jones makes 2-pt dunk from 2 ft (ATL 83, MIN 63)",2,2
21,22,Damian Jones,2020-02-05,ATL,@,MIN,W,3rd,360,1,"Damian Jones makes 2-pt dunk at rim (assist by John Collins) (ATL 85, MIN 65)",2,0
22,23,Damian Jones,2020-02-03,ATL,,BOS,L,3rd,89,1,"Damian Jones makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 64, BOS 67)",2,1
23,24,Damian Jones,2020-02-01,ATL,@,DAL,L,1st,266,0,"Damian Jones misses 2-pt layup from 1 ft (block by Dorian Finney-Smith) (ATL 15, DAL 7)",2,1
24,25,Damian Jones,2020-02-01,ATL,@,DAL,L,1st,703,1,"Damian Jones makes 2-pt dunk from 1 ft (assist by Jeff Teague) (ATL 26, DAL 33)",2,1
25,26,Damian Jones,2020-02-01,ATL,@,DAL,L,2nd,13,0,"Damian Jones misses 2-pt dunk at rim (ATL 26, DAL 36)",2,0
26,27,Damian Jones,2020-02-01,ATL,@,DAL,L,2nd,226,1,"Damian Jones makes 2-pt dunk from 2 ft (assist by Trae Young) (ATL 33, DAL 44)",2,2
27,28,Damian Jones,2020-02-01,ATL,@,DAL,L,3rd,169,0,"Damian Jones misses 2-pt hook shot from 6 ft (ATL 54, DAL 70)",2,6
28,29,Damian Jones,2020-02-01,ATL,@,DAL,L,4th,679,1,"Damian Jones makes 2-pt layup from 1 ft (assist by Brandon Goodwin) (ATL 98, DAL 123)",2,1
29,30,Damian Jones,2020-01-30,ATL,,PHI,W,1st,303,1,"Damian Jones makes 2-pt dunk at rim (assist by Trae Young) (ATL 16, PHI 15)",2,0
30,31,Damian Jones,2020-01-30,ATL,,PHI,W,1st,584,1,"Damian Jones makes 2-pt dunk at rim (assist by Cam Reddish) (ATL 32, PHI 24)",2,0
31,32,Damian Jones,2020-01-30,ATL,,PHI,W,2nd,153,0,"Damian Jones misses 2-pt dunk from 1 ft (ATL 43, PHI 34)",2,1
32,33,Damian Jones,2020-01-30,ATL,,PHI,W,2nd,553,1,"Damian Jones makes 2-pt dunk at rim (assist by Trae Young) (ATL 62, PHI 50)",2,0
33,34,Damian Jones,2020-01-30,ATL,,PHI,W,3rd,185,1,"Damian Jones makes 2-pt dunk from 7 ft (assist by Trae Young) (ATL 80, PHI 73)",2,7
34,35,Damian Jones,2020-01-30,ATL,,PHI,W,3rd,660,0,"Damian Jones misses 2-pt jump shot from 18 ft (ATL 95, PHI 88)",2,18
35,36,Damian Jones,2020-01-30,ATL,,PHI,W,3rd,720,1,"Damian Jones makes 2-pt layup at rim (ATL 99, PHI 92)",2,0
36,37,Damian Jones,2020-01-30,ATL,,PHI,W,4th,236,1,"Damian Jones makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 110, PHI 94)",2,1
37,38,Damian Jones,2020-01-28,ATL,@,TOR,L,4th,571,1,"Damian Jones makes 2-pt dunk from 1 ft (assist by Jeff Teague) (ATL 109, TOR 126)",2,1
38,39,Damian Jones,2020-01-26,ATL,,WAS,W,2nd,404,1,"Damian Jones makes 2-pt dunk at rim (assist by Trae Young) (ATL 58, WAS 53)",2,0
39,40,Damian Jones,2020-01-26,ATL,,WAS,W,2nd,659,0,"Damian Jones misses 2-pt dunk from 1 ft (block by Dāvis Bertāns) (ATL 74, WAS 67)",2,1
40,41,Damian Jones,2020-01-24,ATL,@,OKC,L,3rd,553,0,"Damian Jones misses 3-pt jump shot from 23 ft (ATL 86, OKC 92)",3,23
41,42,Damian Jones,2020-01-24,ATL,@,OKC,L,4th,657,1,"Damian Jones makes 2-pt layup from 3 ft (ATL 108, OKC 139)",2,3
42,43,Damian Jones,2020-01-20,ATL,,TOR,L,4th,31,0,"Damian Jones misses 2-pt jump shot from 18 ft (ATL 82, TOR 83)",2,18
43,44,Damian Jones,2020-01-18,ATL,,DET,L,4th,649,1,"Damian Jones makes 2-pt layup from 1 ft (assist by Jeff Teague) (ATL 101, DET 133)",2,1
44,45,Damian Jones,2020-01-17,ATL,@,SAS,W,3rd,264,1,"Damian Jones makes 2-pt dunk from 4 ft (assist by Trae Young) (ATL 74, SAS 72)",2,4
45,46,Damian Jones,2020-01-14,ATL,,PHO,W,1st,156,0,"Damian Jones misses 2-pt layup from 1 ft (ATL 5, PHO 9)",2,1
46,47,Damian Jones,2020-01-14,ATL,,PHO,W,1st,499,1,"Damian Jones makes 2-pt layup from 1 ft (assist by Trae Young) (ATL 21, PHO 19)",2,1
47,48,Damian Jones,2020-01-14,ATL,,PHO,W,2nd,323,1,"Damian Jones makes 2-pt layup at rim (ATL 40, PHO 35)",2,0
48,49,Damian Jones,2020-01-14,ATL,,PHO,W,2nd,413,1,"Damian Jones makes 2-pt layup from 4 ft (assist by Trae Young) (ATL 47, PHO 39)",2,4
49,50,Damian Jones,2020-01-14,ATL,,PHO,W,2nd,524,1,"Damian Jones makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 52, PHO 45)",2,1
50,51,Damian Jones,2020-01-14,ATL,,PHO,W,3rd,383,0,"Damian Jones misses 2-pt dunk from 2 ft (ATL 75, PHO 68)",2,2
51,52,Damian Jones,2020-01-14,ATL,,PHO,W,4th,501,1,"Damian Jones makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 115, PHO 104)",2,1
52,53,Damian Jones,2020-01-12,ATL,@,BRK,L,4th,613,1,"Damian Jones makes 2-pt dunk from 1 ft (ATL 84, BRK 106)",2,1
53,54,Damian Jones,2020-01-12,ATL,@,BRK,L,4th,625,1,"Damian Jones makes 2-pt dunk from 2 ft (assist by Brandon Goodwin) (ATL 86, BRK 106)",2,2
54,55,Damian Jones,2020-01-06,ATL,,DEN,L,1st,692,0,"Damian Jones misses 2-pt dunk from 1 ft (block by Michael Porter) (ATL 31, DEN 29)",2,1
