,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,DeAndre Jordan,2020-03-10,BRK,@,LAL,W,1st,96,0,"DeAndre Jordan misses 2-pt dunk from 5 ft (block by JaVale McGee) (BRK 2, LAL 4)",2,5
1,2,DeAndre Jordan,2020-03-10,BRK,@,LAL,W,1st,365,0,"DeAndre Jordan misses 2-pt layup from 3 ft (BRK 14, LAL 20)",2,3
2,3,DeAndre Jordan,2020-03-10,BRK,@,LAL,W,1st,434,1,"DeAndre Jordan makes 2-pt layup from 2 ft (BRK 18, LAL 22)",2,2
3,4,DeAndre Jordan,2020-03-10,BRK,@,LAL,W,1st,453,1,"DeAndre Jordan makes 2-pt dunk from 2 ft (assist by Spencer Dinwiddie) (BRK 20, LAL 25)",2,2
4,5,DeAndre Jordan,2020-03-10,BRK,@,LAL,W,3rd,147,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Spencer Dinwiddie) (BRK 64, LAL 62)",2,1
5,6,DeAndre Jordan,2020-03-10,BRK,@,LAL,W,3rd,498,1,"DeAndre Jordan makes 2-pt dunk at rim (assist by Wilson Chandler) (BRK 80, LAL 76)",2,0
6,7,DeAndre Jordan,2020-03-10,BRK,@,LAL,W,4th,666,0,"DeAndre Jordan misses 2-pt layup from 1 ft (BRK 102, LAL 99)",2,1
7,8,DeAndre Jordan,2020-03-08,BRK,,CHI,W,1st,312,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Spencer Dinwiddie) (BRK 13, CHI 10)",2,1
8,9,DeAndre Jordan,2020-03-08,BRK,,CHI,W,1st,473,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Spencer Dinwiddie) (BRK 20, CHI 16)",2,1
9,10,DeAndre Jordan,2020-03-08,BRK,,CHI,W,3rd,165,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Caris LeVert) (BRK 62, CHI 55)",2,1
10,11,DeAndre Jordan,2020-03-08,BRK,,CHI,W,4th,468,0,"DeAndre Jordan misses 2-pt layup at rim (BRK 93, CHI 83)",2,0
11,12,DeAndre Jordan,2020-03-08,BRK,,CHI,W,4th,635,1,"DeAndre Jordan makes 2-pt dunk from 2 ft (assist by Taurean Waller-Prince) (BRK 102, CHI 93)",2,2
12,13,DeAndre Jordan,2020-03-06,BRK,,SAS,W,1st,642,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Caris LeVert) (BRK 37, SAS 17)",2,1
13,14,DeAndre Jordan,2020-03-06,BRK,,SAS,W,1st,694,0,"DeAndre Jordan misses 2-pt dunk from 1 ft (BRK 39, SAS 20)",2,1
14,15,DeAndre Jordan,2020-03-06,BRK,,SAS,W,1st,716,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (BRK 41, SAS 22)",2,1
15,16,DeAndre Jordan,2020-03-06,BRK,,SAS,W,2nd,144,0,"DeAndre Jordan misses 2-pt hook shot from 1 ft (block by Patty Mills) (BRK 48, SAS 27)",2,1
16,17,DeAndre Jordan,2020-03-06,BRK,,SAS,W,2nd,149,0,"DeAndre Jordan misses 2-pt hook shot from 1 ft (BRK 48, SAS 27)",2,1
17,18,DeAndre Jordan,2020-03-06,BRK,,SAS,W,2nd,245,0,"DeAndre Jordan misses 2-pt dunk at rim (BRK 56, SAS 28)",2,0
18,19,DeAndre Jordan,2020-03-06,BRK,,SAS,W,2nd,306,1,"DeAndre Jordan makes 2-pt dunk from 2 ft (assist by Chris Chiozza) (BRK 63, SAS 31)",2,2
19,20,DeAndre Jordan,2020-03-06,BRK,,SAS,W,3rd,446,1,"DeAndre Jordan makes 2-pt layup from 2 ft (assist by Spencer Dinwiddie) (BRK 105, SAS 81)",2,2
20,21,DeAndre Jordan,2020-03-06,BRK,,SAS,W,4th,178,1,"DeAndre Jordan makes 2-pt hook shot from 1 ft (assist by Caris LeVert) (BRK 124, SAS 104)",2,1
21,22,DeAndre Jordan,2020-03-06,BRK,,SAS,W,4th,301,0,"DeAndre Jordan misses 2-pt dunk from 1 ft (BRK 124, SAS 106)",2,1
22,23,DeAndre Jordan,2020-03-04,BRK,,MEM,L,1st,568,1,"DeAndre Jordan makes 2-pt layup from 2 ft (assist by Spencer Dinwiddie) (BRK 18, MEM 19)",2,2
23,24,DeAndre Jordan,2020-03-03,BRK,@,BOS,W,1st,442,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Spencer Dinwiddie) (BRK 19, BOS 26)",2,1
24,25,DeAndre Jordan,2020-03-03,BRK,@,BOS,W,3rd,458,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Spencer Dinwiddie) (BRK 59, BOS 74)",2,1
25,26,DeAndre Jordan,2020-03-03,BRK,@,BOS,W,4th,714,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Caris LeVert) (BRK 115, BOS 118)",2,1
26,27,DeAndre Jordan,2020-03-03,BRK,@,BOS,W,OT,586,0,"DeAndre Jordan misses 2-pt layup from 4 ft (BRK 126, BOS 120)",2,4
27,28,DeAndre Jordan,2020-02-29,BRK,@,MIA,L,2nd,100,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Timothé Luwawu-Cabarrot) (BRK 31, MIA 32)",2,1
28,29,DeAndre Jordan,2020-02-28,BRK,@,ATL,L,1st,439,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Spencer Dinwiddie) (BRK 26, ATL 16)",2,1
29,30,DeAndre Jordan,2020-02-28,BRK,@,ATL,L,2nd,51,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Garrett Temple) (BRK 38, ATL 31)",2,1
30,31,DeAndre Jordan,2020-02-28,BRK,@,ATL,L,2nd,86,1,"DeAndre Jordan makes 2-pt dunk from 1 ft (assist by Caris LeVert) (BRK 40, ATL 31)",2,1
