,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Enes Kanter,2020-03-10,BOS,@,IND,W,1st,693,0,"Enes Kanter misses 2-pt hook shot from 7 ft (BOS 30, IND 22)",2,7
1,2,Enes Kanter,2020-03-10,BOS,@,IND,W,2nd,290,0,"Enes Kanter misses 2-pt hook shot from 4 ft (BOS 44, IND 31)",2,4
2,3,Enes Kanter,2020-03-10,BOS,@,IND,W,4th,237,1,"Enes Kanter makes 2-pt layup from 1 ft (BOS 100, IND 86)",2,1
3,4,Enes Kanter,2020-03-08,BOS,,OKC,L,1st,511,0,"Enes Kanter misses 2-pt layup from 1 ft (BOS 20, OKC 22)",2,1
4,5,Enes Kanter,2020-03-06,BOS,,UTA,L,1st,673,0,"Enes Kanter misses 2-pt layup from 2 ft (BOS 29, UTA 25)",2,2
5,6,Enes Kanter,2020-03-06,BOS,,UTA,L,1st,675,0,"Enes Kanter misses 2-pt layup from 3 ft (BOS 29, UTA 25)",2,3
6,7,Enes Kanter,2020-03-06,BOS,,UTA,L,1st,719,0,"Enes Kanter misses 2-pt jump shot from 16 ft (BOS 29, UTA 30)",2,16
7,8,Enes Kanter,2020-03-06,BOS,,UTA,L,2nd,20,1,"Enes Kanter makes 2-pt layup from 2 ft (BOS 31, UTA 30)",2,2
8,9,Enes Kanter,2020-03-04,BOS,@,CLE,W,1st,473,0,"Enes Kanter misses 2-pt hook shot from 8 ft (BOS 19, CLE 18)",2,8
9,10,Enes Kanter,2020-03-04,BOS,@,CLE,W,1st,478,0,"Enes Kanter misses 2-pt layup from 7 ft (BOS 19, CLE 18)",2,7
10,11,Enes Kanter,2020-03-04,BOS,@,CLE,W,1st,534,0,"Enes Kanter misses 2-pt jump shot from 4 ft (block by Kevin Love) (BOS 21, CLE 21)",2,4
11,12,Enes Kanter,2020-03-04,BOS,@,CLE,W,1st,539,1,"Enes Kanter makes 2-pt jump shot from 6 ft (BOS 23, CLE 21)",2,6
12,13,Enes Kanter,2020-03-04,BOS,@,CLE,W,3rd,663,1,"Enes Kanter makes 2-pt layup from 2 ft (assist by Semi Ojeleye) (BOS 77, CLE 75)",2,2
13,14,Enes Kanter,2020-03-04,BOS,@,CLE,W,4th,189,1,"Enes Kanter makes 2-pt layup at rim (BOS 86, CLE 84)",2,0
14,15,Enes Kanter,2020-03-03,BOS,,BRK,L,1st,555,1,"Enes Kanter makes 2-pt hook shot from 4 ft (assist by Gordon Hayward) (BOS 30, BRK 21)",2,4
15,16,Enes Kanter,2020-03-03,BOS,,BRK,L,1st,590,0,"Enes Kanter misses 2-pt layup from 3 ft (block by Timothé Luwawu-Cabarrot) (BOS 30, BRK 23)",2,3
16,17,Enes Kanter,2020-03-03,BOS,,BRK,L,2nd,127,0,"Enes Kanter misses 2-pt layup at rim (BOS 37, BRK 32)",2,0
17,18,Enes Kanter,2020-03-03,BOS,,BRK,L,2nd,297,0,"Enes Kanter misses 2-pt layup from 3 ft (block by Taurean Waller-Prince) (BOS 40, BRK 34)",2,3
18,19,Enes Kanter,2020-03-03,BOS,,BRK,L,3rd,617,1,"Enes Kanter makes 2-pt hook shot from 4 ft (BOS 81, BRK 65)",2,4
19,20,Enes Kanter,2020-03-03,BOS,,BRK,L,4th,97,0,"Enes Kanter misses 2-pt jump shot from 5 ft (block by DeAndre Jordan) (BOS 87, BRK 71)",2,5
20,21,Enes Kanter,2020-02-26,BOS,@,UTA,W,2nd,38,1,"Enes Kanter makes 2-pt layup from 2 ft (assist by Brad Wanamaker) (BOS 25, UTA 15)",2,2
21,22,Enes Kanter,2020-02-26,BOS,@,UTA,W,4th,26,1,"Enes Kanter makes 2-pt hook shot from 4 ft (BOS 87, UTA 82)",2,4
22,23,Enes Kanter,2020-02-26,BOS,@,UTA,W,4th,102,1,"Enes Kanter makes 2-pt layup at rim (BOS 89, UTA 82)",2,0
23,24,Enes Kanter,2020-02-26,BOS,@,UTA,W,4th,278,1,"Enes Kanter makes 2-pt layup from 2 ft (assist by Marcus Smart) (BOS 100, UTA 87)",2,2
24,25,Enes Kanter,2020-02-25,BOS,@,POR,W,1st,545,0,"Enes Kanter misses 2-pt hook shot from 2 ft (BOS 24, POR 22)",2,2
25,26,Enes Kanter,2020-02-25,BOS,@,POR,W,2nd,50,1,"Enes Kanter makes 2-pt hook shot from 3 ft (BOS 33, POR 24)",2,3
26,27,Enes Kanter,2020-02-25,BOS,@,POR,W,4th,243,0,"Enes Kanter misses 2-pt layup from 2 ft (BOS 98, POR 81)",2,2
27,28,Enes Kanter,2020-02-21,BOS,@,MIN,W,1st,184,0,"Enes Kanter misses 2-pt layup from 1 ft (block by Juan Hernangómez) (BOS 6, MIN 5)",2,1
28,29,Enes Kanter,2020-02-21,BOS,@,MIN,W,1st,455,0,"Enes Kanter misses 2-pt layup from 1 ft (BOS 16, MIN 15)",2,1
