,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Luke Kornet,2020-02-20,CHI,,CHO,L,2nd,355,0,"Luke Kornet misses 3-pt jump shot from 26 ft (CHI 33, CHO 45)",3,26
1,2,Luke Kornet,2020-02-20,CHI,,CHO,L,2nd,432,1,"Luke Kornet makes 2-pt jump shot from 14 ft (assist by Tomáš Satoranský) (CHI 36, CHO 45)",2,14
2,3,Luke Kornet,2020-02-20,CHI,,CHO,L,2nd,575,0,"Luke Kornet misses 3-pt jump shot from 25 ft (CHI 38, CHO 54)",3,25
3,4,Luke Kornet,2020-02-20,CHI,,CHO,L,3rd,614,1,"Luke Kornet makes 3-pt jump shot from 24 ft (assist by Zach LaVine) (CHI 71, CHO 74)",3,24
4,5,Luke Kornet,2020-02-11,CHI,@,WAS,L,1st,50,0,"Luke Kornet misses 2-pt layup from 3 ft (CHI 2, WAS 0)",2,3
5,6,Luke Kornet,2020-02-11,CHI,@,WAS,L,1st,127,1,"Luke Kornet makes 2-pt dunk from 2 ft (assist by Tomáš Satoranský) (CHI 4, WAS 7)",2,2
6,7,Luke Kornet,2020-02-11,CHI,@,WAS,L,2nd,237,0,"Luke Kornet misses 2-pt jump shot from 6 ft (CHI 31, WAS 46)",2,6
7,8,Luke Kornet,2020-02-11,CHI,@,WAS,L,2nd,243,1,"Luke Kornet makes 2-pt jump shot from 5 ft (assist by Coby White) (CHI 33, WAS 46)",2,5
8,9,Luke Kornet,2020-02-11,CHI,@,WAS,L,2nd,302,0,"Luke Kornet misses 3-pt jump shot from 24 ft (CHI 36, WAS 48)",3,24
9,10,Luke Kornet,2020-02-11,CHI,@,WAS,L,3rd,187,1,"Luke Kornet makes 2-pt dunk from 1 ft (assist by Zach LaVine) (CHI 68, WAS 80)",2,1
10,11,Luke Kornet,2020-02-11,CHI,@,WAS,L,3rd,334,0,"Luke Kornet misses 3-pt jump shot from 25 ft (CHI 73, WAS 86)",3,25
11,12,Luke Kornet,2020-02-11,CHI,@,WAS,L,4th,235,1,"Luke Kornet makes 2-pt dunk from 2 ft (assist by Coby White) (CHI 90, WAS 103)",2,2
12,13,Luke Kornet,2020-02-09,CHI,@,PHI,L,1st,86,1,"Luke Kornet makes 3-pt jump shot from 28 ft (assist by Tomáš Satoranský) (CHI 5, PHI 4)",3,28
13,14,Luke Kornet,2020-02-09,CHI,@,PHI,L,1st,212,1,"Luke Kornet makes 2-pt layup from 6 ft (assist by Zach LaVine) (CHI 7, PHI 10)",2,6
14,15,Luke Kornet,2020-02-09,CHI,@,PHI,L,1st,244,1,"Luke Kornet makes 3-pt jump shot from 23 ft (assist by Tomáš Satoranský) (CHI 10, PHI 10)",3,23
15,16,Luke Kornet,2020-02-09,CHI,@,PHI,L,2nd,223,0,"Luke Kornet misses 3-pt jump shot from 26 ft (CHI 35, PHI 44)",3,26
16,17,Luke Kornet,2020-02-09,CHI,@,PHI,L,2nd,301,1,"Luke Kornet makes 2-pt layup from 1 ft (CHI 37, PHI 47)",2,1
17,18,Luke Kornet,2020-02-09,CHI,@,PHI,L,3rd,44,0,"Luke Kornet misses 3-pt jump shot from 27 ft (CHI 55, PHI 60)",3,27
18,19,Luke Kornet,2020-02-09,CHI,@,PHI,L,3rd,157,1,"Luke Kornet makes 2-pt dunk at rim (assist by Zach LaVine) (CHI 65, PHI 62)",2,0
19,20,Luke Kornet,2020-02-09,CHI,@,PHI,L,3rd,651,1,"Luke Kornet makes 2-pt jump shot from 6 ft (assist by Ryan Arcidiacono) (CHI 83, PHI 82)",2,6
20,21,Luke Kornet,2020-02-09,CHI,@,PHI,L,3rd,689,0,"Luke Kornet misses 3-pt jump shot from 27 ft (CHI 83, PHI 83)",3,27
21,22,Luke Kornet,2020-02-09,CHI,@,PHI,L,4th,116,1,"Luke Kornet makes 2-pt dunk at rim (assist by Tomáš Satoranský) (CHI 87, PHI 89)",2,0
22,23,Luke Kornet,2020-02-09,CHI,@,PHI,L,4th,203,1,"Luke Kornet makes 2-pt hook shot from 3 ft (assist by Zach LaVine) (CHI 89, PHI 95)",2,3
23,24,Luke Kornet,2020-02-09,CHI,@,PHI,L,4th,232,1,"Luke Kornet makes 3-pt jump shot from 24 ft (assist by Chandler Hutchison) (CHI 92, PHI 97)",3,24
24,25,Luke Kornet,2020-02-09,CHI,@,PHI,L,4th,645,1,"Luke Kornet makes 3-pt jump shot from 26 ft (assist by Chandler Hutchison) (CHI 109, PHI 114)",3,26
25,26,Luke Kornet,2020-02-09,CHI,@,PHI,L,4th,697,0,"Luke Kornet misses 3-pt jump shot from 26 ft (CHI 109, PHI 117)",3,26
26,27,Luke Kornet,2020-02-06,CHI,,NOP,L,3rd,529,1,"Luke Kornet makes 3-pt jump shot from 26 ft (assist by Coby White) (CHI 75, NOP 94)",3,26
27,28,Luke Kornet,2020-02-02,CHI,@,TOR,L,1st,101,0,"Luke Kornet misses 3-pt jump shot from 27 ft (CHI 2, TOR 6)",3,27
28,29,Luke Kornet,2020-02-02,CHI,@,TOR,L,1st,319,0,"Luke Kornet misses 3-pt jump shot from 23 ft (CHI 13, TOR 19)",3,23
29,30,Luke Kornet,2020-02-02,CHI,@,TOR,L,2nd,450,1,"Luke Kornet makes 3-pt jump shot from 27 ft (assist by Tomáš Satoranský) (CHI 52, TOR 51)",3,27
30,31,Luke Kornet,2020-02-02,CHI,@,TOR,L,2nd,470,0,"Luke Kornet misses 2-pt layup from 4 ft (CHI 52, TOR 52)",2,4
31,32,Luke Kornet,2020-02-02,CHI,@,TOR,L,2nd,495,0,"Luke Kornet misses 3-pt jump shot from 28 ft (CHI 52, TOR 54)",3,28
32,33,Luke Kornet,2020-02-02,CHI,@,TOR,L,2nd,636,1,"Luke Kornet makes 2-pt dunk from 1 ft (assist by Chandler Hutchison) (CHI 59, TOR 56)",2,1
33,34,Luke Kornet,2020-02-02,CHI,@,TOR,L,3rd,64,1,"Luke Kornet makes 2-pt hook shot from 5 ft (assist by Zach LaVine) (CHI 65, TOR 64)",2,5
34,35,Luke Kornet,2020-02-02,CHI,@,TOR,L,3rd,168,0,"Luke Kornet misses 3-pt jump shot from 23 ft (CHI 65, TOR 68)",3,23
35,36,Luke Kornet,2020-02-02,CHI,@,TOR,L,3rd,199,0,"Luke Kornet misses 2-pt jump shot from 7 ft (CHI 65, TOR 70)",2,7
