,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Rodions Kurucs,2020-03-06,BRK,,SAS,W,4th,473,0,"Rodions Kurucs misses 3-pt jump shot from 25 ft (BRK 133, SAS 110)",3,25
1,2,Rodions Kurucs,2020-03-06,BRK,,SAS,W,4th,611,0,"Rodions Kurucs misses 3-pt jump shot from 25 ft (BRK 137, SAS 117)",3,25
2,3,Rodions Kurucs,2020-03-04,BRK,,MEM,L,4th,89,0,"Rodions Kurucs misses 2-pt layup from 1 ft (BRK 66, MEM 90)",2,1
3,4,Rodions Kurucs,2020-03-04,BRK,,MEM,L,4th,336,0,"Rodions Kurucs misses 3-pt jump shot from 25 ft (BRK 68, MEM 100)",3,25
4,5,Rodions Kurucs,2020-03-04,BRK,,MEM,L,4th,344,0,"Rodions Kurucs misses 3-pt jump shot from 25 ft (BRK 68, MEM 100)",3,25
5,6,Rodions Kurucs,2020-03-03,BRK,@,BOS,W,2nd,239,0,"Rodions Kurucs misses 3-pt jump shot from 24 ft (BRK 34, BOS 40)",3,24
6,7,Rodions Kurucs,2020-03-03,BRK,@,BOS,W,4th,175,0,"Rodions Kurucs misses 3-pt jump shot from 25 ft (BRK 75, BOS 89)",3,25
7,8,Rodions Kurucs,2020-03-03,BRK,@,BOS,W,4th,213,1,"Rodions Kurucs makes 2-pt layup from 3 ft (assist by Chris Chiozza) (BRK 78, BOS 91)",2,3
8,9,Rodions Kurucs,2020-03-03,BRK,@,BOS,W,4th,304,1,"Rodions Kurucs makes 2-pt layup from 3 ft (assist by Caris LeVert) (BRK 86, BOS 93)",2,3
9,10,Rodions Kurucs,2020-03-03,BRK,@,BOS,W,4th,393,0,"Rodions Kurucs misses 2-pt layup at rim (BRK 88, BOS 99)",2,0
10,11,Rodions Kurucs,2020-03-03,BRK,@,BOS,W,OT,625,0,"Rodions Kurucs misses 3-pt jump shot from 24 ft (BRK 126, BOS 120)",3,24
11,12,Rodions Kurucs,2020-02-29,BRK,@,MIA,L,4th,34,1,"Rodions Kurucs makes 2-pt layup from 2 ft (assist by Garrett Temple) (BRK 82, MIA 91)",2,2
12,13,Rodions Kurucs,2020-02-29,BRK,@,MIA,L,4th,120,0,"Rodions Kurucs misses 3-pt jump shot from 23 ft (BRK 82, MIA 94)",3,23
13,14,Rodions Kurucs,2020-02-28,BRK,@,ATL,L,4th,545,0,"Rodions Kurucs misses 3-pt jump shot from 25 ft (BRK 111, ATL 129)",3,25
14,15,Rodions Kurucs,2020-02-26,BRK,@,WAS,L,1st,488,0,"Rodions Kurucs misses 2-pt layup from 5 ft (BRK 14, WAS 20)",2,5
15,16,Rodions Kurucs,2020-02-26,BRK,@,WAS,L,1st,655,0,"Rodions Kurucs misses 3-pt jump shot from 25 ft (BRK 14, WAS 25)",3,25
16,17,Rodions Kurucs,2020-02-26,BRK,@,WAS,L,3rd,644,0,"Rodions Kurucs misses 3-pt jump shot from 27 ft (BRK 79, WAS 81)",3,27
17,18,Rodions Kurucs,2020-02-22,BRK,@,CHO,W,4th,674,0,"Rodions Kurucs misses 2-pt layup from 2 ft (block by Cody Martin) (BRK 115, CHO 86)",2,2
18,19,Rodions Kurucs,2020-02-05,BRK,,GSW,W,2nd,13,1,"Rodions Kurucs makes 2-pt layup from 2 ft (assist by Caris LeVert) (BRK 42, GSW 25)",2,2
19,20,Rodions Kurucs,2020-02-05,BRK,,GSW,W,2nd,54,1,"Rodions Kurucs makes 3-pt jump shot from 27 ft (assist by Caris LeVert) (BRK 45, GSW 25)",3,27
20,21,Rodions Kurucs,2020-02-05,BRK,,GSW,W,2nd,186,0,"Rodions Kurucs misses 3-pt jump shot from 26 ft (BRK 52, GSW 29)",3,26
21,22,Rodions Kurucs,2020-02-05,BRK,,GSW,W,2nd,273,0,"Rodions Kurucs misses 3-pt jump shot from 23 ft (BRK 54, GSW 31)",3,23
