,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Caris LeVert,2020-03-10,BRK,@,LAL,W,1st,37,1,"Caris LeVert makes 2-pt jump shot from 8 ft (assist by Wilson Chandler) (BRK 2, LAL 0)",2,8
1,2,Caris LeVert,2020-03-10,BRK,@,LAL,W,1st,191,0,"Caris LeVert misses 3-pt jump shot from 27 ft (BRK 7, LAL 7)",3,27
2,3,Caris LeVert,2020-03-10,BRK,@,LAL,W,1st,290,1,"Caris LeVert makes 2-pt jump shot from 17 ft (BRK 11, LAL 12)",2,17
3,4,Caris LeVert,2020-03-10,BRK,@,LAL,W,1st,640,0,"Caris LeVert misses 3-pt jump shot from 26 ft (BRK 22, LAL 31)",3,26
4,5,Caris LeVert,2020-03-10,BRK,@,LAL,W,1st,691,1,"Caris LeVert makes 3-pt jump shot from 25 ft (assist by Chris Chiozza) (BRK 25, LAL 33)",3,25
5,6,Caris LeVert,2020-03-10,BRK,@,LAL,W,2nd,12,0,"Caris LeVert misses 2-pt layup from 5 ft (block by Kentavious Caldwell-Pope) (BRK 27, LAL 33)",2,5
6,7,Caris LeVert,2020-03-10,BRK,@,LAL,W,2nd,123,0,"Caris LeVert misses 2-pt jump shot from 4 ft (BRK 30, LAL 38)",2,4
7,8,Caris LeVert,2020-03-10,BRK,@,LAL,W,2nd,223,1,"Caris LeVert makes 2-pt layup from 3 ft (assist by Chris Chiozza) (BRK 37, LAL 42)",2,3
8,9,Caris LeVert,2020-03-10,BRK,@,LAL,W,2nd,298,0,"Caris LeVert misses 2-pt jump shot from 12 ft (BRK 38, LAL 44)",2,12
9,10,Caris LeVert,2020-03-10,BRK,@,LAL,W,3rd,114,1,"Caris LeVert makes 3-pt jump shot from 24 ft (assist by Spencer Dinwiddie) (BRK 62, LAL 62)",3,24
10,11,Caris LeVert,2020-03-10,BRK,@,LAL,W,3rd,190,0,"Caris LeVert misses 2-pt jump shot from 12 ft (block by Anthony Davis) (BRK 64, LAL 65)",2,12
11,12,Caris LeVert,2020-03-10,BRK,@,LAL,W,3rd,258,1,"Caris LeVert makes 2-pt dunk from 1 ft (assist by Joe Harris) (BRK 69, LAL 68)",2,1
12,13,Caris LeVert,2020-03-10,BRK,@,LAL,W,3rd,286,0,"Caris LeVert misses 2-pt jump shot from 10 ft (BRK 69, LAL 68)",2,10
13,14,Caris LeVert,2020-03-10,BRK,@,LAL,W,3rd,679,0,"Caris LeVert misses 3-pt jump shot from 26 ft (BRK 86, LAL 80)",3,26
14,15,Caris LeVert,2020-03-10,BRK,@,LAL,W,4th,75,0,"Caris LeVert misses 2-pt jump shot from 13 ft (BRK 87, LAL 82)",2,13
15,16,Caris LeVert,2020-03-10,BRK,@,LAL,W,4th,203,1,"Caris LeVert makes 2-pt layup from 1 ft (BRK 94, LAL 88)",2,1
16,17,Caris LeVert,2020-03-10,BRK,@,LAL,W,4th,243,0,"Caris LeVert misses 2-pt jump shot from 16 ft (BRK 94, LAL 88)",2,16
17,18,Caris LeVert,2020-03-10,BRK,@,LAL,W,4th,505,1,"Caris LeVert makes 3-pt jump shot from 25 ft (BRK 100, LAL 94)",3,25
