,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Lauri Markkanen,2020-03-10,CHI,,CLE,W,1st,33,0,"Lauri Markkanen misses 2-pt hook shot from 6 ft (block by Andre Drummond) (CHI 0, CLE 3)",2,6
1,2,Lauri Markkanen,2020-03-10,CHI,,CLE,W,1st,54,0,"Lauri Markkanen misses 3-pt jump shot from 25 ft (CHI 0, CLE 3)",3,25
2,3,Lauri Markkanen,2020-03-10,CHI,,CLE,W,1st,161,0,"Lauri Markkanen misses 3-pt jump shot from 27 ft (CHI 4, CLE 7)",3,27
3,4,Lauri Markkanen,2020-03-10,CHI,,CLE,W,1st,269,1,"Lauri Markkanen makes 2-pt dunk at rim (CHI 13, CLE 10)",2,0
4,5,Lauri Markkanen,2020-03-10,CHI,,CLE,W,1st,362,1,"Lauri Markkanen makes 2-pt layup from 3 ft (CHI 18, CLE 16)",2,3
5,6,Lauri Markkanen,2020-03-10,CHI,,CLE,W,2nd,216,0,"Lauri Markkanen misses 3-pt jump shot from 26 ft (CHI 33, CLE 35)",3,26
6,7,Lauri Markkanen,2020-03-10,CHI,,CLE,W,2nd,446,0,"Lauri Markkanen misses 3-pt jump shot from 27 ft (CHI 41, CLE 39)",3,27
7,8,Lauri Markkanen,2020-03-10,CHI,,CLE,W,2nd,463,1,"Lauri Markkanen makes 2-pt layup at rim (CHI 43, CLE 39)",2,0
8,9,Lauri Markkanen,2020-03-10,CHI,,CLE,W,2nd,494,1,"Lauri Markkanen makes 3-pt jump shot from 27 ft (assist by Shaquille Harrison) (CHI 46, CLE 41)",3,27
9,10,Lauri Markkanen,2020-03-10,CHI,,CLE,W,3rd,206,1,"Lauri Markkanen makes 3-pt jump shot from 24 ft (assist by Wendell Carter) (CHI 62, CLE 61)",3,24
10,11,Lauri Markkanen,2020-03-10,CHI,,CLE,W,3rd,367,1,"Lauri Markkanen makes 3-pt jump shot from 23 ft (assist by Tomáš Satoranský) (CHI 67, CLE 65)",3,23
11,12,Lauri Markkanen,2020-03-10,CHI,,CLE,W,3rd,409,0,"Lauri Markkanen misses 3-pt jump shot from 24 ft (CHI 67, CLE 65)",3,24
12,13,Lauri Markkanen,2020-03-10,CHI,,CLE,W,4th,385,0,"Lauri Markkanen misses 3-pt jump shot from 29 ft (CHI 94, CLE 87)",3,29
13,14,Lauri Markkanen,2020-03-08,CHI,@,BRK,L,1st,42,1,"Lauri Markkanen makes 3-pt jump shot from 23 ft (assist by Denzel Valentine) (CHI 3, BRK 0)",3,23
14,15,Lauri Markkanen,2020-03-08,CHI,@,BRK,L,1st,196,1,"Lauri Markkanen makes 3-pt jump shot from 26 ft (assist by Denzel Valentine) (CHI 8, BRK 5)",3,26
15,16,Lauri Markkanen,2020-03-08,CHI,@,BRK,L,1st,324,0,"Lauri Markkanen misses 2-pt jump shot from 5 ft (CHI 10, BRK 13)",2,5
16,17,Lauri Markkanen,2020-03-08,CHI,@,BRK,L,2nd,283,1,"Lauri Markkanen makes 3-pt jump shot from 24 ft (assist by Shaquille Harrison) (CHI 39, BRK 36)",3,24
17,18,Lauri Markkanen,2020-03-08,CHI,@,BRK,L,3rd,145,0,"Lauri Markkanen misses 3-pt jump shot from 28 ft (CHI 55, BRK 60)",3,28
18,19,Lauri Markkanen,2020-03-08,CHI,@,BRK,L,4th,162,0,"Lauri Markkanen misses 2-pt hook shot from 7 ft (CHI 74, BRK 81)",2,7
19,20,Lauri Markkanen,2020-03-08,CHI,@,BRK,L,4th,555,1,"Lauri Markkanen makes 3-pt jump shot from 27 ft (assist by Coby White) (CHI 90, BRK 99)",3,27
20,21,Lauri Markkanen,2020-03-08,CHI,@,BRK,L,4th,705,1,"Lauri Markkanen makes 2-pt dunk from 1 ft (assist by Shaquille Harrison) (CHI 104, BRK 107)",2,1
21,22,Lauri Markkanen,2020-03-06,CHI,,IND,L,1st,28,0,"Lauri Markkanen misses 3-pt jump shot from 24 ft (CHI 0, IND 0)",3,24
22,23,Lauri Markkanen,2020-03-06,CHI,,IND,L,1st,326,0,"Lauri Markkanen misses 3-pt jump shot from 27 ft (CHI 11, IND 11)",3,27
23,24,Lauri Markkanen,2020-03-06,CHI,,IND,L,2nd,61,0,"Lauri Markkanen misses 3-pt jump shot from 26 ft (CHI 27, IND 32)",3,26
24,25,Lauri Markkanen,2020-03-06,CHI,,IND,L,2nd,113,1,"Lauri Markkanen makes 2-pt dunk from 2 ft (assist by Coby White) (CHI 29, IND 34)",2,2
25,26,Lauri Markkanen,2020-03-06,CHI,,IND,L,2nd,223,0,"Lauri Markkanen misses 2-pt layup from 2 ft (CHI 33, IND 40)",2,2
26,27,Lauri Markkanen,2020-03-06,CHI,,IND,L,2nd,278,0,"Lauri Markkanen misses 2-pt layup from 2 ft (CHI 36, IND 41)",2,2
27,28,Lauri Markkanen,2020-03-06,CHI,,IND,L,2nd,405,0,"Lauri Markkanen misses 3-pt jump shot from 27 ft (CHI 40, IND 45)",3,27
28,29,Lauri Markkanen,2020-03-06,CHI,,IND,L,4th,16,0,"Lauri Markkanen misses 3-pt jump shot from 27 ft (CHI 72, IND 89)",3,27
29,30,Lauri Markkanen,2020-03-06,CHI,,IND,L,4th,150,0,"Lauri Markkanen misses 2-pt hook shot from 1 ft (CHI 76, IND 95)",2,1
