,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Džanan Musa,2020-02-05,BRK,,GSW,W,4th,284,1,"Džanan Musa makes 3-pt jump shot from 26 ft (assist by Theo Pinson) (BRK 111, GSW 73)",3,26
1,2,Džanan Musa,2020-02-05,BRK,,GSW,W,4th,310,1,"Džanan Musa makes 2-pt layup from 2 ft (assist by Chris Chiozza) (BRK 113, GSW 73)",2,2
2,3,Džanan Musa,2020-02-05,BRK,,GSW,W,4th,514,1,"Džanan Musa makes 2-pt layup from 4 ft (assist by Jeremiah Martin) (BRK 120, GSW 80)",2,4
3,4,Džanan Musa,2020-02-05,BRK,,GSW,W,4th,531,1,"Džanan Musa makes 2-pt layup from 2 ft (BRK 122, GSW 80)",2,2
4,5,Džanan Musa,2020-02-03,BRK,,PHO,W,4th,598,1,"Džanan Musa makes 2-pt layup from 4 ft (assist by Chris Chiozza) (BRK 114, PHO 89)",2,4
5,6,Džanan Musa,2020-01-23,BRK,,LAL,L,4th,637,0,"Džanan Musa misses 3-pt jump shot from 25 ft (BRK 113, LAL 128)",3,25
6,7,Džanan Musa,2020-01-23,BRK,,LAL,L,4th,672,0,"Džanan Musa misses 2-pt layup from 2 ft (block by Troy Daniels) (BRK 113, LAL 128)",2,2
7,8,Džanan Musa,2020-01-23,BRK,,LAL,L,4th,709,0,"Džanan Musa misses 2-pt layup at rim (block by Jared Dudley) (BRK 113, LAL 128)",2,0
8,9,Džanan Musa,2020-01-20,BRK,,PHI,L,1st,661,0,"Džanan Musa misses 3-pt jump shot from 25 ft (BRK 28, PHI 28)",3,25
9,10,Džanan Musa,2020-01-20,BRK,,PHI,L,2nd,55,0,"Džanan Musa misses 2-pt layup from 3 ft (BRK 34, PHI 32)",2,3
10,11,Džanan Musa,2020-01-20,BRK,,PHI,L,2nd,149,0,"Džanan Musa misses 3-pt jump shot from 25 ft (BRK 44, PHI 34)",3,25
11,12,Džanan Musa,2020-01-20,BRK,,PHI,L,4th,56,0,"Džanan Musa misses 3-pt jump shot from 25 ft (BRK 91, PHI 94)",3,25
12,13,Džanan Musa,2020-01-20,BRK,,PHI,L,4th,103,1,"Džanan Musa makes 2-pt layup from 1 ft (BRK 93, PHI 97)",2,1
13,14,Džanan Musa,2020-01-18,BRK,,MIL,L,3rd,416,1,"Džanan Musa makes 3-pt jump shot from 23 ft (assist by Kyrie Irving) (BRK 59, MIL 78)",3,23
14,15,Džanan Musa,2020-01-18,BRK,,MIL,L,3rd,628,0,"Džanan Musa misses 2-pt jump shot from 12 ft (BRK 66, MIL 87)",2,12
15,16,Džanan Musa,2020-01-18,BRK,,MIL,L,3rd,684,0,"Džanan Musa misses 2-pt jump shot from 5 ft (BRK 69, MIL 92)",2,5
16,17,Džanan Musa,2020-01-18,BRK,,MIL,L,4th,356,0,"Džanan Musa misses 2-pt layup from 5 ft (block by Brook Lopez) (BRK 81, MIL 101)",2,5
17,18,Džanan Musa,2020-01-18,BRK,,MIL,L,4th,382,0,"Džanan Musa misses 3-pt jump shot from 25 ft (BRK 81, MIL 103)",3,25
18,19,Džanan Musa,2020-01-18,BRK,,MIL,L,4th,676,0,"Džanan Musa misses 3-pt jump shot from 26 ft (BRK 97, MIL 115)",3,26
19,20,Džanan Musa,2020-01-12,BRK,,ATL,W,4th,358,1,"Džanan Musa makes 2-pt layup from 4 ft (BRK 101, ATL 77)",2,4
20,21,Džanan Musa,2020-01-12,BRK,,ATL,W,4th,378,0,"Džanan Musa misses 3-pt jump shot from 24 ft (BRK 101, ATL 77)",3,24
21,22,Džanan Musa,2020-01-10,BRK,,MIA,W,1st,552,0,"Džanan Musa misses 2-pt layup from 2 ft (block by Jimmy Butler) (BRK 27, MIA 29)",2,2
22,23,Džanan Musa,2020-01-10,BRK,,MIA,W,1st,577,1,"Džanan Musa makes 3-pt jump shot from 27 ft (assist by Caris LeVert) (BRK 30, MIA 31)",3,27
