,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Semi Ojeleye,2020-03-10,BOS,@,IND,W,1st,577,1,"Semi Ojeleye makes 3-pt jump shot from 27 ft (assist by Gordon Hayward) (BOS 28, IND 17)",3,27
1,2,Semi Ojeleye,2020-03-10,BOS,@,IND,W,2nd,26,0,"Semi Ojeleye misses 2-pt layup from 1 ft (BOS 30, IND 24)",2,1
2,3,Semi Ojeleye,2020-03-10,BOS,@,IND,W,2nd,42,0,"Semi Ojeleye misses 3-pt jump shot from 27 ft (BOS 30, IND 24)",3,27
3,4,Semi Ojeleye,2020-03-10,BOS,@,IND,W,2nd,385,0,"Semi Ojeleye misses 3-pt jump shot from 26 ft (BOS 48, IND 33)",3,26
4,5,Semi Ojeleye,2020-03-10,BOS,@,IND,W,2nd,404,0,"Semi Ojeleye misses 3-pt jump shot from 23 ft (BOS 48, IND 35)",3,23
5,6,Semi Ojeleye,2020-03-08,BOS,,OKC,L,1st,594,0,"Semi Ojeleye misses 2-pt layup from 3 ft (block by Abdel Nader) (BOS 20, OKC 25)",2,3
6,7,Semi Ojeleye,2020-03-08,BOS,,OKC,L,1st,637,0,"Semi Ojeleye misses 3-pt jump shot from 24 ft (BOS 20, OKC 25)",3,24
7,8,Semi Ojeleye,2020-03-06,BOS,,UTA,L,1st,53,1,"Semi Ojeleye makes 3-pt jump shot from 26 ft (assist by Daniel Theis) (BOS 3, UTA 3)",3,26
8,9,Semi Ojeleye,2020-03-06,BOS,,UTA,L,1st,120,1,"Semi Ojeleye makes 2-pt jump shot from 18 ft (assist by Kemba Walker) (BOS 8, UTA 9)",2,18
9,10,Semi Ojeleye,2020-03-06,BOS,,UTA,L,2nd,162,1,"Semi Ojeleye makes 2-pt jump shot from 4 ft (BOS 37, UTA 41)",2,4
10,11,Semi Ojeleye,2020-03-06,BOS,,UTA,L,2nd,299,0,"Semi Ojeleye misses 2-pt layup from 2 ft (BOS 39, UTA 49)",2,2
11,12,Semi Ojeleye,2020-03-06,BOS,,UTA,L,2nd,358,0,"Semi Ojeleye misses 3-pt jump shot from 25 ft (BOS 41, UTA 51)",3,25
12,13,Semi Ojeleye,2020-03-06,BOS,,UTA,L,2nd,603,0,"Semi Ojeleye misses 2-pt jump shot from 8 ft (BOS 45, UTA 59)",2,8
13,14,Semi Ojeleye,2020-03-06,BOS,,UTA,L,2nd,606,0,"Semi Ojeleye misses 2-pt layup from 7 ft (BOS 45, UTA 59)",2,7
14,15,Semi Ojeleye,2020-03-06,BOS,,UTA,L,2nd,642,0,"Semi Ojeleye misses 3-pt jump shot from 27 ft (BOS 45, UTA 59)",3,27
15,16,Semi Ojeleye,2020-03-06,BOS,,UTA,L,3rd,213,1,"Semi Ojeleye makes 2-pt layup at rim (BOS 60, UTA 65)",2,0
16,17,Semi Ojeleye,2020-03-06,BOS,,UTA,L,3rd,410,0,"Semi Ojeleye misses 3-pt jump shot from 26 ft (BOS 61, UTA 71)",3,26
17,18,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,1st,574,0,"Semi Ojeleye misses 3-pt jump shot from 25 ft (BOS 23, CLE 23)",3,25
18,19,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,1st,603,1,"Semi Ojeleye makes 3-pt jump shot from 28 ft (assist by Tremont Waters) (BOS 26, CLE 23)",3,28
19,20,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,2nd,85,1,"Semi Ojeleye makes 3-pt jump shot from 23 ft (assist by Tremont Waters) (BOS 31, CLE 27)",3,23
20,21,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,2nd,143,1,"Semi Ojeleye makes 3-pt jump shot from 23 ft (assist by Romeo Langford) (BOS 36, CLE 27)",3,23
21,22,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,2nd,489,1,"Semi Ojeleye makes 2-pt jump shot from 4 ft (assist by Marcus Smart) (BOS 52, CLE 43)",2,4
22,23,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,2nd,515,1,"Semi Ojeleye makes 3-pt jump shot from 26 ft (assist by Marcus Smart) (BOS 56, CLE 43)",3,26
23,24,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,4th,45,0,"Semi Ojeleye misses 3-pt jump shot from 28 ft (BOS 81, CLE 79)",3,28
24,25,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,4th,224,0,"Semi Ojeleye misses 3-pt jump shot from 24 ft (BOS 86, CLE 86)",3,24
25,26,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,4th,264,1,"Semi Ojeleye makes 2-pt jump shot from 10 ft (BOS 88, CLE 86)",2,10
26,27,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,4th,336,1,"Semi Ojeleye makes 2-pt jump shot from 19 ft (BOS 90, CLE 89)",2,19
27,28,Semi Ojeleye,2020-03-04,BOS,@,CLE,W,4th,585,1,"Semi Ojeleye makes 3-pt jump shot from 24 ft (assist by Jayson Tatum) (BOS 103, CLE 97)",3,24
28,29,Semi Ojeleye,2020-03-03,BOS,,BRK,L,OT,682,0,"Semi Ojeleye misses 2-pt layup from 3 ft (BOS 120, BRK 129)",2,3
29,30,Semi Ojeleye,2020-02-25,BOS,@,POR,W,2nd,279,1,"Semi Ojeleye makes 3-pt jump shot from 23 ft (assist by Jaylen Brown) (BOS 43, POR 33)",3,23
30,31,Semi Ojeleye,2020-02-07,BOS,,ATL,W,1st,659,1,"Semi Ojeleye makes 2-pt jump shot from 21 ft (assist by Jayson Tatum) (BOS 28, ATL 22)",2,21
31,32,Semi Ojeleye,2020-02-07,BOS,,ATL,W,1st,717,0,"Semi Ojeleye misses 3-pt jump shot from 24 ft (BOS 28, ATL 26)",3,24
32,33,Semi Ojeleye,2020-02-07,BOS,,ATL,W,2nd,88,0,"Semi Ojeleye misses 3-pt jump shot from 23 ft (BOS 30, ATL 28)",3,23
33,34,Semi Ojeleye,2020-02-07,BOS,,ATL,W,2nd,118,0,"Semi Ojeleye misses 3-pt jump shot from 26 ft (BOS 30, ATL 30)",3,26
34,35,Semi Ojeleye,2020-02-07,BOS,,ATL,W,3rd,479,0,"Semi Ojeleye misses 3-pt jump shot from 23 ft (BOS 75, ATL 66)",3,23
35,36,Semi Ojeleye,2020-02-07,BOS,,ATL,W,4th,135,1,"Semi Ojeleye makes 3-pt jump shot from 25 ft (assist by Jayson Tatum) (BOS 92, ATL 80)",3,25
36,37,Semi Ojeleye,2020-02-07,BOS,,ATL,W,4th,191,0,"Semi Ojeleye misses 3-pt jump shot from 24 ft (BOS 92, ATL 85)",3,24
37,38,Semi Ojeleye,2020-02-05,BOS,,ORL,W,2nd,55,0,"Semi Ojeleye misses 2-pt layup from 8 ft (block by Michael Carter-Williams) (BOS 32, ORL 26)",2,8
38,39,Semi Ojeleye,2020-02-05,BOS,,ORL,W,2nd,275,0,"Semi Ojeleye misses 2-pt jump shot from 14 ft (BOS 42, ORL 38)",2,14
39,40,Semi Ojeleye,2020-02-05,BOS,,ORL,W,2nd,361,1,"Semi Ojeleye makes 3-pt jump shot from 23 ft (assist by Gordon Hayward) (BOS 47, ORL 41)",3,23
40,41,Semi Ojeleye,2020-02-03,BOS,@,ATL,W,1st,704,0,"Semi Ojeleye misses 3-pt jump shot from 23 ft (BOS 26, ATL 32)",3,23
41,42,Semi Ojeleye,2020-02-03,BOS,@,ATL,W,4th,114,0,"Semi Ojeleye misses 3-pt jump shot from 25 ft (BOS 99, ATL 88)",3,25
42,43,Semi Ojeleye,2020-02-03,BOS,@,ATL,W,4th,229,0,"Semi Ojeleye misses 2-pt jump shot from 8 ft (BOS 99, ATL 91)",2,8
43,44,Semi Ojeleye,2020-02-01,BOS,,PHI,W,1st,633,1,"Semi Ojeleye makes 2-pt dunk at rim (assist by Brad Wanamaker) (BOS 28, PHI 16)",2,0
44,45,Semi Ojeleye,2020-02-01,BOS,,PHI,W,2nd,125,0,"Semi Ojeleye misses 3-pt jump shot from 26 ft (BOS 35, PHI 21)",3,26
45,46,Semi Ojeleye,2020-02-01,BOS,,PHI,W,4th,99,1,"Semi Ojeleye makes 3-pt jump shot from 24 ft (assist by Jayson Tatum) (BOS 89, PHI 71)",3,24
46,47,Semi Ojeleye,2020-01-30,BOS,,GSW,W,2nd,65,1,"Semi Ojeleye makes 3-pt jump shot from 26 ft (assist by Grant Williams) (BOS 32, GSW 22)",3,26
47,48,Semi Ojeleye,2020-01-30,BOS,,GSW,W,2nd,278,0,"Semi Ojeleye misses 3-pt jump shot from 25 ft (BOS 42, GSW 27)",3,25
48,49,Semi Ojeleye,2020-01-30,BOS,,GSW,W,4th,474,1,"Semi Ojeleye makes 2-pt layup from 1 ft (assist by Gordon Hayward) (BOS 113, GSW 94)",2,1
49,50,Semi Ojeleye,2020-01-30,BOS,,GSW,W,4th,600,0,"Semi Ojeleye misses 3-pt jump shot from 24 ft (BOS 115, GSW 97)",3,24
50,51,Semi Ojeleye,2020-01-30,BOS,,GSW,W,4th,698,1,"Semi Ojeleye makes 2-pt dunk from 1 ft (assist by Brad Wanamaker) (BOS 119, GSW 102)",2,1
51,52,Semi Ojeleye,2020-01-28,BOS,@,MIA,W,1st,611,1,"Semi Ojeleye makes 2-pt layup from 1 ft (BOS 31, MIA 23)",2,1
52,53,Semi Ojeleye,2020-01-28,BOS,@,MIA,W,2nd,115,1,"Semi Ojeleye makes 2-pt jump shot from 6 ft (assist by Kemba Walker) (BOS 38, MIA 35)",2,6
53,54,Semi Ojeleye,2020-01-28,BOS,@,MIA,W,2nd,375,0,"Semi Ojeleye misses 3-pt jump shot from 25 ft (BOS 42, MIA 41)",3,25
54,55,Semi Ojeleye,2020-01-28,BOS,@,MIA,W,3rd,624,1,"Semi Ojeleye makes 2-pt layup from 3 ft (BOS 75, MIA 72)",2,3
55,56,Semi Ojeleye,2020-01-26,BOS,@,NOP,L,3rd,559,1,"Semi Ojeleye makes 2-pt layup from 1 ft (assist by Javonte Green) (BOS 77, NOP 87)",2,1
56,57,Semi Ojeleye,2020-01-26,BOS,@,NOP,L,3rd,590,0,"Semi Ojeleye misses 3-pt jump shot from 22 ft (BOS 77, NOP 87)",3,22
57,58,Semi Ojeleye,2020-01-24,BOS,@,ORL,W,1st,397,0,"Semi Ojeleye misses 3-pt jump shot from 23 ft (BOS 18, ORL 19)",3,23
58,59,Semi Ojeleye,2020-01-24,BOS,@,ORL,W,2nd,293,0,"Semi Ojeleye misses 2-pt layup from 4 ft (BOS 30, ORL 46)",2,4
59,60,Semi Ojeleye,2020-01-24,BOS,@,ORL,W,3rd,572,1,"Semi Ojeleye makes 3-pt jump shot from 23 ft (assist by Gordon Hayward) (BOS 73, ORL 71)",3,23
60,61,Semi Ojeleye,2020-01-24,BOS,@,ORL,W,4th,379,0,"Semi Ojeleye misses 3-pt jump shot from 25 ft (BOS 98, ORL 88)",3,25
61,62,Semi Ojeleye,2020-01-22,BOS,,MEM,W,1st,347,0,"Semi Ojeleye misses 3-pt jump shot from 24 ft (BOS 7, MEM 6)",3,24
62,63,Semi Ojeleye,2020-01-22,BOS,,MEM,W,1st,498,1,"Semi Ojeleye makes 3-pt jump shot from 23 ft (assist by Gordon Hayward) (BOS 12, MEM 15)",3,23
