,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Jabari Parker,2020-02-20,SAC,,MEM,W,1st,698,0,"Jabari Parker misses 2-pt dunk from 2 ft (block by Josh Jackson) (SAC 37, MEM 33)",2,2
1,2,Jabari Parker,2020-02-20,SAC,,MEM,W,2nd,119,0,"Jabari Parker misses 3-pt jump shot from 25 ft (SAC 44, MEM 35)",3,25
2,3,Jabari Parker,2020-02-20,SAC,,MEM,W,2nd,164,0,"Jabari Parker misses 2-pt jump shot from 19 ft (SAC 44, MEM 35)",2,19
3,4,Jabari Parker,2020-02-20,SAC,,MEM,W,2nd,179,0,"Jabari Parker misses 2-pt jump shot from 7 ft (block by Brandon Clarke) (SAC 44, MEM 35)",2,7
4,5,Jabari Parker,2020-02-20,SAC,,MEM,W,2nd,301,0,"Jabari Parker misses 2-pt layup from 4 ft (SAC 51, MEM 39)",2,4
5,6,Jabari Parker,2020-02-20,SAC,,MEM,W,3rd,313,1,"Jabari Parker makes 2-pt dunk from 1 ft (assist by Nemanja Bjelica) (SAC 83, MEM 67)",2,1
6,7,Jabari Parker,2020-01-03,ATL,@,BOS,L,1st,491,1,"Jabari Parker makes 2-pt layup from 3 ft (ATL 23, BOS 10)",2,3
7,8,Jabari Parker,2020-01-03,ATL,@,BOS,L,1st,553,0,"Jabari Parker misses 3-pt jump shot from 28 ft (ATL 23, BOS 10)",3,28
8,9,Jabari Parker,2020-01-03,ATL,@,BOS,L,2nd,45,0,"Jabari Parker misses 2-pt layup from 5 ft (block by Enes Kanter) (ATL 32, BOS 19)",2,5
9,10,Jabari Parker,2020-01-03,ATL,@,BOS,L,2nd,424,0,"Jabari Parker misses 3-pt jump shot from 25 ft (ATL 44, BOS 43)",3,25
10,11,Jabari Parker,2020-01-03,ATL,@,BOS,L,3rd,624,1,"Jabari Parker makes 2-pt dunk from 1 ft (ATL 77, BOS 77)",2,1
11,12,Jabari Parker,2020-01-03,ATL,@,BOS,L,3rd,720,0,"Jabari Parker misses 3-pt jump shot from 55 ft (ATL 80, BOS 82)",3,55
12,13,Jabari Parker,2019-12-23,ATL,@,CLE,L,1st,265,0,"Jabari Parker misses 3-pt jump shot from 27 ft (ATL 10, CLE 15)",3,27
13,14,Jabari Parker,2019-12-23,ATL,@,CLE,L,1st,309,1,"Jabari Parker makes 2-pt dunk from 2 ft (assist by Kevin Huerter) (ATL 15, CLE 18)",2,2
14,15,Jabari Parker,2019-12-23,ATL,@,CLE,L,1st,371,1,"Jabari Parker makes 2-pt layup at rim (assist by Alex Len) (ATL 17, CLE 20)",2,0
15,16,Jabari Parker,2019-12-23,ATL,@,CLE,L,2nd,452,0,"Jabari Parker misses 2-pt jump shot from 19 ft (ATL 55, CLE 57)",2,19
16,17,Jabari Parker,2019-12-23,ATL,@,CLE,L,3rd,575,1,"Jabari Parker makes 2-pt dunk from 1 ft (assist by Cam Reddish) (ATL 90, CLE 88)",2,1
