,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Theo Pinson,2020-03-08,BRK,,CHI,W,3rd,714,0,"Theo Pinson misses 3-pt jump shot from 23 ft (BRK 77, CHI 70)",3,23
1,2,Theo Pinson,2020-03-04,BRK,,MEM,L,4th,431,0,"Theo Pinson misses 2-pt layup from 3 ft (block by Anthony Tolliver) (BRK 73, MEM 105)",2,3
2,3,Theo Pinson,2020-03-04,BRK,,MEM,L,4th,514,0,"Theo Pinson misses 3-pt jump shot from 26 ft (BRK 77, MEM 111)",3,26
3,4,Theo Pinson,2020-02-22,BRK,@,CHO,W,4th,570,1,"Theo Pinson makes 2-pt layup from 1 ft (BRK 112, CHO 86)",2,1
4,5,Theo Pinson,2020-02-22,BRK,@,CHO,W,4th,616,0,"Theo Pinson misses 3-pt jump shot from 25 ft (BRK 112, CHO 86)",3,25
5,6,Theo Pinson,2020-02-05,BRK,,GSW,W,4th,364,0,"Theo Pinson misses 3-pt jump shot from 23 ft (BRK 113, GSW 78)",3,23
6,7,Theo Pinson,2020-02-05,BRK,,GSW,W,4th,400,0,"Theo Pinson misses 2-pt jump shot from 12 ft (BRK 113, GSW 78)",2,12
7,8,Theo Pinson,2020-01-26,BRK,@,NYK,L,4th,679,0,"Theo Pinson misses 3-pt jump shot from 26 ft (BRK 97, NYK 110)",3,26
8,9,Theo Pinson,2020-01-23,BRK,,LAL,L,4th,477,1,"Theo Pinson makes 3-pt jump shot from 25 ft (assist by Rodions Kurucs) (BRK 105, LAL 123)",3,25
9,10,Theo Pinson,2020-01-23,BRK,,LAL,L,4th,508,1,"Theo Pinson makes 2-pt layup from 2 ft (BRK 107, LAL 123)",2,2
10,11,Theo Pinson,2020-01-18,BRK,,MIL,L,4th,330,0,"Theo Pinson misses 3-pt jump shot from 26 ft (BRK 81, MIL 101)",3,26
11,12,Theo Pinson,2020-01-18,BRK,,MIL,L,4th,378,0,"Theo Pinson misses 3-pt jump shot from 25 ft (BRK 81, MIL 103)",3,25
12,13,Theo Pinson,2020-01-18,BRK,,MIL,L,4th,481,0,"Theo Pinson misses 3-pt jump shot from 25 ft (BRK 86, MIL 106)",3,25
13,14,Theo Pinson,2020-01-06,BRK,@,ORL,L,1st,714,0,"Theo Pinson misses 3-pt jump shot from 35 ft (BRK 22, ORL 20)",3,35
14,15,Theo Pinson,2020-01-06,BRK,@,ORL,L,1st,720,0,"Theo Pinson misses 3-pt jump shot from 31 ft (BRK 22, ORL 20)",3,31
15,16,Theo Pinson,2020-01-06,BRK,@,ORL,L,2nd,68,0,"Theo Pinson misses 2-pt layup from 3 ft (BRK 22, ORL 23)",2,3
16,17,Theo Pinson,2020-01-04,BRK,,TOR,L,4th,636,0,"Theo Pinson misses 3-pt jump shot from 24 ft (BRK 99, TOR 117)",3,24
17,18,Theo Pinson,2020-01-02,BRK,@,DAL,L,1st,665,0,"Theo Pinson misses 3-pt jump shot from 26 ft (BRK 30, DAL 30)",3,26
18,19,Theo Pinson,2020-01-02,BRK,@,DAL,L,2nd,90,0,"Maxi Kleber makes 3-pt jump shot from 25 ft (assist by Luka Dončić) (DAL 36, BRK 34)",3,25
19,20,Theo Pinson,2020-01-02,BRK,@,DAL,L,2nd,124,0,"Justin Jackson misses 2-pt jump shot from 10 ft (DAL 36, BRK 34)",2,10
20,21,Theo Pinson,2020-01-02,BRK,@,DAL,L,2nd,694,1,"Offensive rebound by Dorian Finney-Smith (DAL 58, BRK 65)",5,8
21,22,Theo Pinson,2020-01-02,BRK,@,DAL,L,3rd,109,1,"Defensive rebound by DeAndre Jordan (BRK 69, DAL 67)",6,9
22,23,Theo Pinson,2020-01-02,BRK,@,DAL,L,3rd,175,0,"Theo Pinson misses 2-pt layup from 2 ft (block by Maxi Kleber) (BRK 69, DAL 70)",2,2
23,24,Theo Pinson,2020-01-02,BRK,@,DAL,L,3rd,181,0,"Dorian Finney-Smith makes 3-pt jump shot from 26 ft (assist by J.J. Barea) (DAL 73, BRK 69)",3,26
24,25,Theo Pinson,2020-01-02,BRK,@,DAL,L,3rd,240,0,"J.J. Barea misses 3-pt jump shot from 25 ft (DAL 73, BRK 71)",3,25
