,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,1st,423,0,"Taurean Waller-Prince misses 3-pt jump shot from 27 ft (BRK 16, LAL 22)",3,27
1,2,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,1st,720,0,"Taurean Waller-Prince misses 3-pt jump shot from 61 ft (block by Markieff Morris) (BRK 27, LAL 33)",3,61
2,3,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,2nd,48,0,"Taurean Waller-Prince misses 2-pt layup from 3 ft (BRK 27, LAL 33)",2,3
3,4,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,2nd,139,0,"Taurean Waller-Prince misses 3-pt jump shot from 23 ft (BRK 30, LAL 40)",3,23
4,5,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,2nd,163,1,"Taurean Waller-Prince makes 2-pt layup from 3 ft (assist by Chris Chiozza) (BRK 32, LAL 40)",2,3
5,6,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,2nd,284,0,"Taurean Waller-Prince misses 2-pt jump shot from 13 ft (BRK 38, LAL 44)",2,13
6,7,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,2nd,352,0,"Taurean Waller-Prince misses 3-pt jump shot from 25 ft (BRK 38, LAL 44)",3,25
7,8,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,3rd,655,0,"Taurean Waller-Prince misses 3-pt jump shot from 28 ft (BRK 86, LAL 80)",3,28
8,9,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,4th,197,0,"Taurean Waller-Prince misses 3-pt jump shot from 26 ft (BRK 92, LAL 88)",3,26
9,10,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,4th,316,1,"Taurean Waller-Prince makes 3-pt jump shot from 26 ft (assist by Spencer Dinwiddie) (BRK 97, LAL 88)",3,26
10,11,Taurean Waller-Prince,2020-03-10,BRK,@,LAL,W,4th,360,0,"Taurean Waller-Prince misses 3-pt jump shot from 27 ft (BRK 97, LAL 88)",3,27
11,12,Taurean Waller-Prince,2020-03-08,BRK,,CHI,W,1st,615,0,"Taurean Waller-Prince misses 2-pt layup from 5 ft (block by Daniel Gafford) (BRK 22, CHI 21)",2,5
12,13,Taurean Waller-Prince,2020-03-08,BRK,,CHI,W,1st,676,0,"Taurean Waller-Prince misses 2-pt jump shot from 15 ft (BRK 22, CHI 23)",2,15
13,14,Taurean Waller-Prince,2020-03-08,BRK,,CHI,W,2nd,226,0,"Taurean Waller-Prince misses 3-pt jump shot from 24 ft (BRK 34, CHI 36)",3,24
14,15,Taurean Waller-Prince,2020-03-08,BRK,,CHI,W,2nd,294,0,"Taurean Waller-Prince misses 3-pt jump shot from 25 ft (BRK 36, CHI 39)",3,25
15,16,Taurean Waller-Prince,2020-03-08,BRK,,CHI,W,2nd,380,0,"Taurean Waller-Prince misses 2-pt dunk from 1 ft (BRK 40, CHI 41)",2,1
16,17,Taurean Waller-Prince,2020-03-08,BRK,,CHI,W,3rd,665,0,"Taurean Waller-Prince misses 3-pt jump shot from 23 ft (BRK 77, CHI 70)",3,23
17,18,Taurean Waller-Prince,2020-03-08,BRK,,CHI,W,4th,704,1,"Taurean Waller-Prince makes 2-pt layup from 1 ft (assist by Spencer Dinwiddie) (BRK 107, CHI 102)",2,1
18,19,Taurean Waller-Prince,2020-03-06,BRK,,SAS,W,1st,406,1,"Taurean Waller-Prince makes 2-pt layup from 4 ft (BRK 24, SAS 8)",2,4
19,20,Taurean Waller-Prince,2020-03-06,BRK,,SAS,W,1st,434,1,"Taurean Waller-Prince makes 2-pt jump shot from 6 ft (assist by Joe Harris) (BRK 26, SAS 8)",2,6
20,21,Taurean Waller-Prince,2020-03-06,BRK,,SAS,W,1st,527,0,"Taurean Waller-Prince misses 2-pt jump shot from 10 ft (BRK 29, SAS 12)",2,10
21,22,Taurean Waller-Prince,2020-03-06,BRK,,SAS,W,1st,715,0,"Taurean Waller-Prince misses 2-pt jump shot from 20 ft (BRK 39, SAS 22)",2,20
22,23,Taurean Waller-Prince,2020-03-06,BRK,,SAS,W,2nd,23,0,"Taurean Waller-Prince misses 3-pt jump shot from 25 ft (BRK 41, SAS 22)",3,25
23,24,Taurean Waller-Prince,2020-03-06,BRK,,SAS,W,2nd,99,1,"Taurean Waller-Prince makes 2-pt jump shot from 9 ft (assist by Chris Chiozza) (BRK 45, SAS 24)",2,9
24,25,Taurean Waller-Prince,2020-03-06,BRK,,SAS,W,2nd,254,1,"Taurean Waller-Prince makes 2-pt jump shot from 19 ft (BRK 58, SAS 28)",2,19
25,26,Taurean Waller-Prince,2020-03-06,BRK,,SAS,W,2nd,360,1,"Taurean Waller-Prince makes 2-pt jump shot from 13 ft (BRK 67, SAS 36)",2,13
