,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Cam Reddish,2020-03-11,ATL,,NYK,L,1st,432,0,"Cam Reddish misses 3-pt jump shot from 25 ft (ATL 11, NYK 20)",3,25
1,2,Cam Reddish,2020-03-11,ATL,,NYK,L,2nd,42,0,"Cam Reddish misses 2-pt jump shot from 18 ft (ATL 24, NYK 35)",2,18
2,3,Cam Reddish,2020-03-11,ATL,,NYK,L,2nd,96,0,"Cam Reddish misses 2-pt layup from 2 ft (ATL 26, NYK 38)",2,2
3,4,Cam Reddish,2020-03-11,ATL,,NYK,L,2nd,174,0,"Cam Reddish misses 3-pt jump shot from 23 ft (ATL 26, NYK 40)",3,23
4,5,Cam Reddish,2020-03-11,ATL,,NYK,L,2nd,220,1,"Cam Reddish makes 2-pt layup from 1 ft (assist by Kevin Huerter) (ATL 28, NYK 43)",2,1
5,6,Cam Reddish,2020-03-11,ATL,,NYK,L,2nd,718,1,"Cam Reddish makes 2-pt dunk from 1 ft (ATL 50, NYK 67)",2,1
6,7,Cam Reddish,2020-03-11,ATL,,NYK,L,3rd,299,1,"Cam Reddish makes 2-pt jump shot from 17 ft (ATL 62, NYK 82)",2,17
7,8,Cam Reddish,2020-03-11,ATL,,NYK,L,3rd,332,0,"Cam Reddish misses 2-pt layup from 2 ft (block by RJ Barrett) (ATL 62, NYK 82)",2,2
8,9,Cam Reddish,2020-03-11,ATL,,NYK,L,3rd,407,1,"Cam Reddish makes 2-pt jump shot from 4 ft (assist by Treveon Graham) (ATL 67, NYK 85)",2,4
9,10,Cam Reddish,2020-03-11,ATL,,NYK,L,3rd,431,0,"Cam Reddish misses 2-pt jump shot from 15 ft (ATL 67, NYK 85)",2,15
10,11,Cam Reddish,2020-03-11,ATL,,NYK,L,3rd,686,1,"Cam Reddish makes 3-pt jump shot from 26 ft (assist by Jeff Teague) (ATL 76, NYK 96)",3,26
11,12,Cam Reddish,2020-03-11,ATL,,NYK,L,OT,513,0,"Cam Reddish misses 3-pt jump shot from 23 ft (ATL 120, NYK 123)",3,23
12,13,Cam Reddish,2020-03-11,ATL,,NYK,L,OT,610,0,"Cam Reddish misses 3-pt jump shot from 26 ft (ATL 124, NYK 128)",3,26
13,14,Cam Reddish,2020-03-09,ATL,,CHO,W,1st,528,1,"Cam Reddish makes 2-pt layup from 2 ft (ATL 27, CHO 22)",2,2
14,15,Cam Reddish,2020-03-09,ATL,,CHO,W,1st,617,0,"Cam Reddish misses 3-pt jump shot from 24 ft (ATL 27, CHO 29)",3,24
15,16,Cam Reddish,2020-03-09,ATL,,CHO,W,2nd,156,1,"Cam Reddish makes 3-pt jump shot from 26 ft (ATL 40, CHO 36)",3,26
16,17,Cam Reddish,2020-03-09,ATL,,CHO,W,2nd,213,1,"Cam Reddish makes 2-pt jump shot from 13 ft (assist by Jeff Teague) (ATL 45, CHO 40)",2,13
17,18,Cam Reddish,2020-03-09,ATL,,CHO,W,2nd,510,1,"Cam Reddish makes 2-pt layup from 2 ft (assist by Trae Young) (ATL 58, CHO 55)",2,2
18,19,Cam Reddish,2020-03-09,ATL,,CHO,W,2nd,554,0,"Cam Reddish misses 3-pt jump shot from 27 ft (ATL 58, CHO 55)",3,27
19,20,Cam Reddish,2020-03-09,ATL,,CHO,W,3rd,418,0,"Cam Reddish misses 3-pt jump shot from 23 ft (ATL 83, CHO 79)",3,23
20,21,Cam Reddish,2020-03-09,ATL,,CHO,W,3rd,424,0,"Cam Reddish misses 2-pt layup from 2 ft (ATL 83, CHO 79)",2,2
21,22,Cam Reddish,2020-03-09,ATL,,CHO,W,3rd,658,1,"Cam Reddish makes 2-pt jump shot from 18 ft (ATL 93, CHO 89)",2,18
22,23,Cam Reddish,2020-03-09,ATL,,CHO,W,3rd,684,1,"Cam Reddish makes 3-pt jump shot from 26 ft (assist by Dewayne Dedmon) (ATL 96, CHO 92)",3,26
23,24,Cam Reddish,2020-03-09,ATL,,CHO,W,4th,394,1,"Cam Reddish makes 3-pt jump shot from 25 ft (assist by Kevin Huerter) (ATL 110, CHO 104)",3,25
24,25,Cam Reddish,2020-03-09,ATL,,CHO,W,4th,664,0,"Cam Reddish misses 3-pt jump shot from 25 ft (ATL 119, CHO 120)",3,25
25,26,Cam Reddish,2020-03-09,ATL,,CHO,W,OT,639,0,"Cam Reddish misses 3-pt jump shot from 25 ft (ATL 129, CHO 129)",3,25
26,27,Cam Reddish,2020-03-09,ATL,,CHO,W,2OT,687,1,"Cam Reddish makes 2-pt dunk from 1 ft (assist by Trae Young) (ATL 138, CHO 135)",2,1
27,28,Cam Reddish,2020-03-07,ATL,@,MEM,L,1st,398,0,"Cam Reddish misses 2-pt jump shot from 20 ft (ATL 9, MEM 22)",2,20
28,29,Cam Reddish,2020-03-07,ATL,@,MEM,L,1st,567,1,"Cam Reddish makes 2-pt layup from 1 ft (assist by Damian Jones) (ATL 13, MEM 28)",2,1
29,30,Cam Reddish,2020-03-07,ATL,@,MEM,L,2nd,85,0,"Cam Reddish misses 2-pt jump shot from 22 ft (ATL 20, MEM 39)",2,22
