,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Tomáš Satoranský,2020-03-10,CHI,,CLE,W,1st,528,0,"Tomáš Satoranský misses 2-pt jump shot from 8 ft (CHI 23, CLE 25)",2,8
1,2,Tomáš Satoranský,2020-03-10,CHI,,CLE,W,2nd,55,0,"Tomáš Satoranský misses 3-pt jump shot from 26 ft (CHI 29, CLE 31)",3,26
2,3,Tomáš Satoranský,2020-03-10,CHI,,CLE,W,2nd,256,0,"Tomáš Satoranský misses 3-pt jump shot from 26 ft (CHI 33, CLE 35)",3,26
3,4,Tomáš Satoranský,2020-03-10,CHI,,CLE,W,3rd,503,1,"Tomáš Satoranský makes 2-pt layup from 2 ft (assist by Coby White) (CHI 73, CLE 69)",2,2
4,5,Tomáš Satoranský,2020-03-10,CHI,,CLE,W,3rd,671,0,"Tomáš Satoranský misses 2-pt jump shot from 6 ft (CHI 76, CLE 75)",2,6
5,6,Tomáš Satoranský,2020-03-10,CHI,,CLE,W,3rd,719,0,"Tomáš Satoranský misses 2-pt layup from 3 ft (CHI 78, CLE 78)",2,3
6,7,Tomáš Satoranský,2020-03-10,CHI,,CLE,W,4th,306,1,"Tomáš Satoranský makes 3-pt jump shot from 23 ft (assist by Coby White) (CHI 94, CLE 85)",3,23
7,8,Tomáš Satoranský,2020-03-08,CHI,@,BRK,L,1st,131,0,"Tomáš Satoranský misses 3-pt jump shot from 24 ft (CHI 5, BRK 2)",3,24
8,9,Tomáš Satoranský,2020-03-08,CHI,@,BRK,L,1st,167,0,"Tomáš Satoranský misses 2-pt jump shot from 10 ft (CHI 5, BRK 2)",2,10
9,10,Tomáš Satoranský,2020-03-08,CHI,@,BRK,L,1st,282,0,"Tomáš Satoranský misses 2-pt hook shot from 5 ft (CHI 8, BRK 11)",2,5
10,11,Tomáš Satoranský,2020-03-08,CHI,@,BRK,L,2nd,411,0,"Tomáš Satoranský misses 2-pt jump shot from 7 ft (CHI 41, BRK 40)",2,7
11,12,Tomáš Satoranský,2020-03-08,CHI,@,BRK,L,3rd,114,1,"Tomáš Satoranský makes 2-pt jump shot from 11 ft (assist by Lauri Markkanen) (CHI 55, BRK 58)",2,11
12,13,Tomáš Satoranský,2020-03-08,CHI,@,BRK,L,3rd,232,0,"Tomáš Satoranský misses 2-pt layup from 1 ft (block by DeAndre Jordan) (CHI 56, BRK 65)",2,1
13,14,Tomáš Satoranský,2020-03-08,CHI,@,BRK,L,4th,239,0,"Tomáš Satoranský misses 2-pt layup from 3 ft (CHI 76, BRK 83)",2,3
14,15,Tomáš Satoranský,2020-03-06,CHI,,IND,L,1st,163,1,"Tomáš Satoranský makes 2-pt dunk from 1 ft (CHI 10, IND 2)",2,1
15,16,Tomáš Satoranský,2020-03-06,CHI,,IND,L,1st,245,0,"Tomáš Satoranský misses 3-pt jump shot from 26 ft (CHI 10, IND 9)",3,26
16,17,Tomáš Satoranský,2020-03-06,CHI,,IND,L,1st,375,0,"Tomáš Satoranský misses 3-pt jump shot from 26 ft (CHI 13, IND 11)",3,26
17,18,Tomáš Satoranský,2020-03-06,CHI,,IND,L,2nd,333,0,"Tomáš Satoranský misses 2-pt jump shot from 14 ft (CHI 36, IND 43)",2,14
18,19,Tomáš Satoranský,2020-03-06,CHI,,IND,L,2nd,533,0,"Tomáš Satoranský misses 3-pt jump shot from 27 ft (CHI 42, IND 49)",3,27
19,20,Tomáš Satoranský,2020-03-06,CHI,,IND,L,3rd,147,1,"Tomáš Satoranský makes 2-pt layup from 1 ft (CHI 50, IND 70)",2,1
20,21,Tomáš Satoranský,2020-03-06,CHI,,IND,L,3rd,234,0,"Tomáš Satoranský misses 2-pt jump shot from 7 ft (block by Myles Turner) (CHI 50, IND 71)",2,7
21,22,Tomáš Satoranský,2020-03-06,CHI,,IND,L,4th,332,0,"Tomáš Satoranský misses 2-pt layup from 1 ft (CHI 84, IND 99)",2,1
22,23,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,1st,116,1,"Tomáš Satoranský makes 2-pt layup from 2 ft (CHI 2, MIN 0)",2,2
23,24,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,1st,190,0,"Personal foul by Josh Okogie (drawn by Shaquille Harrison) (CHI 2, MIN 0)",2,0
24,25,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,1st,290,1,"D'Angelo Russell makes 2-pt jump shot from 9 ft (MIN 7, CHI 6)",2,9
25,26,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,1st,351,0,"Turnover by James Johnson (offensive foul) (MIN 7, CHI 8)",7,8
26,27,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,2nd,541,1,"D'Angelo Russell enters the game for Jordan McLaughlin (MIN 45, CHI 50)",4,5
27,28,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,2nd,646,1,"Lauri Markkanen enters the game for Shaquille Harrison (CHI 54, MIN 53)",5,4
28,29,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,2nd,691,0,"Malik Beasley makes 2-pt dunk from 1 ft (assist by D'Angelo Russell) (MIN 55, CHI 56)",2,1
29,30,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,3rd,228,0,"Turnover by Malik Beasley (bad pass; steal by Denzel Valentine) (MIN 67, CHI 61)",6,7
30,31,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,3rd,260,0,"Turnover by Malik Beasley (bad pass; steal by Shaquille Harrison) (MIN 67, CHI 62)",6,7
31,32,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,4th,473,0,"Juan Hernangómez makes 2-pt layup at rim (assist by Jordan McLaughlin) (MIN 108, CHI 97)",2,0
32,33,Tomáš Satoranský,2020-03-04,CHI,@,MIN,L,4th,605,1,"Turnover by James Johnson (lost ball; steal by Thaddeus Young) (MIN 113, CHI 99)",1,13
33,34,Tomáš Satoranský,2020-03-02,CHI,,DAL,W,1st,184,0,"Tomáš Satoranský misses 2-pt jump shot from 9 ft (CHI 4, DAL 9)",2,9
34,35,Tomáš Satoranský,2020-03-02,CHI,,DAL,W,1st,201,1,"Tomáš Satoranský makes 2-pt jump shot from 6 ft (CHI 6, DAL 9)",2,6
35,36,Tomáš Satoranský,2020-03-02,CHI,,DAL,W,1st,404,0,"Tomáš Satoranský misses 3-pt jump shot from 27 ft (CHI 13, DAL 17)",3,27
36,37,Tomáš Satoranský,2020-03-02,CHI,,DAL,W,2nd,323,0,"Tomáš Satoranský misses 3-pt jump shot from 23 ft (CHI 38, DAL 39)",3,23
37,38,Tomáš Satoranský,2020-03-02,CHI,,DAL,W,2nd,628,0,"Tomáš Satoranský misses 2-pt layup from 4 ft (block by Justin Jackson) (CHI 45, DAL 52)",2,4
38,39,Tomáš Satoranský,2020-03-02,CHI,,DAL,W,3rd,170,1,"Tomáš Satoranský makes 2-pt jump shot from 18 ft (CHI 61, DAL 64)",2,18
39,40,Tomáš Satoranský,2020-03-02,CHI,,DAL,W,3rd,223,1,"Tomáš Satoranský makes 2-pt jump shot from 7 ft (CHI 63, DAL 64)",2,7
40,41,Tomáš Satoranský,2020-03-02,CHI,,DAL,W,3rd,461,1,"Tomáš Satoranský makes 2-pt jump shot from 12 ft (CHI 70, DAL 68)",2,12
