,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Jayson Tatum,2020-03-10,BOS,@,IND,W,1st,81,1,"Jayson Tatum makes 2-pt jump shot from 5 ft (BOS 5, IND 2)",2,5
1,2,Jayson Tatum,2020-03-10,BOS,@,IND,W,1st,154,1,"Jayson Tatum makes 2-pt dunk from 1 ft (assist by Marcus Smart) (BOS 7, IND 4)",2,1
2,3,Jayson Tatum,2020-03-10,BOS,@,IND,W,1st,257,0,"Jayson Tatum misses 3-pt jump shot from 27 ft (BOS 11, IND 6)",3,27
3,4,Jayson Tatum,2020-03-10,BOS,@,IND,W,1st,665,0,"Jayson Tatum misses 2-pt jump shot from 8 ft (BOS 30, IND 20)",2,8
4,5,Jayson Tatum,2020-03-10,BOS,@,IND,W,2nd,72,1,"Jayson Tatum makes 2-pt dunk from 1 ft (BOS 32, IND 24)",2,1
5,6,Jayson Tatum,2020-03-10,BOS,@,IND,W,2nd,113,1,"Jayson Tatum makes 2-pt jump shot from 18 ft (BOS 34, IND 26)",2,18
6,7,Jayson Tatum,2020-03-10,BOS,@,IND,W,2nd,160,1,"Jayson Tatum makes 3-pt jump shot from 28 ft (BOS 37, IND 26)",3,28
7,8,Jayson Tatum,2020-03-10,BOS,@,IND,W,2nd,256,1,"Jayson Tatum makes 3-pt jump shot from 28 ft (BOS 44, IND 29)",3,28
8,9,Jayson Tatum,2020-03-10,BOS,@,IND,W,2nd,337,0,"Jayson Tatum misses 3-pt jump shot from 25 ft (BOS 45, IND 33)",3,25
9,10,Jayson Tatum,2020-03-10,BOS,@,IND,W,2nd,351,1,"Jayson Tatum makes 3-pt jump shot from 29 ft (BOS 48, IND 33)",3,29
10,11,Jayson Tatum,2020-03-10,BOS,@,IND,W,2nd,668,0,"Jayson Tatum misses 3-pt jump shot from 28 ft (BOS 55, IND 48)",3,28
11,12,Jayson Tatum,2020-03-10,BOS,@,IND,W,3rd,581,1,"Jayson Tatum makes 2-pt jump shot from 5 ft (BOS 89, IND 71)",2,5
12,13,Jayson Tatum,2020-03-10,BOS,@,IND,W,3rd,719,0,"Jayson Tatum misses 3-pt jump shot from 25 ft (BOS 94, IND 80)",3,25
13,14,Jayson Tatum,2020-03-10,BOS,@,IND,W,4th,23,0,"Jayson Tatum misses 3-pt jump shot from 26 ft (BOS 94, IND 80)",3,26
14,15,Jayson Tatum,2020-03-10,BOS,@,IND,W,4th,45,0,"Jayson Tatum misses 2-pt layup from 2 ft (block by Justin Holiday) (BOS 94, IND 80)",2,2
15,16,Jayson Tatum,2020-03-10,BOS,@,IND,W,4th,54,0,"Jayson Tatum misses 2-pt layup at rim (BOS 94, IND 80)",2,0
16,17,Jayson Tatum,2020-03-10,BOS,@,IND,W,4th,138,1,"Jayson Tatum makes 2-pt jump shot from 18 ft (BOS 98, IND 84)",2,18
17,18,Jayson Tatum,2020-03-10,BOS,@,IND,W,4th,173,0,"Jayson Tatum misses 3-pt jump shot from 28 ft (BOS 98, IND 84)",3,28
18,19,Jayson Tatum,2020-03-10,BOS,@,IND,W,4th,235,0,"Jayson Tatum misses 2-pt jump shot from 10 ft (BOS 98, IND 86)",2,10
19,20,Jayson Tatum,2020-03-10,BOS,@,IND,W,4th,465,1,"Jayson Tatum makes 2-pt dunk from 1 ft (assist by Gordon Hayward) (BOS 104, IND 96)",2,1
20,21,Jayson Tatum,2020-03-10,BOS,@,IND,W,4th,602,0,"Jayson Tatum misses 2-pt jump shot from 11 ft (block by Myles Turner) (BOS 104, IND 107)",2,11
21,22,Jayson Tatum,2020-03-10,BOS,@,IND,W,4th,643,1,"Jayson Tatum makes 2-pt dunk from 1 ft (BOS 109, IND 109)",2,1
22,23,Jayson Tatum,2020-03-08,BOS,,OKC,L,1st,37,0,"Jayson Tatum misses 2-pt jump shot from 12 ft (BOS 0, OKC 0)",2,12
23,24,Jayson Tatum,2020-03-08,BOS,,OKC,L,1st,209,1,"Jayson Tatum makes 2-pt layup from 2 ft (BOS 8, OKC 9)",2,2
24,25,Jayson Tatum,2020-03-08,BOS,,OKC,L,1st,266,1,"Jayson Tatum makes 3-pt jump shot from 26 ft (assist by Marcus Smart) (BOS 11, OKC 9)",3,26
25,26,Jayson Tatum,2020-03-08,BOS,,OKC,L,1st,293,1,"Jayson Tatum makes 2-pt jump shot from 6 ft (BOS 13, OKC 11)",2,6
26,27,Jayson Tatum,2020-03-08,BOS,,OKC,L,1st,404,0,"Jayson Tatum misses 3-pt jump shot from 28 ft (BOS 15, OKC 16)",3,28
27,28,Jayson Tatum,2020-03-08,BOS,,OKC,L,1st,485,0,"Jayson Tatum misses 2-pt jump shot from 9 ft (BOS 20, OKC 18)",2,9
28,29,Jayson Tatum,2020-03-08,BOS,,OKC,L,1st,557,0,"Jayson Tatum misses 2-pt jump shot from 18 ft (BOS 20, OKC 25)",2,18
29,30,Jayson Tatum,2020-03-08,BOS,,OKC,L,2nd,418,0,"Jayson Tatum misses 2-pt jump shot from 14 ft (BOS 44, OKC 39)",2,14
30,31,Jayson Tatum,2020-03-08,BOS,,OKC,L,2nd,544,1,"Jayson Tatum makes 3-pt jump shot from 25 ft (assist by Gordon Hayward) (BOS 54, OKC 43)",3,25
31,32,Jayson Tatum,2020-03-08,BOS,,OKC,L,2nd,584,1,"Jayson Tatum makes 3-pt jump shot from 26 ft (assist by Daniel Theis) (BOS 57, OKC 45)",3,26
32,33,Jayson Tatum,2020-03-08,BOS,,OKC,L,2nd,720,0,"Jayson Tatum misses 2-pt jump shot from 15 ft (BOS 63, OKC 52)",2,15
33,34,Jayson Tatum,2020-03-08,BOS,,OKC,L,3rd,97,0,"Jayson Tatum misses 3-pt jump shot from 24 ft (BOS 63, OKC 57)",3,24
34,35,Jayson Tatum,2020-03-08,BOS,,OKC,L,3rd,146,1,"Jayson Tatum makes 2-pt dunk from 3 ft (BOS 66, OKC 57)",2,3
35,36,Jayson Tatum,2020-03-08,BOS,,OKC,L,3rd,287,0,"Jayson Tatum misses 3-pt jump shot from 27 ft (BOS 68, OKC 63)",3,27
36,37,Jayson Tatum,2020-03-08,BOS,,OKC,L,3rd,330,0,"Jayson Tatum misses 2-pt layup from 3 ft (BOS 70, OKC 63)",2,3
37,38,Jayson Tatum,2020-03-08,BOS,,OKC,L,3rd,535,0,"Jayson Tatum misses 3-pt jump shot from 27 ft (BOS 76, OKC 72)",3,27
38,39,Jayson Tatum,2020-03-08,BOS,,OKC,L,3rd,560,0,"Jayson Tatum misses 2-pt jump shot from 16 ft (block by Abdel Nader) (BOS 76, OKC 72)",2,16
39,40,Jayson Tatum,2020-03-08,BOS,,OKC,L,3rd,653,0,"Jayson Tatum misses 2-pt layup from 4 ft (BOS 81, OKC 76)",2,4
40,41,Jayson Tatum,2020-03-08,BOS,,OKC,L,4th,500,1,"Jayson Tatum makes 2-pt layup from 3 ft (assist by Marcus Smart) (BOS 100, OKC 99)",2,3
41,42,Jayson Tatum,2020-03-08,BOS,,OKC,L,4th,595,0,"Jayson Tatum misses 2-pt layup from 2 ft (BOS 100, OKC 101)",2,2
