,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Jeff Teague,2020-03-11,ATL,,NYK,L,1st,536,1,"Jeff Teague makes 3-pt jump shot from 26 ft (ATL 14, NYK 26)",3,26
1,2,Jeff Teague,2020-03-11,ATL,,NYK,L,1st,667,1,"Jeff Teague makes 2-pt jump shot from 12 ft (assist by Treveon Graham) (ATL 21, NYK 31)",2,12
2,3,Jeff Teague,2020-03-11,ATL,,NYK,L,2nd,58,1,"Jeff Teague makes 2-pt layup from 2 ft (ATL 26, NYK 35)",2,2
3,4,Jeff Teague,2020-03-11,ATL,,NYK,L,2nd,154,0,"Jeff Teague misses 2-pt layup from 2 ft (block by Bobby Portis) (ATL 26, NYK 38)",2,2
4,5,Jeff Teague,2020-03-11,ATL,,NYK,L,3rd,356,1,"Jeff Teague makes 2-pt jump shot from 8 ft (ATL 64, NYK 82)",2,8
5,6,Jeff Teague,2020-03-11,ATL,,NYK,L,3rd,465,1,"Jeff Teague makes 2-pt layup from 2 ft (ATL 69, NYK 87)",2,2
6,7,Jeff Teague,2020-03-11,ATL,,NYK,L,3rd,716,0,"Jeff Teague misses 2-pt jump shot from 12 ft (ATL 76, NYK 96)",2,12
7,8,Jeff Teague,2020-03-09,ATL,,CHO,W,1st,664,1,"Jeff Teague makes 2-pt layup from 2 ft (ATL 30, CHO 32)",2,2
8,9,Jeff Teague,2020-03-09,ATL,,CHO,W,2nd,35,1,"Jeff Teague makes 3-pt jump shot from 26 ft (assist by Kevin Huerter) (ATL 35, CHO 34)",3,26
9,10,Jeff Teague,2020-03-09,ATL,,CHO,W,3rd,584,1,"Jeff Teague makes 2-pt jump shot from 8 ft (assist by Dewayne Dedmon) (ATL 91, CHO 87)",2,8
10,11,Jeff Teague,2020-03-09,ATL,,CHO,W,4th,51,0,"Jeff Teague misses 2-pt jump shot from 11 ft (ATL 98, CHO 94)",2,11
11,12,Jeff Teague,2020-03-07,ATL,@,MEM,L,1st,478,0,"Jeff Teague misses 3-pt jump shot from 28 ft (ATL 9, MEM 26)",3,28
12,13,Jeff Teague,2020-03-07,ATL,@,MEM,L,1st,632,0,"Jeff Teague misses 2-pt jump shot from 6 ft (ATL 15, MEM 32)",2,6
13,14,Jeff Teague,2020-03-07,ATL,@,MEM,L,1st,667,1,"Jeff Teague makes 2-pt jump shot from 8 ft (ATL 17, MEM 35)",2,8
14,15,Jeff Teague,2020-03-07,ATL,@,MEM,L,2nd,493,0,"Jeff Teague misses 3-pt jump shot from 25 ft (ATL 34, MEM 54)",3,25
15,16,Jeff Teague,2020-03-07,ATL,@,MEM,L,2nd,626,1,"Jeff Teague makes 3-pt jump shot from 23 ft (assist by De'Andre Hunter) (ATL 40, MEM 61)",3,23
16,17,Jeff Teague,2020-03-07,ATL,@,MEM,L,3rd,456,1,"Jeff Teague makes 2-pt jump shot from 15 ft (assist by Bruno Fernando) (ATL 67, MEM 89)",2,15
17,18,Jeff Teague,2020-03-07,ATL,@,MEM,L,4th,595,0,"Jeff Teague misses 2-pt jump shot from 13 ft (ATL 101, MEM 116)",2,13
18,19,Jeff Teague,2020-03-07,ATL,@,MEM,L,4th,645,0,"Jeff Teague misses 2-pt jump shot from 12 ft (block by Jonas Valančiūnas) (ATL 101, MEM 118)",2,12
19,20,Jeff Teague,2020-03-06,ATL,@,WAS,L,1st,211,0,"Jeff Teague misses 2-pt jump shot from 6 ft (ATL 8, WAS 7)",2,6
20,21,Jeff Teague,2020-03-06,ATL,@,WAS,L,2nd,87,0,"Jeff Teague misses 2-pt jump shot from 6 ft (ATL 34, WAS 35)",2,6
21,22,Jeff Teague,2020-03-06,ATL,@,WAS,L,2nd,291,1,"Jeff Teague makes 2-pt jump shot from 3 ft (ATL 41, WAS 40)",2,3
22,23,Jeff Teague,2020-03-06,ATL,@,WAS,L,2nd,314,1,"Jeff Teague makes 2-pt jump shot from 3 ft (ATL 43, WAS 43)",2,3
23,24,Jeff Teague,2020-03-06,ATL,@,WAS,L,2nd,345,1,"Jeff Teague makes 2-pt layup from 2 ft (ATL 45, WAS 46)",2,2
24,25,Jeff Teague,2020-03-06,ATL,@,WAS,L,2nd,367,1,"Jeff Teague makes 2-pt layup from 2 ft (assist by Kevin Huerter) (ATL 47, WAS 48)",2,2
25,26,Jeff Teague,2020-03-06,ATL,@,WAS,L,2nd,689,0,"Jeff Teague misses 2-pt jump shot from 5 ft (ATL 57, WAS 62)",2,5
26,27,Jeff Teague,2020-03-06,ATL,@,WAS,L,3rd,183,0,"Jeff Teague misses 3-pt jump shot from 27 ft (ATL 59, WAS 73)",3,27
27,28,Jeff Teague,2020-03-06,ATL,@,WAS,L,4th,610,0,"Jeff Teague misses 2-pt layup from 2 ft (ATL 105, WAS 111)",2,2
28,29,Jeff Teague,2020-03-02,ATL,,MEM,L,1st,559,0,"Jeff Teague misses 3-pt jump shot from 25 ft (ATL 19, MEM 17)",3,25
29,30,Jeff Teague,2020-03-02,ATL,,MEM,L,1st,613,1,"Jeff Teague makes 2-pt jump shot from 8 ft (ATL 21, MEM 19)",2,8
30,31,Jeff Teague,2020-03-02,ATL,,MEM,L,1st,713,0,"Jeff Teague misses 2-pt jump shot from 7 ft (ATL 23, MEM 24)",2,7
31,32,Jeff Teague,2020-03-02,ATL,,MEM,L,2nd,638,0,"Jeff Teague misses 2-pt jump shot from 16 ft (ATL 43, MEM 52)",2,16
32,33,Jeff Teague,2020-03-02,ATL,,MEM,L,2nd,651,1,"Jeff Teague makes 2-pt jump shot from 7 ft (ATL 45, MEM 52)",2,7
33,34,Jeff Teague,2020-03-02,ATL,,MEM,L,3rd,563,0,"Jeff Teague misses 2-pt jump shot from 11 ft (ATL 61, MEM 80)",2,11
34,35,Jeff Teague,2020-03-02,ATL,,MEM,L,3rd,597,1,"Jeff Teague makes 2-pt layup from 1 ft (ATL 63, MEM 80)",2,1
35,36,Jeff Teague,2020-03-02,ATL,,MEM,L,3rd,619,0,"Jeff Teague misses 2-pt layup at rim (block by John Konchar) (ATL 64, MEM 82)",2,0
36,37,Jeff Teague,2020-03-02,ATL,,MEM,L,3rd,719,1,"Jeff Teague makes 2-pt jump shot from 11 ft (ATL 68, MEM 84)",2,11
37,38,Jeff Teague,2020-03-02,ATL,,MEM,L,4th,236,0,"Jeff Teague misses 2-pt layup from 6 ft (ATL 72, MEM 100)",2,6
38,39,Jeff Teague,2020-03-02,ATL,,MEM,L,4th,267,1,"Jeff Teague makes 3-pt jump shot from 25 ft (assist by Damian Jones) (ATL 75, MEM 103)",3,25
39,40,Jeff Teague,2020-03-02,ATL,,MEM,L,4th,316,0,"Jeff Teague misses 2-pt layup from 2 ft (ATL 75, MEM 106)",2,2
40,41,Jeff Teague,2020-02-29,ATL,,POR,W,2nd,53,0,"Jeff Teague misses 2-pt jump shot from 7 ft (ATL 25, POR 30)",2,7
41,42,Jeff Teague,2020-02-29,ATL,,POR,W,2nd,185,1,"Jeff Teague makes 2-pt jump shot from 18 ft (ATL 35, POR 38)",2,18
42,43,Jeff Teague,2020-02-29,ATL,,POR,W,3rd,719,0,"Jeff Teague misses 3-pt jump shot from 28 ft (ATL 107, POR 90)",3,28
43,44,Jeff Teague,2020-02-29,ATL,,POR,W,4th,156,0,"Jeff Teague misses 2-pt jump shot from 11 ft (ATL 112, POR 94)",2,11
44,45,Jeff Teague,2020-02-28,ATL,,BRK,W,1st,455,0,"Jeff Teague misses 2-pt layup from 9 ft (ATL 16, BRK 26)",2,9
45,46,Jeff Teague,2020-02-28,ATL,,BRK,W,1st,694,0,"Jeff Teague misses 3-pt jump shot from 27 ft (ATL 29, BRK 34)",3,27
46,47,Jeff Teague,2020-02-28,ATL,,BRK,W,3rd,340,0,"Jeff Teague misses 2-pt dunk from 1 ft (block by Garrett Temple) (ATL 86, BRK 77)",2,1
47,48,Jeff Teague,2020-02-28,ATL,,BRK,W,3rd,377,1,"Jeff Teague makes 2-pt layup from 1 ft (assist by Trae Young) (ATL 88, BRK 77)",2,1
48,49,Jeff Teague,2020-02-28,ATL,,BRK,W,4th,86,1,"Jeff Teague makes 2-pt layup from 8 ft (ATL 110, BRK 102)",2,8
49,50,Jeff Teague,2020-02-28,ATL,,BRK,W,4th,676,1,"Jeff Teague makes 2-pt dunk from 1 ft (ATL 141, BRK 118)",2,1
50,51,Jeff Teague,2020-02-26,ATL,,ORL,L,1st,594,1,"Jeff Teague makes 2-pt jump shot from 11 ft (ATL 24, ORL 20)",2,11
51,52,Jeff Teague,2020-02-26,ATL,,ORL,L,1st,682,0,"Jeff Teague misses 2-pt layup from 4 ft (block by Mohamed Bamba) (ATL 26, ORL 23)",2,4
52,53,Jeff Teague,2020-02-26,ATL,,ORL,L,2nd,187,0,"Jeff Teague misses 2-pt layup from 1 ft (block by Mohamed Bamba) (ATL 35, ORL 33)",2,1
53,54,Jeff Teague,2020-02-26,ATL,,ORL,L,3rd,384,0,"Jeff Teague misses 3-pt jump shot from 25 ft (ATL 79, ORL 84)",3,25
54,55,Jeff Teague,2020-02-26,ATL,,ORL,L,3rd,599,1,"Jeff Teague makes 3-pt jump shot from 27 ft (assist by John Collins) (ATL 89, ORL 99)",3,27
55,56,Jeff Teague,2020-02-26,ATL,,ORL,L,4th,85,1,"Jeff Teague makes 2-pt jump shot from 17 ft (ATL 97, ORL 105)",2,17
56,57,Jeff Teague,2020-02-26,ATL,,ORL,L,4th,116,0,"Jeff Teague misses 3-pt jump shot from 26 ft (ATL 97, ORL 105)",3,26
57,58,Jeff Teague,2020-02-24,ATL,@,PHI,L,1st,425,0,"Jeff Teague misses 2-pt jump shot from 2 ft (ATL 13, PHI 27)",2,2
58,59,Jeff Teague,2020-02-24,ATL,@,PHI,L,2nd,618,0,"Jeff Teague misses 2-pt jump shot from 6 ft (ATL 48, PHI 63)",2,6
59,60,Jeff Teague,2020-02-24,ATL,@,PHI,L,4th,74,0,"Jeff Teague misses 3-pt jump shot from 26 ft (ATL 94, PHI 96)",3,26
60,61,Jeff Teague,2020-02-24,ATL,@,PHI,L,4th,135,1,"Jeff Teague makes 2-pt layup at rim (ATL 98, PHI 98)",2,0
61,62,Jeff Teague,2020-02-24,ATL,@,PHI,L,4th,187,0,"Jeff Teague misses 2-pt jump shot from 7 ft (ATL 98, PHI 100)",2,7
62,63,Jeff Teague,2020-02-24,ATL,@,PHI,L,4th,261,0,"Jeff Teague misses 2-pt jump shot from 7 ft (ATL 98, PHI 105)",2,7
63,64,Jeff Teague,2020-02-22,ATL,,DAL,W,1st,485,0,"Jeff Teague misses 3-pt jump shot from 26 ft (ATL 17, DAL 26)",3,26
64,65,Jeff Teague,2020-02-22,ATL,,DAL,W,2nd,139,1,"Jeff Teague makes 2-pt layup at rim (ATL 33, DAL 45)",2,0
65,66,Jeff Teague,2020-02-22,ATL,,DAL,W,3rd,470,0,"Jeff Teague misses 3-pt jump shot from 25 ft (ATL 72, DAL 79)",3,25
66,67,Jeff Teague,2020-02-22,ATL,,DAL,W,3rd,527,0,"Jeff Teague misses 2-pt layup from 1 ft (block by Dorian Finney-Smith) (ATL 72, DAL 84)",2,1
67,68,Jeff Teague,2020-02-22,ATL,,DAL,W,3rd,675,0,"Jeff Teague misses 2-pt jump shot from 7 ft (ATL 75, DAL 86)",2,7
68,69,Jeff Teague,2020-02-22,ATL,,DAL,W,3rd,692,1,"Jeff Teague makes 2-pt jump shot from 10 ft (ATL 77, DAL 86)",2,10
69,70,Jeff Teague,2020-02-22,ATL,,DAL,W,4th,112,1,"Jeff Teague makes 2-pt jump shot from 9 ft (assist by Trae Young) (ATL 79, DAL 90)",2,9
70,71,Jeff Teague,2020-02-22,ATL,,DAL,W,4th,163,0,"Jeff Teague misses 2-pt jump shot from 8 ft (ATL 81, DAL 90)",2,8
71,72,Jeff Teague,2020-02-20,ATL,,MIA,W,1st,560,1,"Jeff Teague makes 2-pt layup from 2 ft (assist by Brandon Goodwin) (ATL 25, MIA 30)",2,2
72,73,Jeff Teague,2020-02-20,ATL,,MIA,W,2nd,279,1,"Jeff Teague makes 3-pt jump shot from 23 ft (assist by Trae Young) (ATL 45, MIA 41)",3,23
73,74,Jeff Teague,2020-02-20,ATL,,MIA,W,2nd,485,1,"Jeff Teague makes 2-pt layup from 2 ft (ATL 56, MIA 48)",2,2
74,75,Jeff Teague,2020-02-20,ATL,,MIA,W,3rd,535,0,"Jeff Teague misses 2-pt jump shot from 12 ft (ATL 78, MIA 86)",2,12
75,76,Jeff Teague,2020-02-12,ATL,@,CLE,L,1st,637,0,"Jeff Teague misses 2-pt jump shot from 9 ft (ATL 16, CLE 27)",2,9
76,77,Jeff Teague,2020-02-12,ATL,@,CLE,L,2nd,15,0,"Jeff Teague misses 2-pt jump shot from 14 ft (ATL 19, CLE 33)",2,14
77,78,Jeff Teague,2020-02-10,ATL,@,ORL,L,1st,553,1,"Jeff Teague makes 2-pt layup from 1 ft (ATL 19, ORL 20)",2,1
78,79,Jeff Teague,2020-02-10,ATL,@,ORL,L,1st,686,1,"Jeff Teague makes 2-pt jump shot from 9 ft (ATL 26, ORL 22)",2,9
79,80,Jeff Teague,2020-02-10,ATL,@,ORL,L,1st,718,1,"Jeff Teague makes 2-pt layup from 3 ft (ATL 28, ORL 22)",2,3
80,81,Jeff Teague,2020-02-10,ATL,@,ORL,L,2nd,68,1,"Jeff Teague makes 2-pt layup from 2 ft (ATL 30, ORL 27)",2,2
81,82,Jeff Teague,2020-02-10,ATL,@,ORL,L,3rd,720,0,"Jeff Teague misses 2-pt layup from 1 ft (ATL 96, ORL 93)",2,1
82,83,Jeff Teague,2020-02-09,ATL,,NYK,W,2nd,76,0,"Jeff Teague misses 2-pt jump shot from 15 ft (ATL 22, NYK 35)",2,15
83,84,Jeff Teague,2020-02-09,ATL,,NYK,W,2nd,145,1,"Jeff Teague makes 2-pt layup from 1 ft (ATL 28, NYK 37)",2,1
84,85,Jeff Teague,2020-02-09,ATL,,NYK,W,2nd,457,1,"Jeff Teague makes 2-pt layup from 1 ft (ATL 53, NYK 50)",2,1
85,86,Jeff Teague,2020-02-09,ATL,,NYK,W,2nd,557,0,"Jeff Teague misses 2-pt jump shot from 9 ft (ATL 55, NYK 54)",2,9
86,87,Jeff Teague,2020-02-09,ATL,,NYK,W,2nd,605,1,"Jeff Teague makes 2-pt layup from 2 ft (ATL 60, NYK 56)",2,2
