,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Daniel Theis,2020-03-10,BOS,@,IND,W,1st,261,1,"Daniel Theis makes 2-pt layup from 1 ft (BOS 13, IND 6)",2,1
1,2,Daniel Theis,2020-03-10,BOS,@,IND,W,1st,420,0,"Daniel Theis misses 2-pt jump shot from 19 ft (BOS 18, IND 15)",2,19
2,3,Daniel Theis,2020-03-10,BOS,@,IND,W,1st,445,1,"Daniel Theis makes 2-pt layup from 1 ft (assist by Gordon Hayward) (BOS 20, IND 15)",2,1
3,4,Daniel Theis,2020-03-10,BOS,@,IND,W,1st,497,0,"Daniel Theis misses 2-pt layup from 2 ft (block by Justin Holiday) (BOS 20, IND 15)",2,2
4,5,Daniel Theis,2020-03-10,BOS,@,IND,W,2nd,599,1,"Daniel Theis makes 2-pt jump shot from 11 ft (assist by Marcus Smart) (BOS 52, IND 45)",2,11
5,6,Daniel Theis,2020-03-10,BOS,@,IND,W,2nd,718,1,"Daniel Theis makes 2-pt jump shot from 6 ft (assist by Gordon Hayward) (BOS 59, IND 50)",2,6
6,7,Daniel Theis,2020-03-10,BOS,@,IND,W,3rd,94,1,"Daniel Theis makes 2-pt layup from 2 ft (assist by Marcus Smart) (BOS 64, IND 54)",2,2
7,8,Daniel Theis,2020-03-10,BOS,@,IND,W,3rd,289,1,"Daniel Theis makes 2-pt dunk from 3 ft (assist by Kemba Walker) (BOS 75, IND 58)",2,3
8,9,Daniel Theis,2020-03-10,BOS,@,IND,W,3rd,468,0,"Daniel Theis misses 2-pt layup from 2 ft (block by Myles Turner) (BOS 79, IND 66)",2,2
9,10,Daniel Theis,2020-03-10,BOS,@,IND,W,3rd,493,1,"Daniel Theis makes 3-pt jump shot from 24 ft (assist by Kemba Walker) (BOS 85, IND 66)",3,24
10,11,Daniel Theis,2020-03-10,BOS,@,IND,W,3rd,624,0,"Daniel Theis misses 2-pt layup from 2 ft (BOS 89, IND 73)",2,2
11,12,Daniel Theis,2020-03-10,BOS,@,IND,W,4th,617,1,"Daniel Theis makes 3-pt jump shot from 27 ft (assist by Gordon Hayward) (BOS 107, IND 107)",3,27
12,13,Daniel Theis,2020-03-08,BOS,,OKC,L,1st,185,0,"Daniel Theis misses 3-pt jump shot from 25 ft (BOS 6, OKC 7)",3,25
13,14,Daniel Theis,2020-03-08,BOS,,OKC,L,1st,342,1,"Daniel Theis makes 2-pt layup from 2 ft (assist by Gordon Hayward) (BOS 15, OKC 11)",2,2
14,15,Daniel Theis,2020-03-08,BOS,,OKC,L,2nd,620,1,"Daniel Theis makes 3-pt jump shot from 23 ft (assist by Marcus Smart) (BOS 60, OKC 45)",3,23
15,16,Daniel Theis,2020-03-08,BOS,,OKC,L,4th,249,1,"Daniel Theis makes 2-pt jump shot from 18 ft (assist by Kemba Walker) (BOS 93, OKC 89)",2,18
16,17,Daniel Theis,2020-03-08,BOS,,OKC,L,4th,386,0,"Daniel Theis misses 2-pt hook shot from 5 ft (BOS 96, OKC 97)",2,5
17,18,Daniel Theis,2020-03-08,BOS,,OKC,L,4th,654,1,"Daniel Theis makes 2-pt dunk from 3 ft (assist by Gordon Hayward) (BOS 102, OKC 103)",2,3
18,19,Daniel Theis,2020-03-06,BOS,,UTA,L,1st,408,1,"Daniel Theis makes 2-pt dunk from 2 ft (assist by Marcus Smart) (BOS 25, UTA 16)",2,2
19,20,Daniel Theis,2020-03-06,BOS,,UTA,L,1st,475,0,"Daniel Theis misses 2-pt jump shot from 5 ft (BOS 25, UTA 16)",2,5
20,21,Daniel Theis,2020-03-06,BOS,,UTA,L,1st,612,0,"Daniel Theis misses 2-pt jump shot from 12 ft (BOS 29, UTA 21)",2,12
21,22,Daniel Theis,2020-03-06,BOS,,UTA,L,2nd,666,1,"Daniel Theis makes 2-pt jump shot from 11 ft (assist by Javonte Green) (BOS 47, UTA 59)",2,11
22,23,Daniel Theis,2020-03-06,BOS,,UTA,L,3rd,181,1,"Daniel Theis makes 2-pt layup from 2 ft (assist by Kemba Walker) (BOS 58, UTA 65)",2,2
23,24,Daniel Theis,2020-03-06,BOS,,UTA,L,4th,259,1,"Daniel Theis makes 2-pt dunk from 1 ft (assist by Jayson Tatum) (BOS 75, UTA 87)",2,1
24,25,Daniel Theis,2020-03-06,BOS,,UTA,L,4th,711,1,"Daniel Theis makes 2-pt hook shot from 5 ft (assist by Brad Wanamaker) (BOS 91, UTA 97)",2,5
25,26,Daniel Theis,2020-03-04,BOS,@,CLE,W,1st,105,0,"Daniel Theis misses 2-pt jump shot from 9 ft (BOS 2, CLE 4)",2,9
26,27,Daniel Theis,2020-03-04,BOS,@,CLE,W,1st,127,1,"Daniel Theis makes 2-pt layup from 2 ft (assist by Jayson Tatum) (BOS 4, CLE 6)",2,2
27,28,Daniel Theis,2020-03-04,BOS,@,CLE,W,2nd,354,1,"Daniel Theis makes 2-pt layup from 1 ft (assist by Jayson Tatum) (BOS 46, CLE 35)",2,1
28,29,Daniel Theis,2020-03-03,BOS,,BRK,L,1st,39,1,"Daniel Theis makes 2-pt jump shot from 13 ft (assist by Kemba Walker) (BOS 2, BRK 3)",2,13
29,30,Daniel Theis,2020-03-03,BOS,,BRK,L,1st,90,1,"Daniel Theis makes 2-pt layup from 1 ft (BOS 7, BRK 3)",2,1
30,31,Daniel Theis,2020-03-03,BOS,,BRK,L,1st,126,1,"Daniel Theis makes 2-pt jump shot from 13 ft (assist by Marcus Smart) (BOS 9, BRK 5)",2,13
31,32,Daniel Theis,2020-03-03,BOS,,BRK,L,2nd,540,1,"Daniel Theis makes 2-pt jump shot from 9 ft (assist by Marcus Smart) (BOS 52, BRK 41)",2,9
32,33,Daniel Theis,2020-03-03,BOS,,BRK,L,2nd,571,0,"Daniel Theis misses 3-pt jump shot from 27 ft (BOS 52, BRK 41)",3,27
33,34,Daniel Theis,2020-03-03,BOS,,BRK,L,2nd,676,1,"Daniel Theis makes 2-pt dunk at rim (assist by Marcus Smart) (BOS 54, BRK 41)",2,0
34,35,Daniel Theis,2020-03-03,BOS,,BRK,L,3rd,59,0,"Daniel Theis misses 2-pt jump shot from 19 ft (BOS 56, BRK 43)",2,19
35,36,Daniel Theis,2020-03-03,BOS,,BRK,L,3rd,79,0,"Daniel Theis misses 2-pt jump shot from 12 ft (BOS 56, BRK 45)",2,12
36,37,Daniel Theis,2020-03-03,BOS,,BRK,L,3rd,155,0,"Daniel Theis misses 2-pt jump shot from 13 ft (BOS 60, BRK 47)",2,13
37,38,Daniel Theis,2020-03-03,BOS,,BRK,L,4th,164,1,"Daniel Theis makes 2-pt hook shot from 4 ft (assist by Marcus Smart) (BOS 89, BRK 75)",2,4
38,39,Daniel Theis,2020-03-03,BOS,,BRK,L,4th,195,1,"Daniel Theis makes 2-pt jump shot from 21 ft (assist by Grant Williams) (BOS 91, BRK 76)",2,21
39,40,Daniel Theis,2020-02-29,BOS,,HOU,L,1st,115,1,"Daniel Theis makes 2-pt jump shot from 13 ft (assist by Marcus Smart) (BOS 4, HOU 0)",2,13
40,41,Daniel Theis,2020-02-29,BOS,,HOU,L,1st,168,0,"Daniel Theis misses 2-pt layup from 4 ft (block by P.J. Tucker) (BOS 4, HOU 2)",2,4
