,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Kemba Walker,2020-03-10,BOS,@,IND,W,1st,16,0,"Kemba Walker misses 2-pt jump shot from 21 ft (BOS 0, IND 0)",2,21
1,2,Kemba Walker,2020-03-10,BOS,@,IND,W,1st,123,0,"Kemba Walker misses 2-pt jump shot from 16 ft (BOS 5, IND 4)",2,16
2,3,Kemba Walker,2020-03-10,BOS,@,IND,W,1st,292,1,"Kemba Walker makes 3-pt jump shot from 26 ft (BOS 16, IND 9)",3,26
3,4,Kemba Walker,2020-03-10,BOS,@,IND,W,1st,389,0,"Kemba Walker misses 3-pt jump shot from 27 ft (BOS 18, IND 13)",3,27
4,5,Kemba Walker,2020-03-10,BOS,@,IND,W,2nd,529,0,"Kemba Walker misses 3-pt jump shot from 26 ft (BOS 50, IND 40)",3,26
5,6,Kemba Walker,2020-03-10,BOS,@,IND,W,3rd,152,1,"Kemba Walker makes 2-pt jump shot from 19 ft (BOS 68, IND 54)",2,19
6,7,Kemba Walker,2020-03-10,BOS,@,IND,W,3rd,375,0,"Kemba Walker misses 3-pt jump shot from 29 ft (BOS 79, IND 64)",3,29
7,8,Kemba Walker,2020-03-10,BOS,@,IND,W,3rd,469,1,"Kemba Walker makes 3-pt jump shot from 23 ft (assist by Brad Wanamaker) (BOS 82, IND 66)",3,23
8,9,Kemba Walker,2020-03-10,BOS,@,IND,W,4th,325,0,"Kemba Walker misses 3-pt jump shot from 27 ft (BOS 102, IND 89)",3,27
9,10,Kemba Walker,2020-03-10,BOS,@,IND,W,4th,338,0,"Kemba Walker misses 3-pt jump shot from 27 ft (BOS 102, IND 89)",3,27
10,11,Kemba Walker,2020-03-10,BOS,@,IND,W,4th,371,0,"Kemba Walker misses 3-pt jump shot from 28 ft (BOS 102, IND 91)",3,28
11,12,Kemba Walker,2020-03-10,BOS,@,IND,W,4th,569,0,"Kemba Walker misses 2-pt jump shot from 18 ft (BOS 104, IND 104)",2,18
12,13,Kemba Walker,2020-03-08,BOS,,OKC,L,1st,100,1,"Kemba Walker makes 3-pt jump shot from 26 ft (BOS 3, OKC 2)",3,26
13,14,Kemba Walker,2020-03-08,BOS,,OKC,L,1st,163,0,"Kemba Walker misses 3-pt jump shot from 26 ft (BOS 6, OKC 5)",3,26
14,15,Kemba Walker,2020-03-08,BOS,,OKC,L,1st,374,0,"Kemba Walker misses 3-pt jump shot from 23 ft (BOS 15, OKC 14)",3,23
15,16,Kemba Walker,2020-03-08,BOS,,OKC,L,2nd,61,0,"Kemba Walker misses 2-pt layup from 2 ft (block by Luguentz Dort) (BOS 30, OKC 29)",2,2
16,17,Kemba Walker,2020-03-08,BOS,,OKC,L,2nd,117,1,"Kemba Walker makes 2-pt jump shot from 18 ft (BOS 32, OKC 34)",2,18
17,18,Kemba Walker,2020-03-08,BOS,,OKC,L,2nd,145,0,"Kemba Walker misses 3-pt jump shot from 26 ft (BOS 32, OKC 34)",3,26
18,19,Kemba Walker,2020-03-08,BOS,,OKC,L,2nd,206,1,"Kemba Walker makes 3-pt jump shot from 27 ft (BOS 37, OKC 34)",3,27
19,20,Kemba Walker,2020-03-08,BOS,,OKC,L,2nd,265,0,"Kemba Walker misses 3-pt jump shot from 24 ft (BOS 40, OKC 36)",3,24
20,21,Kemba Walker,2020-03-08,BOS,,OKC,L,2nd,345,0,"Kemba Walker misses 3-pt jump shot from 27 ft (block by Abdel Nader) (BOS 44, OKC 36)",3,27
21,22,Kemba Walker,2020-03-08,BOS,,OKC,L,3rd,61,0,"Kemba Walker misses 3-pt jump shot from 23 ft (BOS 63, OKC 55)",3,23
22,23,Kemba Walker,2020-03-08,BOS,,OKC,L,3rd,406,0,"Kemba Walker misses 3-pt jump shot from 27 ft (BOS 73, OKC 67)",3,27
