,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Coby White,2020-03-10,CHI,,CLE,W,1st,157,0,"Coby White misses 3-pt jump shot from 23 ft (CHI 4, CLE 7)",3,23
1,2,Coby White,2020-03-10,CHI,,CLE,W,1st,174,1,"Coby White makes 2-pt jump shot from 16 ft (CHI 6, CLE 7)",2,16
2,3,Coby White,2020-03-10,CHI,,CLE,W,1st,217,1,"Coby White makes 3-pt jump shot from 23 ft (CHI 9, CLE 9)",3,23
3,4,Coby White,2020-03-10,CHI,,CLE,W,1st,266,0,"Coby White misses 3-pt jump shot from 25 ft (CHI 11, CLE 10)",3,25
4,5,Coby White,2020-03-10,CHI,,CLE,W,1st,457,0,"Coby White misses 3-pt jump shot from 27 ft (CHI 21, CLE 23)",3,27
5,6,Coby White,2020-03-10,CHI,,CLE,W,2nd,278,1,"Coby White makes 2-pt layup from 2 ft (CHI 35, CLE 35)",2,2
6,7,Coby White,2020-03-10,CHI,,CLE,W,2nd,388,0,"Coby White misses 3-pt jump shot from 26 ft (CHI 39, CLE 37)",3,26
7,8,Coby White,2020-03-10,CHI,,CLE,W,2nd,405,1,"Coby White makes 2-pt layup from 1 ft (CHI 41, CLE 37)",2,1
8,9,Coby White,2020-03-10,CHI,,CLE,W,2nd,589,1,"Coby White makes 2-pt layup from 2 ft (CHI 48, CLE 46)",2,2
9,10,Coby White,2020-03-10,CHI,,CLE,W,2nd,689,0,"Coby White misses 2-pt jump shot from 12 ft (CHI 52, CLE 50)",2,12
10,11,Coby White,2020-03-10,CHI,,CLE,W,3rd,241,0,"Coby White misses 2-pt jump shot from 8 ft (CHI 62, CLE 63)",2,8
11,12,Coby White,2020-03-10,CHI,,CLE,W,3rd,301,0,"Coby White misses 2-pt layup from 2 ft (block by Cedi Osman) (CHI 62, CLE 65)",2,2
12,13,Coby White,2020-03-10,CHI,,CLE,W,3rd,557,1,"Coby White makes 3-pt jump shot from 27 ft (assist by Otto Porter) (CHI 76, CLE 69)",3,27
13,14,Coby White,2020-03-10,CHI,,CLE,W,4th,511,0,"Coby White misses 3-pt jump shot from 23 ft (CHI 97, CLE 93)",3,23
14,15,Coby White,2020-03-10,CHI,,CLE,W,4th,596,0,"Coby White misses 2-pt jump shot from 20 ft (CHI 101, CLE 95)",2,20
15,16,Coby White,2020-03-10,CHI,,CLE,W,4th,625,1,"Coby White makes 2-pt layup from 2 ft (CHI 103, CLE 98)",2,2
16,17,Coby White,2020-03-10,CHI,,CLE,W,4th,707,0,"Coby White misses 2-pt jump shot from 14 ft (CHI 105, CLE 103)",2,14
17,18,Coby White,2020-03-08,CHI,@,BRK,L,1st,407,1,"Coby White makes 2-pt jump shot from 4 ft (assist by Daniel Gafford) (CHI 16, BRK 15)",2,4
18,19,Coby White,2020-03-08,CHI,@,BRK,L,1st,580,0,"Coby White misses 2-pt layup from 3 ft (block by Caris LeVert) (CHI 19, BRK 22)",2,3
19,20,Coby White,2020-03-08,CHI,@,BRK,L,1st,685,0,"Coby White misses 3-pt jump shot from 26 ft (CHI 23, BRK 22)",3,26
20,21,Coby White,2020-03-08,CHI,@,BRK,L,1st,720,0,"Coby White misses 2-pt layup from 6 ft (CHI 23, BRK 22)",2,6
21,22,Coby White,2020-03-08,CHI,@,BRK,L,2nd,139,0,"Coby White misses 3-pt jump shot from 26 ft (CHI 29, BRK 26)",3,26
22,23,Coby White,2020-03-08,CHI,@,BRK,L,2nd,185,1,"Coby White makes 2-pt layup from 5 ft (CHI 33, BRK 32)",2,5
23,24,Coby White,2020-03-08,CHI,@,BRK,L,2nd,213,1,"Coby White makes 3-pt jump shot from 27 ft (CHI 36, BRK 34)",3,27
24,25,Coby White,2020-03-08,CHI,@,BRK,L,2nd,657,1,"Coby White makes 2-pt jump shot from 20 ft (CHI 47, BRK 53)",2,20
25,26,Coby White,2020-03-08,CHI,@,BRK,L,2nd,680,0,"Coby White misses 3-pt jump shot from 26 ft (CHI 47, BRK 56)",3,26
26,27,Coby White,2020-03-08,CHI,@,BRK,L,3rd,273,0,"Coby White misses 2-pt layup from 5 ft (block by DeAndre Jordan) (CHI 56, BRK 68)",2,5
27,28,Coby White,2020-03-08,CHI,@,BRK,L,3rd,412,0,"Coby White misses 2-pt jump shot from 14 ft (CHI 59, BRK 72)",2,14
28,29,Coby White,2020-03-08,CHI,@,BRK,L,3rd,651,0,"Coby White misses 3-pt jump shot from 23 ft (CHI 70, BRK 77)",3,23
29,30,Coby White,2020-03-08,CHI,@,BRK,L,4th,85,1,"Coby White makes 3-pt jump shot from 28 ft (CHI 73, BRK 77)",3,28
30,31,Coby White,2020-03-08,CHI,@,BRK,L,4th,122,0,"Coby White misses 3-pt jump shot from 26 ft (CHI 73, BRK 79)",3,26
31,32,Coby White,2020-03-08,CHI,@,BRK,L,4th,361,0,"Coby White misses 2-pt jump shot from 8 ft (CHI 78, BRK 88)",2,8
32,33,Coby White,2020-03-08,CHI,@,BRK,L,4th,413,1,"Coby White makes 2-pt layup from 2 ft (CHI 83, BRK 90)",2,2
33,34,Coby White,2020-03-08,CHI,@,BRK,L,4th,513,0,"Coby White misses 2-pt layup from 3 ft (CHI 84, BRK 95)",2,3
34,35,Coby White,2020-03-08,CHI,@,BRK,L,4th,645,0,"Coby White misses 2-pt layup from 1 ft (block by DeAndre Jordan) (CHI 93, BRK 102)",2,1
35,36,Coby White,2020-03-08,CHI,@,BRK,L,4th,665,1,"Coby White makes 3-pt jump shot from 26 ft (assist by Otto Porter) (CHI 96, BRK 102)",3,26
36,37,Coby White,2020-03-08,CHI,@,BRK,L,4th,675,1,"Coby White makes 2-pt layup from 2 ft (CHI 98, BRK 104)",2,2
37,38,Coby White,2020-03-08,CHI,@,BRK,L,4th,711,0,"Coby White misses 3-pt jump shot from 30 ft (CHI 104, BRK 107)",3,30
38,39,Coby White,2020-03-06,CHI,,IND,L,1st,395,1,"Coby White makes 3-pt jump shot from 26 ft (assist by Daniel Gafford) (CHI 16, IND 14)",3,26
39,40,Coby White,2020-03-06,CHI,,IND,L,1st,448,0,"Coby White misses 3-pt jump shot from 25 ft (CHI 16, IND 17)",3,25
40,41,Coby White,2020-03-06,CHI,,IND,L,1st,650,0,"Coby White misses 2-pt layup from 2 ft (block by Edmond Sumner) (CHI 23, IND 24)",2,2
41,42,Coby White,2020-03-06,CHI,,IND,L,1st,691,0,"Coby White misses 2-pt jump shot from 20 ft (CHI 23, IND 29)",2,20
42,43,Coby White,2020-03-06,CHI,,IND,L,2nd,243,1,"Coby White makes 3-pt jump shot from 25 ft (assist by Tomáš Satoranský) (CHI 36, IND 40)",3,25
43,44,Coby White,2020-03-06,CHI,,IND,L,2nd,435,1,"Coby White makes 2-pt jump shot from 18 ft (assist by Thaddeus Young) (CHI 42, IND 45)",2,18
44,45,Coby White,2020-03-06,CHI,,IND,L,2nd,495,0,"Coby White misses 3-pt jump shot from 25 ft (CHI 42, IND 49)",3,25
45,46,Coby White,2020-03-06,CHI,,IND,L,2nd,513,0,"Coby White misses 3-pt jump shot from 27 ft (CHI 42, IND 49)",3,27
46,47,Coby White,2020-03-06,CHI,,IND,L,2nd,687,1,"Coby White makes 2-pt jump shot from 21 ft (CHI 46, IND 62)",2,21
47,48,Coby White,2020-03-06,CHI,,IND,L,2nd,720,0,"Coby White misses 3-pt jump shot from 32 ft (CHI 46, IND 62)",3,32
48,49,Coby White,2020-03-06,CHI,,IND,L,3rd,190,0,"Coby White misses 2-pt jump shot from 20 ft (CHI 50, IND 71)",2,20
49,50,Coby White,2020-03-06,CHI,,IND,L,3rd,205,0,"Coby White misses 3-pt jump shot from 27 ft (CHI 50, IND 71)",3,27
50,51,Coby White,2020-03-06,CHI,,IND,L,3rd,409,1,"Coby White makes 2-pt layup from 1 ft (assist by Thaddeus Young) (CHI 58, IND 75)",2,1
51,52,Coby White,2020-03-06,CHI,,IND,L,3rd,549,0,"Coby White misses 3-pt jump shot from 27 ft (CHI 65, IND 81)",3,27
52,53,Coby White,2020-03-06,CHI,,IND,L,4th,52,1,"Coby White makes 2-pt jump shot from 7 ft (CHI 74, IND 91)",2,7
53,54,Coby White,2020-03-06,CHI,,IND,L,4th,174,1,"Coby White makes 2-pt jump shot from 6 ft (CHI 78, IND 95)",2,6
54,55,Coby White,2020-03-06,CHI,,IND,L,4th,482,0,"Coby White misses 3-pt jump shot from 24 ft (CHI 92, IND 101)",3,24
55,56,Coby White,2020-03-06,CHI,,IND,L,4th,500,0,"Coby White misses 2-pt layup from 2 ft (block by Aaron Holiday) (CHI 92, IND 101)",2,2
56,57,Coby White,2020-03-06,CHI,,IND,L,4th,642,1,"Coby White makes 2-pt layup from 2 ft (CHI 94, IND 103)",2,2
57,58,Coby White,2020-03-06,CHI,,IND,L,4th,680,1,"Coby White makes 3-pt jump shot from 24 ft (assist by Shaquille Harrison) (CHI 98, IND 104)",3,24
58,59,Coby White,2020-03-06,CHI,,IND,L,4th,697,1,"Coby White makes 2-pt layup from 1 ft (CHI 100, IND 106)",2,1
59,60,Coby White,2020-03-04,CHI,@,MIN,L,1st,263,1,"Coby White enters the game for Denzel Valentine (CHI 4, MIN 5)",4,5
60,61,Coby White,2020-03-04,CHI,@,MIN,L,1st,445,1,"James Johnson makes 2-pt layup from 1 ft (MIN 11, CHI 13)",2,1
61,62,Coby White,2020-03-04,CHI,@,MIN,L,1st,466,1,"Turnover by Jordan McLaughlin (bad pass; steal by Thaddeus Young) (MIN 11, CHI 15)",1,1
62,63,Coby White,2020-03-04,CHI,@,MIN,L,1st,587,1,"Personal foul by Naz Reid (drawn by Wendell Carter) (CHI 25, MIN 14)",2,5
63,64,Coby White,2020-03-04,CHI,@,MIN,L,1st,635,0,"Naz Reid makes 3-pt jump shot from 25 ft (assist by Jordan McLaughlin) (MIN 17, CHI 27)",3,25
64,65,Coby White,2020-03-04,CHI,@,MIN,L,2nd,66,0,"Jarrett Culver makes 3-pt jump shot from 24 ft (assist by D'Angelo Russell) (MIN 28, CHI 31)",3,24
65,66,Coby White,2020-03-04,CHI,@,MIN,L,2nd,565,0,"Malik Beasley makes free throw 2 of 2 (MIN 47, CHI 52)",2,2
66,67,Coby White,2020-03-04,CHI,@,MIN,L,2nd,713,1,"Turnover by D'Angelo Russell (bad pass; steal by Thaddeus Young) (MIN 55, CHI 56)",5,5
67,68,Coby White,2020-03-04,CHI,@,MIN,L,3rd,280,1,"Juan Hernangómez makes free throw 2 of 2 (MIN 69, CHI 62)",2,2
68,69,Coby White,2020-03-04,CHI,@,MIN,L,3rd,346,0,"Josh Okogie makes 2-pt layup at rim (assist by Naz Reid) (MIN 74, CHI 67)",2,0
69,70,Coby White,2020-03-04,CHI,@,MIN,L,3rd,559,1,"Defensive rebound by Otto Porter (CHI 74, MIN 80)",7,4
70,71,Coby White,2020-03-04,CHI,@,MIN,L,3rd,664,0,"Defensive rebound by Otto Porter (CHI 77, MIN 85)",7,7
71,72,Coby White,2020-03-04,CHI,@,MIN,L,3rd,688,0,"Defensive rebound by Thaddeus Young (CHI 77, MIN 85)",7,7
72,73,Coby White,2020-03-04,CHI,@,MIN,L,4th,56,0,"Defensive rebound by Ryan Arcidiacono (CHI 79, MIN 88)",7,9
73,74,Coby White,2020-03-04,CHI,@,MIN,L,4th,61,1,"Offensive rebound by Wendell Carter (CHI 79, MIN 88)",7,9
74,75,Coby White,2020-03-04,CHI,@,MIN,L,4th,273,1,"Malik Beasley makes 3-pt jump shot from 26 ft (assist by Jordan McLaughlin) (MIN 99, CHI 89)",3,26
75,76,Coby White,2020-03-04,CHI,@,MIN,L,4th,415,1,"Malik Beasley makes 2-pt layup at rim (assist by James Johnson) (MIN 106, CHI 93)",2,0
76,77,Coby White,2020-03-04,CHI,@,MIN,L,4th,502,0,"Defensive rebound by Wendell Carter (CHI 97, MIN 108)",9,7
77,78,Coby White,2020-03-04,CHI,@,MIN,L,4th,521,0,"Chicago full timeout (CHI 99, MIN 110)",9,9
78,79,Coby White,2020-03-04,CHI,@,MIN,L,4th,559,0,"D'Angelo Russell makes 3-pt jump shot from 25 ft (assist by James Johnson) (MIN 113, CHI 99)",3,25
79,80,Coby White,2020-03-04,CHI,@,MIN,L,4th,622,1,"Turnover by D'Angelo Russell (bad pass) (MIN 113, CHI 101)",1,13
