,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Thaddeus Young,2020-03-10,CHI,,CLE,W,1st,494,1,"Thaddeus Young makes 2-pt jump shot from 11 ft (assist by Otto Porter) (CHI 23, CLE 23)",2,11
1,2,Thaddeus Young,2020-03-10,CHI,,CLE,W,1st,607,0,"Thaddeus Young misses 2-pt layup from 3 ft (block by Larry Nance) (CHI 25, CLE 28)",2,3
2,3,Thaddeus Young,2020-03-10,CHI,,CLE,W,1st,618,0,"Thaddeus Young misses 2-pt layup from 3 ft (block by Matthew Dellavedova) (CHI 25, CLE 28)",2,3
3,4,Thaddeus Young,2020-03-10,CHI,,CLE,W,2nd,561,0,"Thaddeus Young misses 3-pt jump shot from 26 ft (CHI 46, CLE 43)",3,26
4,5,Thaddeus Young,2020-03-10,CHI,,CLE,W,4th,58,1,"Thaddeus Young makes 2-pt layup from 2 ft (assist by Shaquille Harrison) (CHI 81, CLE 81)",2,2
5,6,Thaddeus Young,2020-03-10,CHI,,CLE,W,4th,518,1,"Thaddeus Young makes 3-pt jump shot from 23 ft (assist by Tomáš Satoranský) (CHI 100, CLE 93)",3,23
6,7,Thaddeus Young,2020-03-08,CHI,@,BRK,L,1st,457,0,"Thaddeus Young misses 3-pt jump shot from 26 ft (CHI 16, BRK 18)",3,26
7,8,Thaddeus Young,2020-03-08,CHI,@,BRK,L,1st,501,1,"Thaddeus Young makes 2-pt jump shot from 8 ft (CHI 18, BRK 20)",2,8
8,9,Thaddeus Young,2020-03-08,CHI,@,BRK,L,1st,537,0,"Thaddeus Young misses 2-pt layup at rim (CHI 18, BRK 20)",2,0
9,10,Thaddeus Young,2020-03-08,CHI,@,BRK,L,1st,663,1,"Thaddeus Young makes 2-pt hook shot from 11 ft (CHI 23, BRK 22)",2,11
10,11,Thaddeus Young,2020-03-08,CHI,@,BRK,L,2nd,447,0,"Thaddeus Young misses 3-pt jump shot from 24 ft (CHI 41, BRK 42)",3,24
11,12,Thaddeus Young,2020-03-08,CHI,@,BRK,L,2nd,577,0,"Thaddeus Young misses 3-pt jump shot from 23 ft (CHI 45, BRK 49)",3,23
12,13,Thaddeus Young,2020-03-08,CHI,@,BRK,L,2nd,593,0,"Thaddeus Young misses 2-pt jump shot from 10 ft (CHI 45, BRK 51)",2,10
13,14,Thaddeus Young,2020-03-08,CHI,@,BRK,L,2nd,710,1,"Thaddeus Young makes 3-pt jump shot from 24 ft (assist by Coby White) (CHI 50, BRK 58)",3,24
14,15,Thaddeus Young,2020-03-08,CHI,@,BRK,L,3rd,385,0,"Thaddeus Young misses 3-pt jump shot from 27 ft (CHI 59, BRK 72)",3,27
15,16,Thaddeus Young,2020-03-08,CHI,@,BRK,L,3rd,499,1,"Thaddeus Young makes 2-pt hook shot from 2 ft (CHI 64, BRK 74)",2,2
16,17,Thaddeus Young,2020-03-08,CHI,@,BRK,L,3rd,612,0,"Thaddeus Young misses 2-pt layup from 3 ft (CHI 66, BRK 77)",2,3
17,18,Thaddeus Young,2020-03-08,CHI,@,BRK,L,3rd,615,1,"Thaddeus Young makes 2-pt layup from 1 ft (CHI 68, BRK 77)",2,1
18,19,Thaddeus Young,2020-03-08,CHI,@,BRK,L,3rd,644,0,"Thaddeus Young misses 2-pt layup from 4 ft (CHI 70, BRK 77)",2,4
19,20,Thaddeus Young,2020-03-08,CHI,@,BRK,L,4th,380,1,"Thaddeus Young makes 3-pt jump shot from 23 ft (assist by Coby White) (CHI 81, BRK 90)",3,23
20,21,Thaddeus Young,2020-03-06,CHI,,IND,L,1st,465,1,"Thaddeus Young makes 2-pt jump shot from 2 ft (assist by Tomáš Satoranský) (CHI 18, IND 18)",2,2
21,22,Thaddeus Young,2020-03-06,CHI,,IND,L,1st,696,0,"Thaddeus Young misses 3-pt jump shot from 26 ft (CHI 23, IND 29)",3,26
22,23,Thaddeus Young,2020-03-06,CHI,,IND,L,2nd,578,1,"Thaddeus Young makes 2-pt hook shot from 2 ft (assist by Tomáš Satoranský) (CHI 44, IND 53)",2,2
23,24,Thaddeus Young,2020-03-06,CHI,,IND,L,2nd,610,0,"Thaddeus Young misses 3-pt jump shot from 23 ft (CHI 44, IND 55)",3,23
