,Rk,Player,Date,Tm,Unnamed: 4,Opp,Unnamed: 6,Qtr,Time,Result,Description,point_amount,distance
0,1,Trae Young,2020-03-11,ATL,,NYK,L,1st,30,0,"Trae Young misses 2-pt jump shot from 16 ft (ATL 0, NYK 0)",2,16
1,2,Trae Young,2020-03-11,ATL,,NYK,L,1st,110,1,"Trae Young makes 2-pt jump shot from 20 ft (ATL 2, NYK 2)",2,20
2,3,Trae Young,2020-03-11,ATL,,NYK,L,1st,314,0,"Trae Young misses 3-pt jump shot from 25 ft (ATL 6, NYK 16)",3,25
3,4,Trae Young,2020-03-11,ATL,,NYK,L,1st,365,0,"Trae Young misses 3-pt jump shot from 30 ft (ATL 9, NYK 16)",3,30
4,5,Trae Young,2020-03-11,ATL,,NYK,L,1st,408,0,"Trae Young misses 2-pt jump shot from 12 ft (ATL 9, NYK 18)",2,12
5,6,Trae Young,2020-03-11,ATL,,NYK,L,1st,412,0,"Trae Young misses 2-pt layup from 1 ft (ATL 9, NYK 18)",2,1
6,7,Trae Young,2020-03-11,ATL,,NYK,L,2nd,322,0,"Trae Young misses 2-pt jump shot from 12 ft (ATL 30, NYK 45)",2,12
7,8,Trae Young,2020-03-11,ATL,,NYK,L,2nd,445,1,"Trae Young makes 2-pt jump shot from 7 ft (ATL 34, NYK 49)",2,7
8,9,Trae Young,2020-03-11,ATL,,NYK,L,2nd,472,1,"Trae Young makes 2-pt jump shot from 6 ft (ATL 36, NYK 52)",2,6
9,10,Trae Young,2020-03-11,ATL,,NYK,L,2nd,531,0,"Trae Young misses 2-pt layup from 3 ft (ATL 39, NYK 55)",2,3
10,11,Trae Young,2020-03-11,ATL,,NYK,L,2nd,591,1,"Trae Young makes 3-pt jump shot from 29 ft (ATL 42, NYK 59)",3,29
11,12,Trae Young,2020-03-11,ATL,,NYK,L,3rd,134,1,"Trae Young makes 3-pt jump shot from 34 ft (assist by De'Andre Hunter) (ATL 57, NYK 72)",3,34
12,13,Trae Young,2020-03-11,ATL,,NYK,L,3rd,220,0,"Trae Young misses 2-pt layup from 3 ft (block by Taj Gibson) (ATL 58, NYK 76)",2,3
13,14,Trae Young,2020-03-11,ATL,,NYK,L,4th,59,1,"Trae Young makes 2-pt jump shot from 4 ft (assist by Kevin Huerter) (ATL 82, NYK 97)",2,4
14,15,Trae Young,2020-03-11,ATL,,NYK,L,4th,132,0,"Trae Young misses 3-pt jump shot from 23 ft (ATL 83, NYK 99)",3,23
15,16,Trae Young,2020-03-11,ATL,,NYK,L,4th,214,1,"Trae Young makes 3-pt jump shot from 33 ft (ATL 90, NYK 101)",3,33
16,17,Trae Young,2020-03-11,ATL,,NYK,L,4th,372,1,"Trae Young makes 2-pt jump shot from 8 ft (ATL 96, NYK 107)",2,8
